App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version,Country Code
Yuka - Food & cosmetic scan,PEGI 3,0,True,4.6,83.2K,https://play.google.com/store/apps/details?id=io.yuka.android,"Jun 15, 2022","Jun 21, 2019","10,000,000+ ",4.21,BE
My Helan,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=be.defimedia.android.partena,"May 23, 2022","Oct 8, 2015","100,000+ ",8.17.2,BE
Suunto,PEGI 3,0,False,2.6,30.1K,https://play.google.com/store/apps/details?id=com.stt.android.suunto,"Jun 23, 2022","Apr 23, 2018","1,000,000+ ",4.55.3,BE
Ref. Guide for Essential Oils,PEGI 3,£4.79,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.abundanthealth4u.refguide4eo,"Apr 30, 2022","Jan 13, 2015","100,000+ ",2.7.0,BE
Awf Health - watch face,PEGI 3,£0.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.watchfacestudio.awfhealthface,"Apr 16, 2022","Nov 18, 2021",500+ ,Varies with device,BE
Simple Workout Log PRO Key,PEGI 3,£2.69,False,4.9,2.1K,https://play.google.com/store/apps/details?id=com.selahsoft.workoutlogpro,"Nov 19, 2013","Dec 4, 2012","10,000+ ",1.1,BE
Miracle Morning,PEGI 3,£4.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=org.miracle.morning,"Jun 3, 2022","Dec 31, 2021","1,000+ ",1.0.87,BE
Google Fit: Activity Tracking,PEGI 3,0,False,3.3,527K,https://play.google.com/store/apps/details?id=com.google.android.apps.fitness,"Jun 17, 2022","Oct 28, 2014","100,000,000+ ",Varies with device,BE
"Feelsy: Stress, Anxiety Relief",PEGI 3,0,True,3.8,5.27K,https://play.google.com/store/apps/details?id=app.feelsy,"Jun 23, 2022","Dec 14, 2021","500,000+ ",2.7.0,BE
Six Pack in 30 Days,PEGI 3,0,True,4.9,2.13M,https://play.google.com/store/apps/details?id=sixpack.sixpackabs.absworkout,"Jun 19, 2022","Jan 9, 2018","100,000,000+ ",1.1.1,BE
"Meditopia: Sleep, Meditation",PEGI 3,0,True,4.3,219K,https://play.google.com/store/apps/details?id=app.meditasyon,"May 16, 2022","Mar 7, 2017","10,000,000+ ",3.24.0,BE
EO Guide,PEGI 3,£4.99,False,N/A,N/A,https://play.google.com/store/apps/details?id=ch.synceed.eoguide,"Dec 10, 2020","May 15, 2018","10,000+ ",2.1.5,BE
JOIN Cycling Training Plan,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=cc.join.cycling,"Jun 21, 2022","Jun 28, 2017","50,000+ ",5.2.3,BE
WeightWatchers,PEGI 3,0,True,4.5,545K,https://play.google.com/store/apps/details?id=com.weightwatchers.mobile,"Jun 14, 2022","Aug 16, 2015","10,000,000+ ",10.14.0,BE
