App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version,Country Code
Nährwert-Rechner,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.konang.naehrwertrechner,"Jun 14, 2022",N/A,100+ ,4.0.0,DE
Fitbit,PEGI 3,0,True,4.1,919K,https://play.google.com/store/apps/details?id=com.fitbit.FitbitMobile,"Jun 7, 2022","Mar 16, 2012","50,000,000+ ",3.59.1,DE
Period Calendar Period Tracker,PEGI 3,0,True,4.9,6.71M,https://play.google.com/store/apps/details?id=com.popularapp.periodcalendar,"Jun 10, 2022","Mar 16, 2012","100,000,000+ ",Varies with device,DE
Medicinal Herbs Info,PEGI 3,£0.89,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.bentosoftware.heilkraut,"Apr 22, 2022","Apr 22, 2022",100+ ,1.1.0,DE
Lifesum: Healthy Eating & Diet,PEGI 3,0,True,4.5,316K,https://play.google.com/store/apps/details?id=com.sillens.shapeupclub,"Jun 21, 2022","Jun 16, 2011","10,000,000+ ",Varies with device,DE
Sleep Sound Pro - Relax Mind,PEGI 3,£0.09,False,N/A,N/A,https://play.google.com/store/apps/details?id=jp.snowlife01.android.relax_pro,"Feb 19, 2022","Feb 5, 2022","1,000+ ",1.0.1,DE
Lose Belly Fat  - Abs Workout,PEGI 3,0,True,4.8,497K,https://play.google.com/store/apps/details?id=losebellyfat.flatstomach.absworkout.fatburning,"Jan 20, 2022","Apr 12, 2018","50,000,000+ ",1.4.8,DE
BodyFast Intermittent Fasting,PEGI 3,0,True,4.7,185K,https://play.google.com/store/apps/details?id=com.bodyfast,"May 18, 2022","Jan 19, 2018","10,000,000+ ",3.12.4,DE
Replika: My AI Friend,PEGI 16 • Strong Language,0,True,3.8,401K,https://play.google.com/store/apps/details?id=ai.replika.app,"Jun 23, 2022","Sep 8, 2017","10,000,000+ ",9.12.2,DE
Femometer - Fertility Tracker,PEGI 3,0,True,4.7,35.2K,https://play.google.com/store/apps/details?id=com.bm.android.thermometer,"Jun 23, 2022","Jul 1, 2018","1,000,000+ ",5.13.0(4060),DE
Ernährung Pro,PEGI 3,£0.89,False,N/A,N/A,https://play.google.com/store/apps/details?id=de.sk.foodwatch,"Mar 25, 2022","Jul 6, 2012","10,000+ ",1.14.6,DE
performAll,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=rohana.artletics,"Jun 9, 2022","May 30, 2022","10,000+ ",1.1.0,DE
