App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version,Country Code
EvolveYou,PEGI 3,0,True,4.7,3.85K,https://play.google.com/store/apps/details?id=com.celassimplicity.toneandsculptapp,"Jun 17, 2022","Jan 1, 2019","100,000+ ",6.1.0,GB
Fitbit,PEGI 3,0,True,4.1,919K,https://play.google.com/store/apps/details?id=com.fitbit.FitbitMobile,"Jun 7, 2022","Mar 16, 2012","50,000,000+ ",3.59.1,GB
Nuffield Health,PEGI 3,0,False,1.6,109,https://play.google.com/store/apps/details?id=com.nuffieldhealth.mybooking,"May 17, 2022","Apr 19, 2022","10,000+ ",1.0.4,GB
MyFLO Period Tracker,PEGI 12 • Sex,£1.89,False,2.3,1.29K,https://play.google.com/store/apps/details?id=com.flolivingalisavitti.myfloapp,"May 3, 2022","Jan 23, 2017","10,000+ ",2.0.3,GB
Lifesum: Healthy Eating & Diet,PEGI 3,0,True,4.5,316K,https://play.google.com/store/apps/details?id=com.sillens.shapeupclub,"Jun 21, 2022","Jun 16, 2011","10,000,000+ ",Varies with device,GB
Lose Belly Fat  - Abs Workout,PEGI 3,0,True,4.8,497K,https://play.google.com/store/apps/details?id=losebellyfat.flatstomach.absworkout.fatburning,"Jan 20, 2022","Apr 12, 2018","50,000,000+ ",1.4.8,GB
BodyFast Intermittent Fasting,PEGI 3,0,True,4.7,185K,https://play.google.com/store/apps/details?id=com.bodyfast,"May 18, 2022","Jan 19, 2018","10,000,000+ ",3.12.4,GB
Replika: My AI Friend,PEGI 16 • Strong Language,0,True,3.8,401K,https://play.google.com/store/apps/details?id=ai.replika.app,"Jun 23, 2022","Sep 8, 2017","10,000,000+ ",9.12.2,GB
Lullaby pack Sleep + Mindroid,PEGI 3,£1.49,False,3.9,2.81K,https://play.google.com/store/apps/details?id=com.urbandroid.sleep.addon.lullaby,"May 2, 2022","Feb 17, 2013","100,000+ ",2.7,GB
75 Hard,PEGI 12 • Mild Swearing,£4.29,False,3.3,457,https://play.google.com/store/apps/details?id=com.media44seven.seventyfivehard,"Jan 30, 2021","Jun 23, 2020","50,000+ ",1.37,GB
Simple Workout Log PRO Key,PEGI 3,£2.69,False,4.9,2.1K,https://play.google.com/store/apps/details?id=com.selahsoft.workoutlogpro,"Nov 19, 2013","Dec 4, 2012","10,000+ ",1.1,GB
"Strava: Run, Ride, Hike",Parental guidance • Parental Guidance Recommended,0,True,4.5,762K,https://play.google.com/store/apps/details?id=com.strava,"Jun 20, 2022","Jun 9, 2011","50,000,000+ ",Varies with device,GB
Balance: Meditation & Sleep,PEGI 3,0,True,4.7,8.71K,https://play.google.com/store/apps/details?id=com.elevatelabs.geonosis,"Jun 12, 2022","May 3, 2021","500,000+ ",1.58.0,GB
Yuka - Food & cosmetic scan,PEGI 3,0,True,4.6,83.2K,https://play.google.com/store/apps/details?id=io.yuka.android,"Jun 15, 2022","Jun 21, 2019","10,000,000+ ",4.21,GB
StepsApp – Step Counter,PEGI 3,0,True,4.6,64.8K,https://play.google.com/store/apps/details?id=com.stepsappgmbh.stepsapp,"Jun 14, 2022","Aug 28, 2017","5,000,000+ ",4.3.4,GB
Sweatcoin,PEGI 3,0,True,4.4,1.21M,https://play.google.com/store/apps/details?id=in.sweatco.app,"Jun 21, 2022","Apr 9, 2017","50,000,000+ ",102.1,GB
BetterSleep: Sleep tracker,PEGI 3,0,True,4.5,324K,https://play.google.com/store/apps/details?id=ipnossoft.rma.free,"Jun 21, 2022","Dec 21, 2011","10,000,000+ ",20.12.1,GB
NHS Weight Loss Plan,PEGI 3,0,False,4.5,2.72K,https://play.google.com/store/apps/details?id=com.nhs.weightloss,"Mar 30, 2022","Jul 23, 2020","500,000+ ",2.1.0,GB
Calorie Counter +,PEGI 3,0,True,4.7,28.3K,https://play.google.com/store/apps/details?id=com.nutratech.app.android,"May 19, 2022","Feb 5, 2013","1,000,000+ ",9.7.0,GB
