App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version,Country Code
EvolveYou,PEGI 3,0,True,4.7,3.85K,https://play.google.com/store/apps/details?id=com.celassimplicity.toneandsculptapp,"Jun 17, 2022","Jan 1, 2019","100,000+ ",6.1.0,IE
Fitbit,PEGI 3,0,True,4.1,919K,https://play.google.com/store/apps/details?id=com.fitbit.FitbitMobile,"Jun 7, 2022","Mar 16, 2012","50,000,000+ ",3.59.1,IE
Baby Shusher - Soothing Sounds for Baby,PEGI 3,£4.39,False,2.8,287,https://play.google.com/store/apps/details?id=com.babyshusher.android,"Jun 25, 2021","Oct 11, 2013","10,000+ ",2.2.5,IE
Tools & Amazfit,PEGI 3,£3.29,False,3.2,4.36K,https://play.google.com/store/apps/details?id=cz.zdenekhorak.amazfittools,"Oct 15, 2021","Nov 27, 2017","100,000+ ",6.4.0,IE
MyFLO Period Tracker,PEGI 12 • Sex,£1.89,False,2.3,1.29K,https://play.google.com/store/apps/details?id=com.flolivingalisavitti.myfloapp,"May 3, 2022","Jan 23, 2017","10,000+ ",2.0.3,IE
Fitbod Workout & Fitness Plans,PEGI 3,0,True,4.2,8.87K,https://play.google.com/store/apps/details?id=com.fitbod.fitbod,"Jun 15, 2022","May 22, 2020","1,000,000+ ",3.11.2,IE
Sleep Sound Pro - Relax Mind,PEGI 3,£0.09,False,N/A,N/A,https://play.google.com/store/apps/details?id=jp.snowlife01.android.relax_pro,"Feb 19, 2022","Feb 5, 2022","1,000+ ",1.0.1,IE
Lose Belly Fat  - Abs Workout,PEGI 3,0,True,4.8,497K,https://play.google.com/store/apps/details?id=losebellyfat.flatstomach.absworkout.fatburning,"Jan 20, 2022","Apr 12, 2018","50,000,000+ ",1.4.8,IE
BodyFast Intermittent Fasting,PEGI 3,0,True,4.7,185K,https://play.google.com/store/apps/details?id=com.bodyfast,"May 18, 2022","Jan 19, 2018","10,000,000+ ",3.12.4,IE
Replika: My AI Friend,PEGI 16 • Strong Language,0,True,3.8,401K,https://play.google.com/store/apps/details?id=ai.replika.app,"Jun 23, 2022","Sep 8, 2017","10,000,000+ ",9.12.2,IE
Lullaby pack Sleep + Mindroid,PEGI 3,£1.49,False,3.9,2.81K,https://play.google.com/store/apps/details?id=com.urbandroid.sleep.addon.lullaby,"May 2, 2022","Feb 17, 2013","100,000+ ",2.7,IE
75 Hard,PEGI 12 • Mild Swearing,£4.29,False,3.3,457,https://play.google.com/store/apps/details?id=com.media44seven.seventyfivehard,"Jan 30, 2021","Jun 23, 2020","50,000+ ",1.37,IE
Clock Yourself,PEGI 3,£2.09,False,5.0,154,https://play.google.com/store/apps/details?id=com.nextstepalliedhealth.clockyourself,"May 10, 2020","Aug 17, 2016","10,000+ ",3.2.37,IE
"Strava: Run, Ride, Hike",Parental guidance • Parental Guidance Recommended,0,True,4.5,762K,https://play.google.com/store/apps/details?id=com.strava,"Jun 20, 2022","Jun 9, 2011","50,000,000+ ",Varies with device,IE
Yuka - Food & cosmetic scan,PEGI 3,0,True,4.6,83.2K,https://play.google.com/store/apps/details?id=io.yuka.android,"Jun 15, 2022","Jun 21, 2019","10,000,000+ ",4.21,IE
Blood Pressure Monitor & Info,PEGI 3,0,True,4.9,734,https://play.google.com/store/apps/details?id=com.istore.bloodpressuremonitor.bpmonitor,"May 31, 2022","Apr 29, 2022","100,000+ ",1.4,IE
Ride with GPS - Bike Route Planning and Navigation,PEGI 3,0,True,4.1,10.1K,https://play.google.com/store/apps/details?id=com.ridewithgps.mobile,"Jun 6, 2022","Feb 15, 2014","1,000,000+ ",Varies with device,IE
The Tapping Solution,PEGI 3,0,True,4.8,8.36K,https://play.google.com/store/apps/details?id=com.datechnologies.tappingsolution,"Jun 21, 2022","Jan 24, 2019","500,000+ ",3.9.0,IE
BetterSleep: Sleep tracker,PEGI 3,0,True,4.5,324K,https://play.google.com/store/apps/details?id=ipnossoft.rma.free,"Jun 21, 2022","Dec 21, 2011","10,000,000+ ",20.12.1,IE
Sweatcoin,PEGI 3,0,True,4.4,1.21M,https://play.google.com/store/apps/details?id=in.sweatco.app,"Jun 21, 2022","Apr 9, 2017","50,000,000+ ",102.1,IE
Twilight Pro Unlock,PEGI 3,£2.99,False,4.5,8.52K,https://play.google.com/store/apps/details?id=com.urbandroid.lux.donate,"Apr 26, 2022","Mar 5, 2013","100,000+ ",2.1,IE
Calorie Counter +,PEGI 3,0,True,4.7,28.3K,https://play.google.com/store/apps/details?id=com.nutratech.app.android,"May 19, 2022","Feb 5, 2013","1,000,000+ ",9.7.0,IE
PhysiApp®,PEGI 3,0,False,3.8,1.22K,https://play.google.com/store/apps/details?id=com.physitrack.physiapp,"Jun 12, 2022","Oct 30, 2018","1,000,000+ ",3.6.7,IE
The Pilates Programme,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=ott.thepilatesprogramme,"May 18, 2022","May 18, 2022",100+ ,7.207.1,IE
Map My Run by Under Armour,PEGI 3,0,True,4.7,389K,https://play.google.com/store/apps/details?id=com.mapmyrun.android2,"Jun 13, 2022","Sep 9, 2010","10,000,000+ ",22.12.0,IE
Gymondo: Fitness & Yoga,PEGI 3,0,True,4.1,19.8K,https://play.google.com/store/apps/details?id=de.gymondo.app.gymondo,"Jun 15, 2022","Mar 31, 2016","1,000,000+ ",Varies with device,IE
Carb Manager–Keto Diet Tracker,PEGI 3,0,True,4.6,121K,https://play.google.com/store/apps/details?id=com.wombatapps.carbmanager,"Apr 21, 2022","Jul 13, 2017","5,000,000+ ",7.1.7,IE
MeetYou - Period Tracker,PEGI 3,0,True,4.0,10.1K,https://play.google.com/store/apps/details?id=com.meetyou.intl,"Jun 20, 2022","Feb 21, 2022","5,000,000+ ",1.8.0,IE
15 Minute Workout,PEGI 3,£2.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=ca.marcusds.FifteenMinuteWorkout,"Apr 23, 2019","Mar 9, 2013","50,000+ ",3.4.0,IE
7 Minute Workout Pro,PEGI 3,£2.39,False,4.5,4.07K,https://play.google.com/store/apps/details?id=com.popularapp.sevenminspro,"Sep 19, 2018","Oct 22, 2015","50,000+ ",Varies with device,IE
Heart Rate Monitor - Pulse App,PEGI 3,0,True,4.8,36.6K,https://play.google.com/store/apps/details?id=heartratemonitor.heartrate.pulse.pulseapp,"Jun 20, 2022","Jan 14, 2022","1,000,000+ ",1.0.2,IE
Insight Timer - Meditation App,PEGI 3,0,True,4.9,191K,https://play.google.com/store/apps/details?id=com.spotlightsix.zentimerlite2,"Jun 22, 2022","Dec 15, 2010","5,000,000+ ",16.2.15,IE
Huawei Health,PEGI 3,0,False,3.5,729K,https://play.google.com/store/apps/details?id=com.huawei.health,"Jul 15, 2020","Mar 15, 2017","500,000,000+ ",10.1.1.312,IE
