App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version,Country Code
Fitbit,PEGI 3,0,True,4.1,919K,https://play.google.com/store/apps/details?id=com.fitbit.FitbitMobile,"Jun 7, 2022","Mar 16, 2012","50,000,000+ ",3.59.1,MC
Period Calendar Period Tracker,PEGI 3,0,True,4.9,6.71M,https://play.google.com/store/apps/details?id=com.popularapp.periodcalendar,"Jun 10, 2022","Mar 16, 2012","100,000,000+ ",Varies with device,MC
Medicinal Herbs Info,PEGI 3,£0.89,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.bentosoftware.heilkraut,"Apr 22, 2022","Apr 22, 2022",100+ ,1.1.0,MC
Fitbod Workout & Fitness Plans,PEGI 3,0,True,4.2,8.87K,https://play.google.com/store/apps/details?id=com.fitbod.fitbod,"Jun 15, 2022","May 22, 2020","1,000,000+ ",3.11.2,MC
Sleep Sound Pro - Relax Mind,PEGI 3,£0.09,False,N/A,N/A,https://play.google.com/store/apps/details?id=jp.snowlife01.android.relax_pro,"Feb 19, 2022","Feb 5, 2022","1,000+ ",1.0.1,MC
Lose Belly Fat  - Abs Workout,PEGI 3,0,True,4.8,497K,https://play.google.com/store/apps/details?id=losebellyfat.flatstomach.absworkout.fatburning,"Jan 20, 2022","Apr 12, 2018","50,000,000+ ",1.4.8,MC
BodyFast Intermittent Fasting,PEGI 3,0,True,4.7,185K,https://play.google.com/store/apps/details?id=com.bodyfast,"May 18, 2022","Jan 19, 2018","10,000,000+ ",3.12.4,MC
Replika: My AI Friend,PEGI 16 • Strong Language,0,True,3.8,401K,https://play.google.com/store/apps/details?id=ai.replika.app,"Jun 23, 2022","Sep 8, 2017","10,000,000+ ",9.12.2,MC
Blood Pressure,PEGI 3,0,True,3.0,39.4K,https://play.google.com/store/apps/details?id=bp.bloodpressureinfo,"May 24, 2022","Nov 3, 2018","10,000,000+ ",101.0,MC
Femometer - Fertility Tracker,PEGI 3,0,True,4.7,35.2K,https://play.google.com/store/apps/details?id=com.bm.android.thermometer,"Jun 23, 2022","Jul 1, 2018","1,000,000+ ",5.13.0(4060),MC
