App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version,Country Code
Fitbit,PEGI 3,0,True,4.1,919K,https://play.google.com/store/apps/details?id=com.fitbit.FitbitMobile,"Jun 7, 2022","Mar 16, 2012","50,000,000+ ",3.59.1,NO
Baby Shusher - Soothing Sounds for Baby,PEGI 3,£4.39,False,2.8,287,https://play.google.com/store/apps/details?id=com.babyshusher.android,"Jun 25, 2021","Oct 11, 2013","10,000+ ",2.2.5,NO
Tools & Amazfit,PEGI 3,£3.29,False,3.2,4.36K,https://play.google.com/store/apps/details?id=cz.zdenekhorak.amazfittools,"Oct 15, 2021","Nov 27, 2017","100,000+ ",6.4.0,NO
MyFLO Period Tracker,PEGI 12 • Sex,£1.89,False,2.3,1.29K,https://play.google.com/store/apps/details?id=com.flolivingalisavitti.myfloapp,"May 3, 2022","Jan 23, 2017","10,000+ ",2.0.3,NO
Lifesum: Healthy Eating & Diet,PEGI 3,0,True,4.5,316K,https://play.google.com/store/apps/details?id=com.sillens.shapeupclub,"Jun 21, 2022","Jun 16, 2011","10,000,000+ ",Varies with device,NO
Sleep Sound Pro - Relax Mind,PEGI 3,£0.09,False,N/A,N/A,https://play.google.com/store/apps/details?id=jp.snowlife01.android.relax_pro,"Feb 19, 2022","Feb 5, 2022","1,000+ ",1.0.1,NO
Lose Belly Fat  - Abs Workout,PEGI 3,0,True,4.8,497K,https://play.google.com/store/apps/details?id=losebellyfat.flatstomach.absworkout.fatburning,"Jan 20, 2022","Apr 12, 2018","50,000,000+ ",1.4.8,NO
BodyFast Intermittent Fasting,PEGI 3,0,True,4.7,185K,https://play.google.com/store/apps/details?id=com.bodyfast,"May 18, 2022","Jan 19, 2018","10,000,000+ ",3.12.4,NO
Replika: My AI Friend,PEGI 16 • Strong Language,0,True,3.8,401K,https://play.google.com/store/apps/details?id=ai.replika.app,"Jun 23, 2022","Sep 8, 2017","10,000,000+ ",9.12.2,NO
Lullaby pack Sleep + Mindroid,PEGI 3,£1.49,False,3.9,2.81K,https://play.google.com/store/apps/details?id=com.urbandroid.sleep.addon.lullaby,"May 2, 2022","Feb 17, 2013","100,000+ ",2.7,NO
75 Hard,PEGI 12 • Mild Swearing,£4.29,False,3.3,457,https://play.google.com/store/apps/details?id=com.media44seven.seventyfivehard,"Jan 30, 2021","Jun 23, 2020","50,000+ ",1.37,NO
Postkassetrimmen,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.postkassetrimmen,"Jun 12, 2022",N/A,"5,000+ ",4.16.0,NO
