App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version,Country Code
EvolveYou,PEGI 3,0,True,4.7,3.85K,https://play.google.com/store/apps/details?id=com.celassimplicity.toneandsculptapp,"Jun 17, 2022","Jan 1, 2019","100,000+ ",6.1.0,SE
Fitbit,PEGI 3,0,True,4.1,919K,https://play.google.com/store/apps/details?id=com.fitbit.FitbitMobile,"Jun 7, 2022","Mar 16, 2012","50,000,000+ ",3.59.1,SE
Period Calendar Period Tracker,PEGI 3,0,True,4.9,6.71M,https://play.google.com/store/apps/details?id=com.popularapp.periodcalendar,"Jun 10, 2022","Mar 16, 2012","100,000,000+ ",Varies with device,SE
Fitbod Workout & Fitness Plans,PEGI 3,0,True,4.2,8.87K,https://play.google.com/store/apps/details?id=com.fitbod.fitbod,"Jun 15, 2022","May 22, 2020","1,000,000+ ",3.11.2,SE
Lifesum: Healthy Eating & Diet,PEGI 3,0,True,4.5,316K,https://play.google.com/store/apps/details?id=com.sillens.shapeupclub,"Jun 21, 2022","Jun 16, 2011","10,000,000+ ",Varies with device,SE
Lose Belly Fat  - Abs Workout,PEGI 3,0,True,4.8,497K,https://play.google.com/store/apps/details?id=losebellyfat.flatstomach.absworkout.fatburning,"Jan 20, 2022","Apr 12, 2018","50,000,000+ ",1.4.8,SE
BodyFast Intermittent Fasting,PEGI 3,0,True,4.7,185K,https://play.google.com/store/apps/details?id=com.bodyfast,"May 18, 2022","Jan 19, 2018","10,000,000+ ",3.12.4,SE
Replika: My AI Friend,PEGI 16 • Strong Language,0,True,3.8,401K,https://play.google.com/store/apps/details?id=ai.replika.app,"Jun 23, 2022","Sep 8, 2017","10,000,000+ ",9.12.2,SE
Pollenkoll - Dagliga prognoser,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=pollen.pollen,"Apr 14, 2022",N/A,"50,000+ ",3.0.6.4,SE
Måttfull,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=se.systembolaget.mattfull,"Apr 5, 2022","Nov 23, 2020","10,000+ ",1.2,SE
Splits Training in 30 Days,PEGI 3,0,True,4.8,281K,https://play.google.com/store/apps/details?id=splits.splitstraining.dothesplits.splitsin30days,"Mar 21, 2022","Jul 12, 2019","10,000,000+ ",1.0.27,SE
Stepler,PEGI 3,N/A,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.stepler,"Apr 18, 2022",N/A,"1,000,000+ ",1.7.9,SE
OWNU,PEGI 3,0,True,4.4,627,https://play.google.com/store/apps/details?id=com.ownu.app,"May 9, 2022","Oct 11, 2020","50,000+ ",1.4.4,SE
"Strava: Run, Ride, Hike",Parental guidance • Parental Guidance Recommended,0,True,4.5,762K,https://play.google.com/store/apps/details?id=com.strava,"Jun 20, 2022","Jun 9, 2011","50,000,000+ ",Varies with device,SE
StepsApp – Step Counter,PEGI 3,0,True,4.6,64.8K,https://play.google.com/store/apps/details?id=com.stepsappgmbh.stepsapp,"Jun 14, 2022","Aug 28, 2017","5,000,000+ ",4.3.4,SE
Sweatcoin,PEGI 3,0,True,4.4,1.21M,https://play.google.com/store/apps/details?id=in.sweatco.app,"Jun 21, 2022","Apr 9, 2017","50,000,000+ ",102.1,SE
Diet Doctor — low-carb & keto,PEGI 3,0,True,4.6,1.92K,https://play.google.com/store/apps/details?id=com.dietdoctor.EatApp,"Jun 16, 2022","Apr 17, 2020","100,000+ ",2.91.4,SE
Strong Workout Tracker Gym Log,PEGI 3,0,True,4.8,39K,https://play.google.com/store/apps/details?id=io.strongapp.strong,"Apr 29, 2022","Apr 9, 2017","1,000,000+ ",2.7.8,SE
Insight Timer - Meditation App,PEGI 3,0,True,4.9,191K,https://play.google.com/store/apps/details?id=com.spotlightsix.zentimerlite2,"Jun 22, 2022","Dec 15, 2010","5,000,000+ ",16.2.15,SE
Yoga Nidra,PEGI 3,£1.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=se.gavleyogaskola,"Nov 16, 2019","Sep 2, 2012","1,000+ ",1.7.0,SE
YAZIO Fasting & Food Tracker,PEGI 3,0,True,4.5,456K,https://play.google.com/store/apps/details?id=com.yazio.android,"Jun 15, 2022","Apr 23, 2014","10,000,000+ ",Varies with device,SE
MyFitnessPal - Calorie Counter,PEGI 3,0,True,4.4,2.51M,https://play.google.com/store/apps/details?id=com.myfitnesspal.android,"Jun 22, 2022","Apr 26, 2010","100,000,000+ ",Varies with device,SE
Waking Up: Guided Meditation,PEGI 3,0,True,4.9,33.1K,https://play.google.com/store/apps/details?id=org.wakingup.android,"Jun 20, 2022","Oct 28, 2018","1,000,000+ ",2.3.0,SE
Home Workouts No Equipment Pro,PEGI 3,£1.59,True,4.5,24.9K,https://play.google.com/store/apps/details?id=fitness.workouts.home.workoutspro,"May 10, 2022","May 27, 2017","1,000,000+ ",113.19,SE
Step Tracker - Pedometer,PEGI 3,0,True,4.9,554K,https://play.google.com/store/apps/details?id=steptracker.healthandfitness.walkingtracker.pedometer,"Apr 18, 2022","Aug 15, 2019","10,000,000+ ",1.3.0,SE
"Step Counter - Pedometer, MStep",PEGI 3,0,True,4.9,1.16M,https://play.google.com/store/apps/details?id=pedometer.steptracker.calorieburner.stepcounter,"May 24, 2022","Jul 28, 2017","50,000,000+ ",1.2.4,SE
STC Training Club,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=se.stc.trainingclub,"Apr 11, 2022","Jan 13, 2020","10,000+ ",2.4.5,SE
FitProSport Full Version,PEGI 3,£0.99,True,4.7,8.13K,https://play.google.com/store/apps/details?id=fitness.fitprosportfull,"Mar 22, 2022","Feb 27, 2015","100,000+ ",4.98 FULL,SE
