App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version
NHS App,PEGI 3,0,False,4.2,25.8K,https://play.google.com/store/apps/details?id=com.nhs.online.nhsonline,"May 31, 2022","Dec 31, 2018","10,000,000+ ",2.11.0
myGP® - Book GP appointments,PEGI 3,0,False,3.9,12.6K,https://play.google.com/store/apps/details?id=net.iplato.mygp,"May 31, 2022","Oct 4, 2013","1,000,000+ ",8.9.1
NHS COVID-19,PEGI 3,0,False,4.0,135K,https://play.google.com/store/apps/details?id=uk.nhs.covid19.production,"Jun 9, 2022","Aug 12, 2020","10,000,000+ ",4.30 (317)
NHS Scotland Covid Status,PEGI 3,0,False,3.0,4.36K,https://play.google.com/store/apps/details?id=scot.nhs.nss.vcert,"Apr 27, 2022","Sep 22, 2021","500,000+ ",3.4.0
Patient Access,PEGI 3,0,False,4.6,116K,https://play.google.com/store/apps/details?id=uk.co.patient.patientaccess,"Jun 10, 2022","Mar 8, 2013","1,000,000+ ",2.7.15.1
Health Passport Worldwide,PEGI 3,0,False,2.0,419,https://play.google.com/store/apps/details?id=ie.healthpassportireland.patient,"Mar 31, 2022","Feb 2, 2021","100,000+ ",1.9.0
FreeStyle LibreLink - GB,PEGI 3,0,False,2.7,2.1K,https://play.google.com/store/apps/details?id=com.freestylelibre.app.gb,"Mar 11, 2021","Feb 5, 2018","100,000+ ",2.5.3
Pharmacy2U NHS Prescriptions,PEGI 3,0,False,4.7,17.5K,https://play.google.com/store/apps/details?id=com.kwiboo.p2urepeatsapp.android,"Jun 10, 2022","May 28, 2014","500,000+ ",4.1.2
Hey Pharmacist,PEGI 3,0,False,4.7,3.38K,https://play.google.com/store/apps/details?id=uk.co.dimec.pharmacy,"Jun 17, 2022","Feb 26, 2016","100,000+ ",4.3.1
SkinVision - Find Skin Cancer,PEGI 3,0,False,4.0,3.64K,https://play.google.com/store/apps/details?id=com.rubytribe.skinvision.ac,"Mar 8, 2022","Jul 14, 2015","500,000+ ",6.15.0
NHS Give Blood,PEGI 3,0,False,4.8,4.77K,https://play.google.com/store/apps/details?id=com.savant.mobile.nhs.nhsgiveblood,"Feb 2, 2022","Jun 14, 2012","500,000+ ",3.2.2
VideoGP from LloydsPharmacy,PEGI 3,0,False,3.8,63,https://play.google.com/store/apps/details?id=technology.lloydsonlinedoctor.app.videogp,"Jun 10, 2022","Nov 19, 2020","10,000+ ",4.0.2035
Livi – See a Doctor by Video,PEGI 3,0,False,4.5,19.1K,https://play.google.com/store/apps/details?id=health.livi.android,"Jun 7, 2022","Sep 14, 2018","1,000,000+ ",3.43.2
Babylon: Healthcare when you need it,PEGI 3,0,False,4.5,12.1K,https://play.google.com/store/apps/details?id=com.babylon,"Jun 16, 2022","Apr 18, 2014","500,000+ ",46.0.0.300012656
