App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version,Country Code
"Vivellio - Impfpass, Medikamente & Gesundheit",PEGI 3,N/A,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.netural.vivellio,"May 31, 2022",N/A,"50,000+ ",1.3.1,AT
CoPE Paediatric Emergency,PEGI 3,£0.81,False,N/A,N/A,https://play.google.com/store/apps/details?id=dk.centic.cope,"Jan 18, 2019","Aug 26, 2013","1,000+ ",2.0-cope,AT
Dilumed,PEGI 3,£0.59,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.dilumed.pay,"Sep 27, 2021","Sep 27, 2021","1,000+ ",1.0,AT
Rettung,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=eu.medicalit.notruf,"May 2, 2022",N/A,"10,000+ ",2.0.7,AT
TousAntiCovid,PEGI 3,0,False,4.2,225K,https://play.google.com/store/apps/details?id=fr.gouv.android.stopcovid,"Jun 20, 2022","Jun 2, 2020","10,000,000+ ",4.3.0,AT
Heilkräuter / Mamas Kräuter-App,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.mamaskraeuterapp.kraeuter_app,"Dec 22, 2020","Apr 14, 2020","10,000+ ",1.1.2,AT
ASRA Coags,PEGI 3,£3.79,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.asra.asracoags,"Mar 10, 2022","May 26, 2015","10,000+ ",2.3.3,AT
Signia App,PEGI 3,0,False,2.5,6.95K,https://play.google.com/store/apps/details?id=com.signia.rta,"Jun 9, 2022","Sep 16, 2019","500,000+ ",2.5.70.6698,AT
SHOP APOTHEKE  - Pharmacy app,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=shop.shop_apotheke.com.shopapotheke,"Jun 23, 2022",N/A,"1,000,000+ ",2.19.1,AT
Horse Anatomy: Equine 3D,PEGI 3,£4.59,False,3.0,116,https://play.google.com/store/apps/details?id=com.realbodywork.horseanatomy,"Jul 20, 2021","Dec 5, 2013","5,000+ ",2.10,AT
Recognise Knee,PEGI 3,£6.99,False,N/A,N/A,https://play.google.com/store/apps/details?id=au.com.appliquette.recognise.knee,"May 16, 2019","Mar 2, 2016","1,000+ ",1.0.6,AT
drd,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.drd,"Jun 10, 2022","Feb 18, 2021","5,000+ ",2.0,AT
Human Anatomy Atlas 2021,PEGI 3,£21.49,True,4.5,10.1K,https://play.google.com/store/apps/details?id=com.visiblebody.atlas,"Mar 17, 2021","Sep 30, 2016","100,000+ ",2021.2.27,AT
Blood Pressure,PEGI 3,0,True,4.2,54.4K,https://play.google.com/store/apps/details?id=com.szyk.myheart,"May 25, 2022","Jul 15, 2012","10,000,000+ ",Google-6.12.0,AT
SkinScreener,PEGI 3,0,True,3.7,230,https://play.google.com/store/apps/details?id=at.skinscreener,"Mar 28, 2022","Oct 2, 2020","50,000+ ",2.16.38,AT
e-Anatomy,PEGI 18,0,True,3.9,2.82K,https://play.google.com/store/apps/details?id=net.imaios.eanatomy,"May 17, 2022","Oct 20, 2011","500,000+ ",5.2.7,AT
AVAX Blood Pressure Diary,PEGI 3,0,True,4.5,6.43K,https://play.google.com/store/apps/details?id=app.avax.health,"Jun 16, 2022","Dec 31, 2018","100,000+ ",6.9.5,AT
"Apo-App Apotheken, Medikamente",PEGI 3,0,False,4.1,1.89K,https://play.google.com/store/apps/details?id=at.or.apotheker,"Mar 23, 2022","May 26, 2011","100,000+ ",3.6.5.49848,AT
EMT PASS- NEW,PEGI 3,£18.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.limmercreative.passengine.emt,"Apr 6, 2021","Mar 4, 2020","1,000+ ",1.1.3,AT
SimMon,PEGI 3,£18.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=dk.castleandersen.simmon,"Oct 27, 2020","Oct 23, 2019",500+ ,1.1,AT
apotheke.at online pharmacy,PEGI 3,N/A,True,N/A,N/A,https://play.google.com/store/apps/details?id=de.apologistics.ApoAt,"Apr 8, 2022",N/A,100+ ,1.0.0,AT
Visual Anatomy 2,PEGI 3,£1.59,False,4.6,939,https://play.google.com/store/apps/details?id=com.hssn.anatomy2,"Jun 9, 2022","Aug 22, 2014","10,000+ ",Varies with device,AT
My Calendar - Period Tracker,PEGI 3,0,True,4.9,385K,https://play.google.com/store/apps/details?id=com.lbrc.PeriodCalendar,"Jun 20, 2022","Aug 16, 2015","10,000,000+ ",8.3.1,AT
MDonCall - Practical Guide,PEGI 3,£9.99,False,4.4,51,https://play.google.com/store/apps/details?id=com.mdoncall,"May 19, 2022","Oct 25, 2012","5,000+ ",6.1.7,AT
AcciDent,PEGI 3,£6.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=ch.zahnunfallzentrum.accident,"Aug 26, 2019","Mar 4, 2013","1,000+ ",1.0.1,AT
Fetal calculator PRO,PEGI 3,£13.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.profile.ifetal_premium,"Mar 3, 2020","Sep 6, 2018","1,000+ ",1.1.1,AT
DrugDoses,PEGI 3,£10.32,True,4.1,272,https://play.google.com/store/apps/details?id=com.DrugDoses.v2010,"Apr 6, 2022","Sep 16, 2010","5,000+ ",6.6,AT
MAYD: MEDS AT YOUR DOORSTEP,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.mayd.mayd,"Jun 16, 2022","Oct 13, 2021","100,000+ ",1.2.1,AT
Anatomy 3D Atlas,PEGI 3,0,True,3.9,13.1K,https://play.google.com/store/apps/details?id=com.catfishanimationstudio.MuscularSystemLite,"Apr 27, 2021","Sep 8, 2015","1,000,000+ ",3.1.1,AT
Pedi Help,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.CreaBooSoft.PediHelp,"Apr 11, 2022","Jul 23, 2015","100,000+ ",2.3,AT
Anatomy Learning - 3D Anatomy,PEGI 3,0,True,4.4,103K,https://play.google.com/store/apps/details?id=com.AnatomyLearning.Anatomy3DViewer3,"Mar 29, 2022","Mar 20, 2014","5,000,000+ ",2.1.351,AT
OptoDrum,PEGI 3,£4.75,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.linsay.optodrumandroid,"Oct 15, 2020","May 23, 2015","5,000+ ",1.0.2,AT
Human Anatomy Atlas 2022＋,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.visiblebody.subscription,"May 23, 2022","Mar 7, 2022","10,000+ ",1.01.014,AT
Embryotox,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=de.embryotox,"Dec 1, 2020","Mar 25, 2013","100,000+ ",5.0.0,AT
Blood Pressure Diary,PEGI 3,0,True,4.7,70K,https://play.google.com/store/apps/details?id=com.bluefish.bloodpressure,"Apr 14, 2020","Dec 2, 2018","1,000,000+ ",0.1.17,AT
Mein Laborergebnis,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=de.itech_gmbh.meinlaborergebnis,"Apr 5, 2022","Apr 7, 2020","1,000,000+ ",1.4.1,AT
Sanford Guide,PEGI 3,0,True,4.2,3.48K,https://play.google.com/store/apps/details?id=com.sanfordguide.amt,"May 10, 2022","Aug 4, 2014","100,000+ ",5.1.13,AT
Diagnosia,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.diagnosia.fachinformation,"Mar 23, 2022","Oct 19, 2020","10,000+ ",5.4.1,AT
Neonatal Guide,PEGI 3,£16.99,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.neonatalguide,"Aug 20, 2021","Jan 15, 2021",500+ ,4,AT
Cardiac diagnosis-heart rate,PEGI 3,£11.99,False,3.8,431,https://play.google.com/store/apps/details?id=com.sdk.cardiac_diagnosis,"Apr 20, 2022","Jun 20, 2018","5,000+ ",25,AT
Mein Blut,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=at.roteskreuz.blooddonor.app,"Jun 10, 2022","Mar 19, 2021","10,000+ ",2.0.5,AT
