App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version,Country Code
Doctena.be,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=goodsoft.be.doctenalu,"Nov 5, 2021","Jul 8, 2015","10,000+ ",2.0.14,BE
CoPE Paediatric Emergency,PEGI 3,£0.81,False,N/A,N/A,https://play.google.com/store/apps/details?id=dk.centic.cope,"Jan 18, 2019","Aug 26, 2013","1,000+ ",2.0-cope,BE
Dilumed,PEGI 3,£0.59,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.dilumed.pay,"Sep 27, 2021","Sep 27, 2021","1,000+ ",1.0,BE
TousAntiCovid,PEGI 3,0,False,4.2,225K,https://play.google.com/store/apps/details?id=fr.gouv.android.stopcovid,"Jun 20, 2022","Jun 2, 2020","10,000,000+ ",4.3.0,BE
ASRA Coags,PEGI 3,£3.79,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.asra.asracoags,"Mar 10, 2022","May 26, 2015","10,000+ ",2.3.3,BE
Petralex Hearing Aid App,PEGI 3,0,True,2.9,7.42K,https://play.google.com/store/apps/details?id=com.it4you.petralex,"Nov 2, 2021","Apr 1, 2014","1,000,000+ ",3.9.8,BE
Signia App,PEGI 3,0,False,2.5,6.95K,https://play.google.com/store/apps/details?id=com.signia.rta,"Jun 9, 2022","Sep 16, 2019","500,000+ ",2.5.70.6698,BE
QuitNow: Quit smoking for good,PEGI 3,0,True,4.5,59.2K,https://play.google.com/store/apps/details?id=com.EAGINsoftware.dejaloYa,"Jun 7, 2022","Jul 3, 2010","1,000,000+ ",6.29.1,BE
Horse Anatomy: Equine 3D,PEGI 3,£4.59,False,3.0,116,https://play.google.com/store/apps/details?id=com.realbodywork.horseanatomy,"Jul 20, 2021","Dec 5, 2013","5,000+ ",2.10,BE
Human Anatomy Atlas 2021,PEGI 3,£21.49,True,4.5,10.1K,https://play.google.com/store/apps/details?id=com.visiblebody.atlas,"Mar 17, 2021","Sep 30, 2016","100,000+ ",2021.2.27,BE
CoZo,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.cozo.mobile,"Mar 25, 2022",N/A,"100,000+ ",12,BE
Dry Needling Guide,PEGI 3,£20.99,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.barb.dnguide,"Feb 10, 2022","May 25, 2017",100+ ,6.3,BE
Voorschrift op Zak,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=be.farmad.hermes.prod,"Apr 20, 2021",N/A,"50,000+ ",1.0.0,BE
EMT PASS- NEW,PEGI 3,£18.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.limmercreative.passengine.emt,"Apr 6, 2021","Mar 4, 2020","1,000+ ",1.1.3,BE
Voice Analyst,PEGI 3,£11.99,False,4.4,38,https://play.google.com/store/apps/details?id=co.speechtools.voiceanalyst,"Jan 25, 2021","Nov 27, 2013","1,000+ ",4.2.1,BE
SimMon,PEGI 3,£18.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=dk.castleandersen.simmon,"Oct 27, 2020","Oct 23, 2019",500+ ,1.1,BE
