App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version,Country Code
MeineLaborwerte,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.vireq.patientenauskunftapp,"Apr 19, 2021","Apr 7, 2020","100,000+ ",1.7.2,DE
ePassGo,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=de.passgo.passgo,"Mar 20, 2022","Mar 15, 2021","500,000+ ",0.3.7,DE
AGN Notfallfibel Pro,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=at.imigraz.ralfmuellerbooklet.v2014,"Feb 13, 2022","Jan 29, 2014","1,000+ ",15.2.2,DE
Monash University FODMAP diet,PEGI 3,£5.60,False,3.5,2.47K,https://play.google.com/store/apps/details?id=com.monashuniversity.fodmap,"Jan 18, 2022","Nov 6, 2013","100,000+ ",3.0.9,DE
Muscle Trigger Point Anatomy,PEGI 3,£2.69,False,4.5,1.59K,https://play.google.com/store/apps/details?id=com.real.bodywork.muscle.trigger.points,"Jul 30, 2019","Jan 27, 2011","50,000+ ",2.4.8,DE
MyTherapy Pill Reminder,PEGI 3,0,False,4.6,135K,https://play.google.com/store/apps/details?id=eu.smartpatient.mytherapy,"Jun 21, 2022","Apr 14, 2015","5,000,000+ ",3.88.4,DE
Essential Anatomy 5,PEGI 3,£14.99,False,3.5,2.24K,https://play.google.com/store/apps/details?id=com.the3d4medical.EssentialAnatomy,"Feb 1, 2022","May 14, 2014","50,000+ ",1.2.0,DE
Human Anatomy Atlas 2022＋,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.visiblebody.subscription,"May 23, 2022","Mar 7, 2022","10,000+ ",1.01.014,DE
Mein Testergebnis,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=de.itech_gmbh.meintestergebnis,"Mar 30, 2022","Apr 9, 2021","50,000+ ",1.4.0,DE
Krebs Therapie Assistent Mika,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.fosanis.android.cancer_companion,"Jun 23, 2022",N/A,"100,000+ ",1.8.17,DE
FreeStyle Libre 3 – DE,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.freestylelibre3.app.de,"Jan 19, 2022",N/A,"50,000+ ",3.3.1,DE
SnoreGym : Reduce Your Snoring,PEGI 3,£4.19,False,4.7,951,https://play.google.com/store/apps/details?id=com.snorelab.snoregym,"Jan 15, 2021","Feb 3, 2020","50,000+ ",1.0.8,DE
