App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version,Country Code
OptoDrum,PEGI 3,£4.75,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.linsay.optodrumandroid,"Oct 15, 2020","May 23, 2015","5,000+ ",1.0.2,ES
SkinScreener,PEGI 3,0,True,3.7,229,https://play.google.com/store/apps/details?id=at.skinscreener,"Mar 28, 2022","Oct 2, 2020","50,000+ ",2.16.38,ES
CardioSignal,PEGI 3,0,True,1.8,512,https://play.google.com/store/apps/details?id=com.precordior.cardiosignal,"Feb 7, 2022","Apr 2, 2020","100,000+ ",2.10.1,ES
TCM Clinic Aid,PEGI 3,£17.99,True,4.8,455,https://play.google.com/store/apps/details?id=com.cyberandsons.tcmaid,"Mar 4, 2022","Nov 16, 2010","10,000+ ",2.2.34,ES
My Crisalix,PEGI 12 • Nudity,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.crisalix.My,"Oct 14, 2021","Nov 26, 2019","10,000+ ",3.4.1,ES
Shen-Acupuncture,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.digitalbithub.shen,"Aug 30, 2021","Jan 16, 2018","100,000+ ",1.4.5,ES
Blood Pressure App: Heart Rate,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=blood.pressure.heart.rate.monitor.pulse.tracker.app.hch,"May 22, 2022","Dec 13, 2021","100,000+ ",1.4.2,ES
Doctor At Work (Plus) - Patient Medical Records,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.mobilebizco.atworkseries.doctor_v2,"Sep 2, 2020","Dec 31, 2018","10,000+ ",1.47.0,ES
FreeStyle Libre 3 - ES,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.freestylelibre3.app.es,"Mar 30, 2022",N/A,"1,000+ ",3.3.1,ES
Muscle Premium,PEGI 3,£22.49,True,3.9,460,https://play.google.com/store/apps/details?id=com.visiblebody.musclepremium,"Aug 11, 2017","Oct 4, 2016","10,000+ ",7.1.17,ES
MIR MirMeApp,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.mirmeapp,"Jan 9, 2020","Aug 31, 2013","50,000+ ",Varies with device,ES
