App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version,Country Code
OneTouch Reveal® Diabetes App,PEGI 3,0,False,3.9,22.3K,https://play.google.com/store/apps/details?id=com.lifescan.reveal,"Mar 23, 2022","Nov 6, 2015","1,000,000+ ",5.6.0,FR
Procédures anesthésiques vol 1,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.jle.pa1,"Jun 9, 2022","Feb 2, 2022",500+ ,1.2.4,FR
Monash University FODMAP diet,PEGI 3,£5.60,False,3.5,2.47K,https://play.google.com/store/apps/details?id=com.monashuniversity.fodmap,"Jan 18, 2022","Nov 6, 2013","100,000+ ",3.0.9,FR
MyTherapy Pill Reminder,PEGI 3,0,False,4.6,135K,https://play.google.com/store/apps/details?id=eu.smartpatient.mytherapy,"Jun 21, 2022","Apr 14, 2015","5,000,000+ ",3.88.4,FR
Human Anatomy Atlas 2022＋,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.visiblebody.subscription,"May 23, 2022","Mar 7, 2022","10,000+ ",1.01.014,FR
AppInes - Recrutement en santé,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.appines.app,"Mar 31, 2022","Nov 7, 2018","10,000+ ",Varies with device,FR
SnoreGym : Reduce Your Snoring,PEGI 3,£4.19,False,4.7,951,https://play.google.com/store/apps/details?id=com.snorelab.snoregym,"Jan 15, 2021","Feb 3, 2020","50,000+ ",1.0.8,FR
Mon laboratoire Cerballiance,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.cerbahc.patient,"Aug 24, 2021","Dec 18, 2017","100,000+ ",1.4,FR
Preventicus Heartbeats,PEGI 3,0,True,3.3,1.89K,https://play.google.com/store/apps/details?id=com.preventicus.heartbeats,"Feb 11, 2022","Jul 20, 2016","100,000+ ",1.6.16,FR
Migraine Buddy: Track Headache,PEGI 3,0,True,4.7,48.7K,https://play.google.com/store/apps/details?id=com.healint.migraineapp,"May 5, 2022","Jul 8, 2014","1,000,000+ ",50.0.1651284433,FR
TousAntiCovid,PEGI 3,0,False,4.2,225K,https://play.google.com/store/apps/details?id=fr.gouv.android.stopcovid,"Jun 20, 2022","Jun 2, 2020","10,000,000+ ",4.3.0,FR
DocaMED,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=fr.docamed.docamed_app,"May 10, 2021","Oct 3, 2016","1,000+ ",2.3.1,FR
Mon Orthodontiste,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.orthokis.OrthokisPatients,"Jun 13, 2022","Nov 13, 2019","50,000+ ",1.1.25,FR
Physio Network: Research Reviews,PEGI 3,0,True,4.6,131,https://play.google.com/store/apps/details?id=com.physionetwork.app,"Jun 16, 2022","Oct 7, 2020","10,000+ ",3.3.974,FR
SMUR BMPM,PEGI 18,£10.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.SMUR.smurbmpm,"May 31, 2021","May 14, 2014","1,000+ ",4.3.8,FR
Réanimation 2022,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.europagroup.srlf2022,"Jun 20, 2022","Jun 10, 2022",500+ ,1.4.283,FR
lepharmacien - mon partenaire santé,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.lepharmacien,"May 4, 2021","Apr 20, 2019","100,000+ ",2.6,FR
Seizure Alert – My Medic Watch,PEGI 3,0,True,2.2,97,https://play.google.com/store/apps/details?id=com.mymedicwatch.seizure.prod,"Jun 17, 2022","Apr 8, 2019","10,000+ ",S-2.2.8,FR
Anatomy 3D Atlas,PEGI 3,0,True,3.9,13.1K,https://play.google.com/store/apps/details?id=com.catfishanimationstudio.MuscularSystemLite,"Apr 27, 2021","Sep 8, 2015","1,000,000+ ",3.1.1,FR
CLICKDOC,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.clickdoc.fr,"May 24, 2022",N/A,"50,000+ ",22.2.0,FR
Joint Academy,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=ai.arthro.jointacademy,"Jun 17, 2022",N/A,"100,000+ ",2.0.98,FR
