App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version,Country Code
Push Doctor - Online Doctor Appointments & Advice,PEGI 3,0,False,4.7,10.2K,https://play.google.com/store/apps/details?id=com.pushdr.application,"Jun 9, 2022","Sep 28, 2016","100,000+ ",5.6.0,GB
Chemist4U NHS Prescriptions,PEGI 3,0,False,4.2,54,https://play.google.com/store/apps/details?id=org.innox.c4u_mobile_app,"May 22, 2022","Sep 22, 2021","10,000+ ",2.19,GB
My Calendar - Period Tracker,PEGI 3,0,True,4.9,385K,https://play.google.com/store/apps/details?id=com.lbrc.PeriodCalendar,"Jun 20, 2022","Aug 16, 2015","10,000,000+ ",8.3.1,GB
minuteful - kidney test,PEGI 3,0,False,4.7,16.9K,https://play.google.com/store/apps/details?id=io.healthy.acr.minuteful,"May 23, 2022","Dec 15, 2020","50,000+ ",7.9.0,GB
Christella VoiceUp,PEGI 3,0,True,3.7,122,https://play.google.com/store/apps/details?id=co.speechtools.christellamtf,"May 24, 2021","Feb 9, 2017","10,000+ ",7.0.2,GB
Patient Access,PEGI 3,0,False,4.6,116K,https://play.google.com/store/apps/details?id=uk.co.patient.patientaccess,"Jun 10, 2022","Mar 8, 2013","1,000,000+ ",2.7.15.1,GB
OR-App,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.xiphias.surgical,"Mar 17, 2019","Jun 1, 2018","1,000+ ",1.1.5,GB
Hey Pharmacist,PEGI 3,0,False,4.7,3.39K,https://play.google.com/store/apps/details?id=uk.co.dimec.pharmacy,"Jun 23, 2022","Feb 26, 2016","100,000+ ",4.3.3,GB
Pregnancy Tracker,PEGI 3,0,True,4.9,314K,https://play.google.com/store/apps/details?id=com.easymobs.pregnancy,"Jun 21, 2022","May 4, 2016","5,000,000+ ",1.2.84,GB
LloydsDirect NHS Prescriptions,PEGI 3,0,False,4.6,25.8K,https://play.google.com/store/apps/details?id=echo.co.uk,"May 19, 2022","Jul 13, 2017","500,000+ ",5.29.0,GB
Lexicomp,PEGI 3,0,True,4.4,2.47K,https://play.google.com/store/apps/details?id=com.lexi.android,"Apr 19, 2022","Apr 7, 2010","500,000+ ",Varies with device,GB
Natural Cycles - Birth Control,PEGI 3,0,False,4.9,17.9K,https://play.google.com/store/apps/details?id=com.naturalcycles.cordova,"Jun 16, 2022","Apr 17, 2014","500,000+ ",4.5.8,GB
Monash University FODMAP diet,PEGI 3,£5.60,False,3.5,2.47K,https://play.google.com/store/apps/details?id=com.monashuniversity.fodmap,"Jan 18, 2022","Nov 6, 2013","100,000+ ",3.0.9,GB
Health Passport Worldwide,PEGI 3,0,False,2.0,419,https://play.google.com/store/apps/details?id=ie.healthpassportireland.patient,"Mar 31, 2022","Feb 2, 2021","100,000+ ",1.9.0,GB
SkinScreener,PEGI 3,0,True,3.7,229,https://play.google.com/store/apps/details?id=at.skinscreener,"Mar 28, 2022","Oct 2, 2020","50,000+ ",2.16.38,GB
Babylon: Healthcare when you need it,PEGI 3,0,False,4.5,12.2K,https://play.google.com/store/apps/details?id=com.babylon,"Jun 16, 2022","Apr 18, 2014","500,000+ ",47.0.0.300012759,GB
Freya • Surge Timer,PEGI 3,£2.49,False,3.9,284,https://play.google.com/store/apps/details?id=com.thepositivebirthcompany.freyasurgetimer,"Jun 12, 2020","Dec 23, 2019","10,000+ ",2.0.56,GB
FreeStyle LibreLink - GB,PEGI 3,0,False,2.7,2.11K,https://play.google.com/store/apps/details?id=com.freestylelibre.app.gb,"Mar 11, 2021","Feb 5, 2018","100,000+ ",2.5.3,GB
Badger Notes,PEGI 3,0,False,4.5,2.14K,https://play.google.com/store/apps/details?id=clevermed.clevermed_patientportal_mobile_maternitynotes_droid,"Jun 8, 2022","Aug 30, 2017","100,000+ ",54.1,GB
CFR PLUS,PEGI 3,0,True,4.4,15,https://play.google.com/store/apps/details?id=uk.co.classprofessional.cfr,"Jul 26, 2021","Jun 22, 2020","1,000+ ",1.0.7,GB
Foundation Doctor Handbook,PEGI 3,£2.99,False,4.8,17,https://play.google.com/store/apps/details?id=com.doctors_handbook.foundationdoctorshandbook,"Aug 4, 2021","Jul 19, 2019","1,000+ ",18.0,GB
Essential Anatomy 5,PEGI 3,£14.99,False,3.5,2.24K,https://play.google.com/store/apps/details?id=com.the3d4medical.EssentialAnatomy,"Feb 1, 2022","May 14, 2014","50,000+ ",1.2.0,GB
Moodfit: Mental Health Fitness,PEGI 3,0,True,4.4,643,https://play.google.com/store/apps/details?id=com.robleridge.Moodfit,"Jun 17, 2022","Jan 4, 2017","50,000+ ",2.28,GB
Squeezy Men: NHS Pelvic Floor,PEGI 3,£2.99,False,3.7,39,https://play.google.com/store/apps/details?id=com.propagator.squeezyformen,"Apr 26, 2017","Nov 11, 2014","1,000+ ",1.2.11,GB
mySugr - Diabetes Tracker Log,PEGI 3,0,True,4.4,68.4K,https://play.google.com/store/apps/details?id=com.mysugr.android.companion,"Jun 20, 2022","Dec 6, 2013","1,000,000+ ",3.92.33,GB
Paediatric Emergencies,PEGI 3,£4.99,False,4.7,122,https://play.google.com/store/apps/details?id=com.itdcs.paediatricemergency,"Jan 9, 2022","Apr 1, 2014","5,000+ ",22.01,GB
Livi – See a Doctor by Video,PEGI 3,0,False,4.5,19.2K,https://play.google.com/store/apps/details?id=health.livi.android,"Jun 7, 2022","Sep 14, 2018","1,000,000+ ",3.43.2,GB
ICU Trials by ClinCalc,PEGI 3,£3.83,False,4.6,183,https://play.google.com/store/apps/details?id=com.clincalc.icutrials,"Mar 11, 2022","Jun 9, 2012","5,000+ ",3.2,GB
Surgery App,PEGI 3,0,False,3.0,179,https://play.google.com/store/apps/details?id=uk.co.mysurgeryapp.app,"May 5, 2022","Sep 14, 2020","10,000+ ",1.4.11,GB
Blood Pressure Tracker,PEGI 3,0,True,4.8,13.5K,https://play.google.com/store/apps/details?id=com.aadhk.lite.bptracker,"May 11, 2022","Oct 24, 2011","1,000,000+ ",12.5.0-inApp,GB
NHS COVID-19,PEGI 3,0,False,4.0,135K,https://play.google.com/store/apps/details?id=uk.nhs.covid19.production,"Jun 9, 2022","Aug 12, 2020","10,000,000+ ",4.30 (317),GB
Sanvello: Anxiety & Depression,Parental guidance • Parental Guidance Recommended,0,True,4.5,23.3K,https://play.google.com/store/apps/details?id=com.pacificalabs.pacifica,"Jun 15, 2022","Jan 26, 2015","1,000,000+ ",8.54.0,GB
Teach Me Anatomy,PEGI 3,0,True,4.7,23.2K,https://play.google.com/store/apps/details?id=com.atomengineapps.teachmeanatomy,"Jun 8, 2022","Mar 23, 2016","1,000,000+ ",5.26,GB
Bates' Physical Examination,PEGI 3,0,True,3.4,152,https://play.google.com/store/apps/details?id=com.unbound.android.ubpel,"Jul 6, 2021","Jun 10, 2013","10,000+ ",2.8.02,GB
Pharmacy2U NHS Prescriptions,PEGI 3,0,False,4.7,17.6K,https://play.google.com/store/apps/details?id=com.kwiboo.p2urepeatsapp.android,"Jun 10, 2022","May 28, 2014","500,000+ ",4.1.2,GB
Doctor Care Anywhere,PEGI 3,0,False,2.9,665,https://play.google.com/store/apps/details?id=com.doctorcareanywhere,"Jun 10, 2022","Apr 1, 2016","50,000+ ",4.1.0,GB
GlassesOn | Pupils & Lenses,PEGI 3,0,False,4.9,11.6K,https://play.google.com/store/apps/details?id=com.sixoversix.copyglass,"Jun 12, 2022","Oct 7, 2020","100,000+ ",4.37.1322,GB
FibriCheck,PEGI 3,0,True,3.3,6.32K,https://play.google.com/store/apps/details?id=com.qompium.fibricheck,"Jun 2, 2022","Aug 23, 2016","500,000+ ",2.3.0,GB
MDacne - Custom Acne Treatment,PEGI 3,0,False,4.5,3.69K,https://play.google.com/store/apps/details?id=com.mdacne.mdacne,"Jan 28, 2022","Apr 13, 2020","500,000+ ",1.32.3,GB
NHS App,PEGI 3,0,False,4.2,26K,https://play.google.com/store/apps/details?id=com.nhs.online.nhsonline,"May 31, 2022","Dec 31, 2018","10,000,000+ ",2.11.0,GB
myGP® - Book GP appointments,PEGI 3,0,False,3.9,12.6K,https://play.google.com/store/apps/details?id=net.iplato.mygp,"May 31, 2022","Oct 4, 2013","1,000,000+ ",8.9.1,GB
AXA Doctor At Hand,PEGI 3,0,False,3.5,366,https://play.google.com/store/apps/details?id=com.axa.doctorathand,"Jun 10, 2022","Nov 4, 2020","50,000+ ",4.1.0,GB
CardioSignal,PEGI 3,0,True,1.8,512,https://play.google.com/store/apps/details?id=com.precordior.cardiosignal,"Feb 7, 2022","Apr 2, 2020","100,000+ ",2.10.1,GB
SkinVision - Find Skin Cancer,PEGI 3,0,False,4.0,3.65K,https://play.google.com/store/apps/details?id=com.rubytribe.skinvision.ac,"Jun 23, 2022","Jul 14, 2015","500,000+ ",6.16.0,GB
SystmOnline,PEGI 3,0,False,3.0,1.38K,https://play.google.com/store/apps/details?id=px.app.systmonline,"Jun 9, 2021","Dec 2, 2013","100,000+ ",13,GB
Migraine Buddy: Track Headache,PEGI 3,0,True,4.7,48.7K,https://play.google.com/store/apps/details?id=com.healint.migraineapp,"May 5, 2022","Jul 8, 2014","1,000,000+ ",50.0.1651284433,GB
Synthesis Homeopathic Repertory (Eng) - Schroyens,PEGI 3,£98.99,True,N/A,N/A,https://play.google.com/store/apps/details?id=be.archibel.synthesis.en,"Oct 27, 2021","Oct 13, 2014",500+ ,Varies with device,GB
Oticon ON,PEGI 3,0,False,2.8,5.49K,https://play.google.com/store/apps/details?id=com.oticon.remotecontrol,"Sep 27, 2021","Nov 23, 2016","500,000+ ",Varies with device,GB
PeduliLindungi,PEGI 3,0,False,2.2,954K,https://play.google.com/store/apps/details?id=com.telkom.tracencare,"Jun 11, 2022","Aug 2, 2021","50,000,000+ ",4.4.6,GB
Horse Anatomy: Equine 3D,PEGI 3,£4.59,False,3.0,116,https://play.google.com/store/apps/details?id=com.realbodywork.horseanatomy,"Jul 20, 2021","Dec 5, 2013","5,000+ ",2.10,GB
e-Anatomy,PEGI 18,0,True,3.9,2.82K,https://play.google.com/store/apps/details?id=net.imaios.eanatomy,"May 17, 2022","Oct 20, 2011","500,000+ ",5.2.7,GB
GlassesOff,PEGI 3,0,True,3.5,1.5K,https://play.google.com/store/apps/details?id=com.glassesoff.android,"Apr 19, 2021","Jun 27, 2014","100,000+ ",1.0.0.27,GB
