App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version,Country Code
Wilderness Medicine Reference,PEGI 3,£1.79,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.wildernessmedicinereferenceapp.wmr,"Mar 18, 2022","Jan 31, 2022",100+ ,1.0.1,GI
TraceTogether,PEGI 3,0,False,2.9,57.1K,https://play.google.com/store/apps/details?id=sg.gov.tech.bluetrace,"May 31, 2022","Mar 9, 2020","1,000,000+ ",2.14.2,GI
Blood Pressure Analyze,PEGI 3,0,True,3.9,12.3K,https://play.google.com/store/apps/details?id=com.waterfullrainbow.bloodpressureanalyze,"Sep 9, 2021","Apr 1, 2019","1,000,000+ ",1.3.2,GI
Squeezy: NHS Pelvic Floor App,PEGI 3,£2.99,False,4.6,3.25K,https://play.google.com/store/apps/details?id=com.propagator.squeezy,"Mar 4, 2019","Sep 17, 2014","50,000+ ",Varies with device,GI
หมอพร้อม,PEGI 3,0,False,2.5,84.8K,https://play.google.com/store/apps/details?id=com.mor.promplus,"Apr 4, 2022","Jun 19, 2021","10,000,000+ ",0.7.9,GI
MedPlus Mart - Online Pharmacy,PEGI 3,0,False,3.9,26.4K,https://play.google.com/store/apps/details?id=com.medplus.mobile.android,"Apr 13, 2022","May 11, 2016","1,000,000+ ",5.0.16,GI
Okell Medicine: Notes & Audio,PEGI 3,£1.29,False,N/A,N/A,https://play.google.com/store/apps/details?id=org.medicaudio.okellmedicine,"Mar 15, 2022","Mar 15, 2022",10+ ,1.0,GI
Advanced Naming Therapy,PEGI 3,£21.99,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.tactustherapy.advancednaming,"Feb 3, 2022","Jun 9, 2017",500+ ,2.0.107,GI
MyTherapy Pill Reminder,PEGI 3,0,False,4.6,135K,https://play.google.com/store/apps/details?id=eu.smartpatient.mytherapy,"Jun 21, 2022","Apr 14, 2015","5,000,000+ ",3.88.4,GI
新型コロナワクチン接種証明書アプリ,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=jp.go.digital.vrs.vpa,"May 24, 2022","Nov 5, 2021","1,000,000+ ",1.3.0,GI
Body Temperature Thermometer,PEGI 12 • Sex,0,True,3.8,6.82K,https://play.google.com/store/apps/details?id=com.bodytemperatureThermometer.feverRecordsdiary,"Nov 21, 2021","Oct 15, 2020","1,000,000+ ",1.2,GI
Advanced Language Therapy,PEGI 3,£64.99,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.tactustherapy.advancedlanguagetherapy,"Feb 3, 2022","Feb 13, 2019",500+ ,2.0.107,GI
Human Anatomy Atlas 2022＋,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.visiblebody.subscription,"May 23, 2022","Mar 7, 2022","10,000+ ",1.01.014,GI
Ornament: Health Monitoring,PEGI 3,0,True,5.0,2.64K,https://play.google.com/store/apps/details?id=com.ornament.monitor,"Jun 15, 2022","Aug 7, 2019","500,000+ ",2.64.1,GI
MediQuo Medical Chat - Online doctors consultation,PEGI 3,0,True,5.0,11.3K,https://play.google.com/store/apps/details?id=com.mediquo.main,"Jun 3, 2022","Feb 28, 2019","1,000,000+ ",2.0.150,GI
Apraxia Therapy: Aphasia,PEGI 3,£21.99,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.tactustherapy.apraxiatherapy,"Jun 17, 2022","Nov 14, 2016","1,000+ ",2.0.76,GI
Albert Health Assistant,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=albert.health,"May 31, 2022","Jul 7, 2019","100,000+ ",1.41.2,GI
ЕАПТЕКА — онлайн аптека,PEGI 3,0,False,4.5,227K,https://play.google.com/store/apps/details?id=ru.getpharma.eapteka,"Jun 20, 2022","Jan 23, 2016","5,000,000+ ",22.5.2,GI
Mein Laborergebnis,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=de.itech_gmbh.meinlaborergebnis,"Apr 5, 2022","Apr 7, 2020","1,000,000+ ",1.4.1,GI
Saunders Comp Review NCLEX RN,PEGI 3,0,True,4.1,1.46K,https://play.google.com/store/apps/details?id=com.medpresso.testzapp.crnclex_rn,"Jun 14, 2022","Mar 13, 2018","100,000+ ",4.6.10,GI
Migraine Buddy: Track Headache,PEGI 3,0,True,4.7,48.7K,https://play.google.com/store/apps/details?id=com.healint.migraineapp,"May 5, 2022","Jul 8, 2014","1,000,000+ ",50.0.1651284433,GI
TousAntiCovid,PEGI 3,0,False,4.2,225K,https://play.google.com/store/apps/details?id=fr.gouv.android.stopcovid,"Jun 20, 2022","Jun 2, 2020","10,000,000+ ",4.3.0,GI
Blood Pressure,PEGI 3,0,True,4.2,54.4K,https://play.google.com/store/apps/details?id=com.szyk.myheart,"May 25, 2022","Jul 15, 2012","10,000,000+ ",Google-6.12.0,GI
PAPed,PEGI 3,£0.79,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.gersonr.PAPed2,"Feb 6, 2022","Oct 24, 2021",100+ ,3.0,GI
Lexicomp,PEGI 3,0,True,4.4,2.47K,https://play.google.com/store/apps/details?id=com.lexi.android,"Apr 19, 2022","Apr 7, 2010","500,000+ ",Varies with device,GI
Pregnancy Tracker,PEGI 3,0,True,4.9,313K,https://play.google.com/store/apps/details?id=com.easymobs.pregnancy,"Jun 21, 2022","May 4, 2016","5,000,000+ ",1.2.84,GI
Category Therapy: Categories,PEGI 3,£17.99,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.tactustherapy.categorytherapy,"Jun 17, 2022","Jun 11, 2016",500+ ,2.0.61,GI
Paziresh24,PEGI 3,0,False,4.2,15.5K,https://play.google.com/store/apps/details?id=com.paziresh24.paziresh24,"Feb 26, 2022","Jun 1, 2019","1,000,000+ ",3.7.3-gp,GI
PharmEasy - Healthcare App,PEGI 3,0,False,4.5,630K,https://play.google.com/store/apps/details?id=com.phonegap.rxpal,"Jun 21, 2022","Mar 6, 2015","10,000,000+ ",5.2.1,GI
Anatomyka - 3D Anatomy Atlas,PEGI 3,0,True,4.7,7.93K,https://play.google.com/store/apps/details?id=com.anatomyka.android,"Apr 6, 2022","Dec 9, 2018","100,000+ ",2.5.0,GI
Blood Pressure App: Heart Rate,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=blood.pressure.heart.rate.monitor.pulse.tracker.app.hch,"May 22, 2022","Dec 13, 2021","100,000+ ",1.4.2,GI
"Ovy – period, ovulation, cycle",PEGI 12 • Sex,0,True,3.0,3.71K,https://play.google.com/store/apps/details?id=com.ovyapp.android,"May 23, 2022","May 12, 2017","100,000+ ",6.0.3,GI
"Artmed +PSI - Psicofármacos, Guidelines, DSM, CID",PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=br.com.consultamaisrapida.psiquiatria,"Sep 5, 2021","Sep 17, 2020","10,000+ ",1.0.0,GI
Apteka.RU,Parental guidance • Parental Guidance Recommended,0,False,4.7,186K,https://play.google.com/store/apps/details?id=ru.apteka,"Jun 17, 2022","May 25, 2020","5,000,000+ ",4.0.28.22342537,GI
amma Pregnancy & Baby Tracker,PEGI 3,0,True,4.3,287K,https://play.google.com/store/apps/details?id=ru.mobiledimension.kbr,"Jun 21, 2022","May 25, 2015","10,000,000+ ",3.12.0.11,GI
Diabetes:M - Management & Blood Sugar Tracker App,PEGI 3,0,True,4.2,21.9K,https://play.google.com/store/apps/details?id=com.mydiabetes,"Jan 10, 2022","Apr 16, 2013","500,000+ ",8.0.13,GI
Anatomy Learning - 3D Anatomy,PEGI 3,0,True,4.4,103K,https://play.google.com/store/apps/details?id=com.AnatomyLearning.Anatomy3DViewer3,"Mar 29, 2022","Mar 20, 2014","5,000,000+ ",2.1.351,GI
Naming Therapy,PEGI 3,£21.99,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.tactustherapy.namingtherappy,"Jun 17, 2022","Mar 27, 2014","1,000+ ",4.0.195,GI
Glycemic Index Load in food net carbs diet tracker,PEGI 3,0,True,4.3,14.3K,https://play.google.com/store/apps/details?id=com.creamsoft.mygi,"Feb 20, 2022","Sep 11, 2014","500,000+ ",3.6.7.2,GI
MedShr: Discuss Clinical Cases,PEGI 3,0,False,4.5,10.2K,https://play.google.com/store/apps/details?id=net.medshr.android,"Feb 25, 2022","Jul 29, 2015","1,000,000+ ",15.12.1,GI
Biloba - On-demand pediatrics,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=ba.bilo.mc,"Jun 7, 2022","Jul 10, 2020","50,000+ ",1.38.3,GI
My Calendar - Period Tracker,PEGI 3,0,True,4.9,385K,https://play.google.com/store/apps/details?id=com.lbrc.PeriodCalendar,"Jun 20, 2022","Aug 16, 2015","10,000,000+ ",8.3.1,GI
Squeezy Men: NHS Pelvic Floor,PEGI 3,£2.99,False,3.7,39,https://play.google.com/store/apps/details?id=com.propagator.squeezyformen,"Apr 26, 2017","Nov 11, 2014","1,000+ ",1.2.11,GI
VIDAL Mobile,PEGI 3,0,True,4.1,6.58K,https://play.google.com/store/apps/details?id=com.mobicrea.vidal,"Apr 26, 2022","Feb 21, 2013","500,000+ ",Varies with device,GI
