App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version,Country Code
CardioSignal,PEGI 3,0,True,1.8,512,https://play.google.com/store/apps/details?id=com.precordior.cardiosignal,"Feb 7, 2022","Apr 2, 2020","100,000+ ",2.10.1,IT
PIC Health Station,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.medm.pic.diary,"Oct 22, 2021",N/A,"50,000+ ",2.11.414,IT
ABG Ultimate,PEGI 3,£1.55,False,N/A,N/A,https://play.google.com/store/apps/details?id=it.medicinaurgenza.abgultimate,"Feb 24, 2016","Mar 3, 2015","1,000+ ",4.00,IT
AVAX Blood Pressure Diary,PEGI 3,0,True,4.5,6.42K,https://play.google.com/store/apps/details?id=app.avax.health,"Jun 16, 2022","Dec 31, 2018","100,000+ ",6.9.5,IT
Sanità km zero Ricette,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=it.regioneveneto.sanitakmzero,"Mar 16, 2022","Mar 20, 2017","500,000+ ",Sanità Km Zero 3.4.6,IT
e-Anatomy,PEGI 18,0,True,3.9,2.82K,https://play.google.com/store/apps/details?id=net.imaios.eanatomy,"May 17, 2022","Oct 20, 2011","500,000+ ",5.2.7,IT
InSimu Patient - Diagnose Virtual Clinical Cases,PEGI 3,0,True,3.8,1.47K,https://play.google.com/store/apps/details?id=com.insimu.patientapp,"Jan 6, 2021","Jan 15, 2018","100,000+ ",5.0.0,IT
My Calendar - Period Tracker,PEGI 3,0,True,4.9,385K,https://play.google.com/store/apps/details?id=com.lbrc.PeriodCalendar,"Jun 20, 2022","Aug 16, 2015","10,000,000+ ",8.3.1,IT
Blood Pressure App: Heart Rate,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=blood.pressure.heart.rate.monitor.pulse.tracker.app.hch,"May 22, 2022","Dec 13, 2021","100,000+ ",1.4.2,IT
PugliaSalute,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=it.sincon.pugliasalute,"Jun 17, 2022",N/A,"100,000+ ",2.5.8,IT
Blood Pressure Checker : BP Tracker : BP Diary,PEGI 16 • Sex,0,True,4.0,2.95K,https://play.google.com/store/apps/details?id=com.temar.bloodpressurecheckerfree.readings.waterfullrainbow.bloodpressureanalyze.spo2.bp.bloodpressureinfo,"Oct 16, 2021","Aug 3, 2021","100,000+ ",3.0.0,IT
Visitami: prenota subito una visita medica,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.visitami.visitami,"May 20, 2021",N/A,"10,000+ ",3.0.3,IT
Full Code - Emergency Medicine Simulation,PEGI 3,0,True,4.2,2.2K,https://play.google.com/store/apps/details?id=com.minerva_medical.minerva,"Apr 20, 2022","Aug 9, 2018","100,000+ ",2.9,IT
ReSound Tinnitus Relief,PEGI 3,0,True,4.7,7.23K,https://play.google.com/store/apps/details?id=com.gnresound.tinnitus,"May 20, 2021","Jun 26, 2015","100,000+ ",5.2.6,IT
Instant Body Temperature Checker : Fever Tracker,PEGI 3,0,True,3.3,4.99K,https://play.google.com/store/apps/details?id=com.newhealthfitnesstoolsapps.body.temperature.logger.thermometer.fever.tracker.test.checker.diary.info.history,"Sep 20, 2021","Dec 3, 2020","1,000,000+ ",1.3.5,IT
iPacemaker,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=it.ilpacemaker.iPacemaker,"Apr 10, 2022","Sep 27, 2020","1,000+ ",5.1,IT
Human Anatomy Atlas 2022＋,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.visiblebody.subscription,"May 23, 2022","Mar 7, 2022","10,000+ ",1.01.014,IT
e-Covid SINFONIA,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=it.naxe.soresa.ecovid,"Apr 29, 2022",N/A,"1,000,000+ ",1.11.5,IT
VIDAL Mobile,PEGI 3,0,True,4.1,6.58K,https://play.google.com/store/apps/details?id=com.mobicrea.vidal,"Apr 26, 2022","Feb 21, 2013","500,000+ ",Varies with device,IT
mySugr - Diabetes Tracker Log,PEGI 3,0,True,4.4,68.4K,https://play.google.com/store/apps/details?id=com.mysugr.android.companion,"Jun 20, 2022","Dec 6, 2013","1,000,000+ ",3.92.33,IT
Mediately Farmaci,PEGI 3,N/A,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.mediately.drugs.it,"Jun 1, 2022","Mar 12, 2019","100,000+ ",8.7.1,IT
Manuale MSD Professionisti,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.msd.professionalItalian,"Jun 22, 2022","Dec 7, 2021","5,000+ ",1.0.2,IT
