App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version,Country Code
FreeStyle Librelink - NL,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.freestylelibre.app.nl,"Mar 11, 2021",N/A,"50,000+ ",2.5.3,NL
Rost Moves for Mamas,PEGI 3,£4.19,False,N/A,N/A,https://play.google.com/store/apps/details?id=nl.xlwebsolutions.android.dynabloqs.rostmoves,"Jun 1, 2022","Apr 5, 2022",100+ ,1.16,NL
Psychiatrisch onderzoek,PEGI 3,£7.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=nl.bua.psychiatrischonderzoek,"Dec 15, 2020","Dec 15, 2020",100+ ,1.0.0,NL
Recognise Shoulder,PEGI 16 • Sex,£6.99,False,N/A,N/A,https://play.google.com/store/apps/details?id=au.com.appliquette.recognise.shoulder,"May 16, 2019","Mar 2, 2016","1,000+ ",1.0.6,NL
Pedi STAT,PEGI 3,£4.89,False,4.3,171,https://play.google.com/store/apps/details?id=com.qxmd.pedistat,"Nov 9, 2021","Oct 6, 2010","10,000+ ",3.0.5,NL
Recognise Knee,PEGI 3,£6.99,False,N/A,N/A,https://play.google.com/store/apps/details?id=au.com.appliquette.recognise.knee,"May 16, 2019","Mar 2, 2016","1,000+ ",1.0.6,NL
EMT PASS- NEW,PEGI 3,£18.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.limmercreative.passengine.emt,"Apr 6, 2021","Mar 4, 2020","1,000+ ",1.1.3,NL
TOXBASE,PEGI 3,0,True,3.4,69,https://play.google.com/store/apps/details?id=uk.co.issolutions.toxbasemobileandroid.activity,"Feb 8, 2021","Sep 23, 2015","10,000+ ",1.7.0.76,NL
Anesthesiologie Medicatie,PEGI 3,£8.84,False,N/A,N/A,https://play.google.com/store/apps/details?id=nl.tijdstroom,"May 22, 2014","Dec 23, 2010","1,000+ ",1.5,NL
Muscle Premium,PEGI 3,£22.49,True,3.9,460,https://play.google.com/store/apps/details?id=com.visiblebody.musclepremium,"Aug 11, 2017","Oct 4, 2016","10,000+ ",7.1.17,NL
Service Apotheek,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=nl.serviceapotheek.serviceapotheek_app,"May 30, 2022",N/A,"100,000+ ",3.4.2,NL
QuitNow: Quit smoking for good,PEGI 3,0,True,4.5,59.1K,https://play.google.com/store/apps/details?id=com.EAGINsoftware.dejaloYa,"Jun 7, 2022","Jul 3, 2010","1,000,000+ ",6.29.1,NL
MijnZGV,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=nl.geldersevallei.mijn.ziekenhuis,"Mar 17, 2022",N/A,"10,000+ ",1.5.1,NL
MyChart,PEGI 3,0,False,4.6,108K,https://play.google.com/store/apps/details?id=epic.mychart.android,"May 9, 2022","Dec 16, 2016","10,000,000+ ",Varies with device,NL
Squeezy: NHS Pelvic Floor App,PEGI 3,£2.99,False,4.6,3.25K,https://play.google.com/store/apps/details?id=com.propagator.squeezy,"Mar 4, 2019","Sep 17, 2014","50,000+ ",Varies with device,NL
Pregnancy Food Guide PRO,PEGI 3,£1.69,False,N/A,N/A,https://play.google.com/store/apps/details?id=air.com.kigorosa.lebensmittelampel,"Jul 27, 2020","Jul 6, 2015","5,000+ ",1.1.3,NL
Horse Anatomy: Equine 3D,PEGI 3,£4.59,False,3.0,116,https://play.google.com/store/apps/details?id=com.realbodywork.horseanatomy,"Jul 20, 2021","Dec 5, 2013","5,000+ ",2.10,NL
Ditzo Zorg,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=nl.ditzo.android.mijnditzo,"Jun 14, 2022","Dec 15, 2014","100,000+ ",7.5.0,NL
Diseases & Disorders,PEGI 3,£0.89,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.soft24hours.directorys.medical.diseasemulti.paid,"Apr 16, 2020","Apr 5, 2016","5,000+ ",Varies with device,NL
Medicina Hospitalaria,PEGI 3,£6.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=lhidalgo42.nicolas.triantafilo,"Feb 17, 2019","Dec 10, 2017","10,000+ ",2.1.8,NL
Anatomy Quiz Pro,PEGI 3,£3.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=de.streuer.alexander.anatomyquizpro,"Aug 24, 2021","Dec 27, 2015","5,000+ ",4.8.1,NL
mySugr - Diabetes Tracker Log,PEGI 3,0,True,4.4,68.4K,https://play.google.com/store/apps/details?id=com.mysugr.android.companion,"Jun 20, 2022","Dec 6, 2013","1,000,000+ ",3.92.33,NL
MijnSpaarneGasthuis,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=nl.mijnspaarnegasthuis,"Apr 21, 2021","Apr 21, 2021","10,000+ ",9.6.4,NL
A Manual of Acupuncture,PEGI 3,0,True,3.4,549,https://play.google.com/store/apps/details?id=com.cards,"Sep 27, 2020","Sep 25, 2014","10,000+ ",3.2.0,NL
PeduliLindungi,PEGI 3,0,False,2.2,954K,https://play.google.com/store/apps/details?id=com.telkom.tracencare,"Jun 11, 2022","Aug 2, 2021","50,000,000+ ",4.4.6,NL
MyTherapy Pill Reminder,PEGI 3,0,False,4.6,135K,https://play.google.com/store/apps/details?id=eu.smartpatient.mytherapy,"Jun 21, 2022","Apr 14, 2015","5,000,000+ ",3.88.4,NL
Journal Club: Medicine,PEGI 3,£6.49,False,4.7,263,https://play.google.com/store/apps/details?id=org.wikijournalclub,"Sep 12, 2019","Mar 9, 2013","10,000+ ",Varies with device,NL
mijnRadboud,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=nl.radboudumc.mijnRadboud,"Oct 12, 2021","May 24, 2017","50,000+ ",9.7.4,NL
Preventicus Heartbeats,PEGI 3,0,True,3.3,1.89K,https://play.google.com/store/apps/details?id=com.preventicus.heartbeats,"Feb 11, 2022","Jul 20, 2016","100,000+ ",1.6.16,NL
MDonCall - Practical Guide,PEGI 3,£9.99,False,4.4,51,https://play.google.com/store/apps/details?id=com.mdoncall,"May 19, 2022","Oct 25, 2012","5,000+ ",6.1.7,NL
Verpleegkundige zorgresultaten (NOC),PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=nl.springermedia.newnoc2020,"Sep 18, 2020","Sep 2, 2020","5,000+ ",1.6,NL
Muscle Trigger Point Anatomy,PEGI 3,£2.69,False,4.5,1.59K,https://play.google.com/store/apps/details?id=com.real.bodywork.muscle.trigger.points,"Jul 30, 2019","Jan 27, 2011","50,000+ ",2.4.8,NL
MijnSZVK,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=nl.szvk.android.mijnszvk,"Jun 14, 2022","Dec 29, 2021","1,000+ ",7.5.0,NL
Patient Journey,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=nl.interactivestudios.bpglobalpja,"Apr 20, 2022","Oct 12, 2017","10,000+ ",2022.5.0,NL
Mijn Huisarts online,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=nl.uwzorgonline.hozl,"May 23, 2022","Dec 15, 2020","10,000+ ",3.2.98,NL
ASRA Coags,PEGI 3,£3.79,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.asra.asracoags,"Mar 10, 2022","May 26, 2015","10,000+ ",2.3.3,NL
Siilo - Medical Messenger,PEGI 3,0,False,4.1,546,https://play.google.com/store/apps/details?id=com.siilo.android,"Jun 22, 2022","Apr 11, 2016","100,000+ ",7.8.1,NL
Zorg Messenger,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.kpn.zorgmessenger,"Jun 14, 2022","Sep 11, 2016","50,000+ ",2.7.5,NL
Ratownictwo medyczne algorytmy,PEGI 3,£6.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=pl.waw.bitmed.protokols,"Jun 23, 2022","Apr 29, 2014","5,000+ ",14.4.0,NL
Verpleegkundige zorgresultaten 2016,PEGI 3,£32.99,False,N/A,N/A,https://play.google.com/store/apps/details?id=nl.springermedia.noc,"Sep 19, 2020","Aug 8, 2016",500+ ,1.9,NL
ZeroPhobia - Fear of Heights,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.insession.zero_phobia,"Dec 6, 2021","Mar 23, 2019","1,000+ ",1.5,NL
Ik geef bloed (Sanquin),PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.everywhereim.ikgeefbloed2,"Oct 12, 2020",N/A,"10,000+ ",0.1.0,NL
PMED - Preço de Procedimento,PEGI 3,£4.19,True,N/A,N/A,https://play.google.com/store/apps/details?id=oaz.soft,"Jun 9, 2022","Aug 22, 2012","5,000+ ",11.8,NL
Monash University FODMAP diet,PEGI 3,£5.60,False,3.5,2.47K,https://play.google.com/store/apps/details?id=com.monashuniversity.fodmap,"Jan 18, 2022","Nov 6, 2013","100,000+ ",3.0.9,NL
DrugDoses,PEGI 3,£10.32,True,4.1,272,https://play.google.com/store/apps/details?id=com.DrugDoses.v2010,"Apr 6, 2022","Sep 16, 2010","5,000+ ",6.6,NL
AnSo Anaesthesia Sonoanatomy,PEGI 3,0,True,1.6,233,https://play.google.com/store/apps/details?id=com.nekologic.anso,"May 24, 2022","Jan 25, 2018","10,000+ ",2.1.42,NL
Oticon ON,PEGI 3,0,False,2.8,5.48K,https://play.google.com/store/apps/details?id=com.oticon.remotecontrol,"Sep 27, 2021","Nov 23, 2016","500,000+ ",Varies with device,NL
INR Diary,PEGI 3,£2.09,False,N/A,N/A,https://play.google.com/store/apps/details?id=be.webfactor.inrdiaryplus,"Feb 6, 2022","May 19, 2020","1,000+ ",2.2.2,NL
SkinVision - Find Skin Cancer,PEGI 3,0,False,4.0,3.65K,https://play.google.com/store/apps/details?id=com.rubytribe.skinvision.ac,"Jun 23, 2022","Jul 14, 2015","500,000+ ",6.16.0,NL
ICU Trials by ClinCalc,PEGI 3,£3.83,False,4.6,183,https://play.google.com/store/apps/details?id=com.clincalc.icutrials,"Mar 11, 2022","Jun 9, 2012","5,000+ ",3.2,NL
KIJKsluiter,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.evina.Kijksluiter,"Sep 24, 2021",N/A,"10,000+ ",1.3.8,NL
Nationale Apotheek,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.apotheekapp,"Jun 22, 2022",N/A,"5,000+ ",23.0.0,NL
Full Code - Emergency Medicine Simulation,PEGI 3,0,True,4.2,2.2K,https://play.google.com/store/apps/details?id=com.minerva_medical.minerva,"Apr 20, 2022","Aug 9, 2018","100,000+ ",2.9,NL
Glycemic Index Load in food net carbs diet tracker,PEGI 3,0,True,4.3,14.3K,https://play.google.com/store/apps/details?id=com.creamsoft.mygi,"Feb 20, 2022","Sep 11, 2014","500,000+ ",3.6.7.2,NL
ALHOSN UAE,PEGI 3,0,False,2.8,49.7K,https://play.google.com/store/apps/details?id=doh.health.shield,"Jun 21, 2022","Apr 7, 2020","5,000,000+ ",3.5.2,NL
Sunna Médecine,PEGI 3,£0.99,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.decodev.sunna_medecin,"Mar 8, 2022","Mar 8, 2022",10+ ,1.0.0,NL
Dilumed,PEGI 3,£0.59,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.dilumed.pay,"Sep 27, 2021","Sep 27, 2021","1,000+ ",1.0,NL
Visual Anatomy 2,PEGI 3,£1.59,False,4.6,939,https://play.google.com/store/apps/details?id=com.hssn.anatomy2,"Jun 9, 2022","Aug 22, 2014","10,000+ ",Varies with device,NL
Amplifon,PEGI 3,0,False,4.1,2.9K,https://play.google.com/store/apps/details?id=com.amplifon.mdapp,"Jun 13, 2022","Aug 31, 2020","100,000+ ",3.5.0,NL
Hearing Remote,PEGI 3,0,False,2.2,522,https://play.google.com/store/apps/details?id=com.sonova.vista.rcapp,"Jun 10, 2022","Feb 23, 2018","100,000+ ",4.2.0,NL
FK,PEGI 3,0,False,4.2,1.84K,https://play.google.com/store/apps/details?id=nl.cvz.fk,"May 14, 2022","Apr 26, 2012","100,000+ ",2.5.35,NL
