App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version,Country Code
Saunders Comp Review NCLEX RN,PEGI 3,0,True,4.1,1.46K,https://play.google.com/store/apps/details?id=com.medpresso.testzapp.crnclex_rn,"Jun 14, 2022","Mar 13, 2018","100,000+ ",4.6.10,NO
ZnanyLekarz: umawiaj wizyty,PEGI 3,0,False,4.8,22.5K,https://play.google.com/store/apps/details?id=pl.znanylekarz,"Jun 21, 2022","Feb 26, 2013","1,000,000+ ",5.33.0,NO
MiniMed™ Mobile,PEGI 3,0,False,1.4,1.24K,https://play.google.com/store/apps/details?id=com.medtronic.diabetes.minimedmobile.eu,"Nov 18, 2021","Oct 16, 2020","50,000+ ",1.2.1,NO
Rost Moves for Mamas,PEGI 3,£4.19,False,N/A,N/A,https://play.google.com/store/apps/details?id=nl.xlwebsolutions.android.dynabloqs.rostmoves,"Jun 1, 2022","Apr 5, 2022",100+ ,1.16,NO
Pedi STAT,PEGI 3,£4.89,False,4.3,171,https://play.google.com/store/apps/details?id=com.qxmd.pedistat,"Nov 9, 2021","Oct 6, 2010","10,000+ ",3.0.5,NO
EMT PASS- NEW,PEGI 3,£18.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.limmercreative.passengine.emt,"Apr 6, 2021","Mar 4, 2020","1,000+ ",1.1.3,NO
"Ovy – period, ovulation, cycle",PEGI 12 • Sex,0,True,3.0,3.71K,https://play.google.com/store/apps/details?id=com.ovyapp.android,"May 23, 2022","May 12, 2017","100,000+ ",6.0.3,NO
Muscle Premium,PEGI 3,£22.49,True,3.9,460,https://play.google.com/store/apps/details?id=com.visiblebody.musclepremium,"Aug 11, 2017","Oct 4, 2016","10,000+ ",7.1.17,NO
Homeopathy at Home,PEGI 3,£1.99,False,N/A,N/A,https://play.google.com/store/apps/details?id=homeopat1app.homeopat1,"Nov 19, 2021","Oct 20, 2021",100+ ,1.0.0,NO
Care to Translate,PEGI 3,0,True,4.6,1.86K,https://play.google.com/store/apps/details?id=com.siv,"Jun 16, 2022","Dec 12, 2018","100,000+ ",4.4.2,NO
HANSATON stream remote,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.sonova.hansaton.rcapp,"Dec 6, 2021","Apr 5, 2018","10,000+ ",3.1.0,NO
NEWS Kalkulator,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=no.ambulansestasjon.newskalkulator,"Jan 10, 2019",N/A,"1,000+ ",2.1,NO
Guía Mensa,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=es.app.guia.mensa,"Jun 20, 2022","Mar 2, 2020","10,000+ ",3.111.0,NO
Metodebok,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=qbase.metodebok,"Dec 9, 2021","Oct 19, 2021",500+ ,0.2,NO
