App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version,Country Code
ZnanyLekarz: umawiaj wizyty,PEGI 3,0,False,4.8,22.5K,https://play.google.com/store/apps/details?id=pl.znanylekarz,"Jun 21, 2022","Feb 26, 2013","1,000,000+ ",5.33.0,PL
Rost Moves for Mamas,PEGI 3,£4.19,False,N/A,N/A,https://play.google.com/store/apps/details?id=nl.xlwebsolutions.android.dynabloqs.rostmoves,"Jun 1, 2022","Apr 5, 2022",100+ ,1.16,PL
Pedi STAT,PEGI 3,£4.89,False,4.3,171,https://play.google.com/store/apps/details?id=com.qxmd.pedistat,"Nov 9, 2021","Oct 6, 2010","10,000+ ",3.0.5,PL
EMT PASS- NEW,PEGI 3,£18.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.limmercreative.passengine.emt,"Apr 6, 2021","Mar 4, 2020","1,000+ ",1.1.3,PL
"Ovy – period, ovulation, cycle",PEGI 12 • Sex,0,True,3.0,3.71K,https://play.google.com/store/apps/details?id=com.ovyapp.android,"May 23, 2022","May 12, 2017","100,000+ ",6.0.3,PL
Jutro Medical,PEGI 3,0,False,4.8,859,https://play.google.com/store/apps/details?id=com.jutro.jutro,"Jun 9, 2022","Jul 7, 2020","50,000+ ",2.51.1,PL
Muscle Premium,PEGI 3,£22.49,True,3.9,460,https://play.google.com/store/apps/details?id=com.visiblebody.musclepremium,"Aug 11, 2017","Oct 4, 2016","10,000+ ",7.1.17,PL
Telemedico - doctor online,PEGI 3,0,False,4.6,1.18K,https://play.google.com/store/apps/details?id=co.telemedi.prod.app,"Jun 22, 2022","Aug 30, 2019","50,000+ ",2.221,PL
DentiCalc: the dental app,PEGI 3,0,True,5.0,772,https://play.google.com/store/apps/details?id=com.denticalc.demo,"Mar 30, 2021","Oct 29, 2020","100,000+ ",3.8.18,PL
Feline Grimace Scale,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.universitedemontreal.felinegrimacescale,"Mar 1, 2022","Nov 30, 2021","10,000+ ",1.0.5,PL
QuitNow: Quit smoking for good,PEGI 3,0,True,4.5,59.1K,https://play.google.com/store/apps/details?id=com.EAGINsoftware.dejaloYa,"Jun 7, 2022","Jul 3, 2010","1,000,000+ ",6.29.1,PL
Anatomyka - 3D Anatomy Atlas,PEGI 3,0,True,4.7,7.93K,https://play.google.com/store/apps/details?id=com.anatomyka.android,"Apr 6, 2022","Dec 9, 2018","100,000+ ",2.5.0,PL
Squeezy: NHS Pelvic Floor App,PEGI 3,£2.99,False,4.6,3.25K,https://play.google.com/store/apps/details?id=com.propagator.squeezy,"Mar 4, 2019","Sep 17, 2014","50,000+ ",Varies with device,PL
Medicover OnLine,PEGI 3,0,False,3.6,3.92K,https://play.google.com/store/apps/details?id=pl.looksoft.medicover,"May 25, 2022","Nov 24, 2016","100,000+ ",1.5.62,PL
Pregnancy Food Guide PRO,PEGI 3,£1.69,False,N/A,N/A,https://play.google.com/store/apps/details?id=air.com.kigorosa.lebensmittelampel,"Jul 27, 2020","Jul 6, 2015","5,000+ ",1.1.3,PL
Diabetes:M - Management & Blood Sugar Tracker App,PEGI 3,0,True,4.2,21.9K,https://play.google.com/store/apps/details?id=com.mydiabetes,"Jan 10, 2022","Apr 16, 2013","500,000+ ",8.0.13,PL
Horse Anatomy: Equine 3D,PEGI 3,£4.59,False,3.0,116,https://play.google.com/store/apps/details?id=com.realbodywork.horseanatomy,"Jul 20, 2021","Dec 5, 2013","5,000+ ",2.10,PL
Anatomy Quiz Pro,PEGI 3,£3.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=de.streuer.alexander.anatomyquizpro,"Aug 24, 2021","Dec 27, 2015","5,000+ ",4.8.1,PL
Diseases & Disorders,PEGI 3,£0.89,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.soft24hours.directorys.medical.diseasemulti.paid,"Apr 16, 2020","Apr 5, 2016","5,000+ ",Varies with device,PL
Medicina Hospitalaria,PEGI 3,£6.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=lhidalgo42.nicolas.triantafilo,"Feb 17, 2019","Dec 10, 2017","10,000+ ",2.1.8,PL
mySugr - Diabetes Tracker Log,PEGI 3,0,True,4.4,68.4K,https://play.google.com/store/apps/details?id=com.mysugr.android.companion,"Jun 20, 2022","Dec 6, 2013","1,000,000+ ",3.92.33,PL
Medfox - Pill & Meds Reminder,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.medfoxdigital.medfox,"Sep 16, 2021","Jun 26, 2019","50,000+ ",1.57,PL
Blood Pressure Tracker,PEGI 3,0,True,4.8,13.5K,https://play.google.com/store/apps/details?id=com.aadhk.lite.bptracker,"May 11, 2022","Oct 24, 2011","1,000,000+ ",12.5.0-inApp,PL
MojeZdrowie24,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.comarch.healthnote,"Jun 1, 2022",N/A,"100,000+ ",2.9.0,PL
EchoCalc,PEGI 3,0,True,4.2,681,https://play.google.com/store/apps/details?id=bse.echocalc,"Jan 31, 2022","May 26, 2012","50,000+ ",3.3,PL
MyTherapy Pill Reminder,PEGI 3,0,False,4.6,135K,https://play.google.com/store/apps/details?id=eu.smartpatient.mytherapy,"Jun 21, 2022","Apr 14, 2015","5,000,000+ ",3.88.4,PL
OptoDrum,PEGI 3,£4.75,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.linsay.optodrumandroid,"Oct 15, 2020","May 23, 2015","5,000+ ",1.0.2,PL
Journal Club: Medicine,PEGI 3,£6.49,False,4.7,263,https://play.google.com/store/apps/details?id=org.wikijournalclub,"Sep 12, 2019","Mar 9, 2013","10,000+ ",Varies with device,PL
Blood Pressure Diary,PEGI 3,0,True,4.7,70K,https://play.google.com/store/apps/details?id=com.bluefish.bloodpressure,"Apr 14, 2020","Dec 2, 2018","1,000,000+ ",0.1.17,PL
DokDok: Lekarz Rodzinny online,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=io.dokdok.grypa,"Jun 8, 2022",N/A,"10,000+ ",1.1.3,PL
MDonCall - Practical Guide,PEGI 3,£9.99,False,4.4,51,https://play.google.com/store/apps/details?id=com.mdoncall,"May 19, 2022","Oct 25, 2012","5,000+ ",6.1.7,PL
Muscle Trigger Point Anatomy,PEGI 3,£2.69,False,4.5,1.59K,https://play.google.com/store/apps/details?id=com.real.bodywork.muscle.trigger.points,"Jul 30, 2019","Jan 27, 2011","50,000+ ",2.4.8,PL
Damian Mobile,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=pl.damian.mob,"Jun 16, 2022","Apr 6, 2022","1,000+ ",1.2.1,PL
Capstesia App Anesthesia,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.simu.capstesia,"Sep 14, 2015","Feb 6, 2014","1,000+ ",1.1.6,PL
Blood Pressure,PEGI 3,0,True,4.2,54.4K,https://play.google.com/store/apps/details?id=com.szyk.myheart,"May 25, 2022","Jul 15, 2012","10,000,000+ ",Google-6.12.0,PL
Recepta Gemini - znajdź leki w całej Polsce,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=pl.receptagemini.www.twa,"May 26, 2021",N/A,"10,000+ ",2,PL
ASRA Coags,PEGI 3,£3.79,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.asra.asracoags,"Mar 10, 2022","May 26, 2015","10,000+ ",2.3.3,PL
Istel Health,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=pl.cronsoft.istelhealth,"Apr 12, 2022","Apr 23, 2019","10,000+ ",2.14,PL
Ratownictwo medyczne algorytmy,PEGI 3,£6.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=pl.waw.bitmed.protokols,"Jun 23, 2022","Apr 29, 2014","5,000+ ",14.4.0,PL
PMED - Preço de Procedimento,PEGI 3,£4.19,True,N/A,N/A,https://play.google.com/store/apps/details?id=oaz.soft,"Jun 9, 2022","Aug 22, 2012","5,000+ ",11.8,PL
Vet Calculator Plus,PEGI 3,£2.99,False,4.9,145,https://play.google.com/store/apps/details?id=com.VetApps.VetCalcPlus,"Dec 2, 2019","Sep 3, 2012","5,000+ ",2.28,PL
DrugDoses,PEGI 3,£10.32,True,4.1,272,https://play.google.com/store/apps/details?id=com.DrugDoses.v2010,"Apr 6, 2022","Sep 16, 2010","5,000+ ",6.6,PL
Med24,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=pl.com.med_24,"Feb 1, 2022",N/A,"10,000+ ",1.3.0,PL
Oticon ON,PEGI 3,0,False,2.8,5.48K,https://play.google.com/store/apps/details?id=com.oticon.remotecontrol,"Sep 27, 2021","Nov 23, 2016","500,000+ ",Varies with device,PL
ParaPass,PEGI 3,0,True,4.0,33,https://play.google.com/store/apps/details?id=co.uk.classprofessional.cpdquiz,"Apr 26, 2022","Aug 31, 2017","5,000+ ",2.1.0,PL
INR Diary,PEGI 3,£2.09,False,N/A,N/A,https://play.google.com/store/apps/details?id=be.webfactor.inrdiaryplus,"Feb 6, 2022","May 19, 2020","1,000+ ",2.2.2,PL
