App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version,Country Code
ASCCP Management Guidelines,PEGI 3,£9.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=org.asccp.app2019,"Feb 9, 2022","Jun 20, 2020","10,000+ ",1.7,RO
Human Anatomy Atlas 2021,PEGI 3,£21.49,True,4.5,10.1K,https://play.google.com/store/apps/details?id=com.visiblebody.atlas,"Mar 17, 2021","Sep 30, 2016","100,000+ ",2021.2.27,RO
FP Notebook,PEGI 3,0,True,4.2,640,https://play.google.com/store/apps/details?id=com.usbmis.troposphere.fpnb,"Apr 26, 2022","Jun 3, 2014","50,000+ ",3.1.3.510,RO
SOSMYDOCTOR,Parental guidance • Parental Guidance Recommended,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.sosmydoctor.customer,"Dec 7, 2021","Jun 25, 2021","50,000+ ",1.2,RO
Medicover Romania,PEGI 3,0,False,N/A,N/A,https://play.google.com/store/apps/details?id=ro.medicover.mobapp,"Jul 29, 2019","May 18, 2018","10,000+ ",1.0.3,RO
SimMon,PEGI 3,£18.49,False,N/A,N/A,https://play.google.com/store/apps/details?id=dk.castleandersen.simmon,"Oct 27, 2020","Oct 23, 2019",500+ ,1.1,RO
Squeezy: NHS Pelvic Floor App,PEGI 3,£2.99,False,4.6,3.25K,https://play.google.com/store/apps/details?id=com.propagator.squeezy,"Mar 4, 2019","Sep 17, 2014","50,000+ ",Varies with device,RO
BloodPressureDB,PEGI 3,0,True,3.5,4.63K,https://play.google.com/store/apps/details?id=net.klier.blutdruck,"Jun 7, 2022","Mar 30, 2011","500,000+ ",Varies with device,RO
Complete Anatomy 2022,PEGI 3,0,True,3.6,6.72K,https://play.google.com/store/apps/details?id=com.a3d4medical.completeanatomy,"May 23, 2022","Jun 19, 2018","500,000+ ",8.6.0,RO
Blood Pressure Info 2022,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.blood.bloodpressure.infoapp,"Mar 8, 2022","Feb 17, 2021","100,000+ ",1.1,RO
Pregnancy Food Guide PRO,PEGI 3,£1.69,False,N/A,N/A,https://play.google.com/store/apps/details?id=air.com.kigorosa.lebensmittelampel,"Jul 27, 2020","Jul 6, 2015","5,000+ ",1.1.3,RO
