App Name,Age Rating,Price,InApp Purchase,Average Rating,Rating Count,App Link,Last Updated,Released Date,Downloads,Version,Country Code
Deep Sleep Hypnotherapy,PEGI 3,0,True,3.8,489,https://play.google.com/store/apps/details?id=com.app.sleepdeeply,"Jan 31, 2022","Mar 10, 2011","10,000+ ",2.15,SE
Agria Vårdguide,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.vethem,"Jun 17, 2022","Aug 29, 2018","100,000+ ",22.6.2,SE
Svea Vaccin,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=com.sveavaccin.sveavaccinapp,"Nov 19, 2021",N/A,"1,000+ ",1.0.7,SE
My Calendar - Period Tracker,PEGI 3,0,True,4.9,385K,https://play.google.com/store/apps/details?id=com.lbrc.PeriodCalendar,"Jun 20, 2022","Aug 16, 2015","10,000,000+ ",8.3.1,SE
Mitt vårdmöte – VGR,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=se.mittvardmote.video,"Jun 8, 2022",N/A,"10,000+ ",3.51.0,SE
Min Doktor – Vård & vaccin,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=se.mindoktor.android,"Jun 20, 2022",N/A,"100,000+ ",1.202.0,SE
The Memory Clinic,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=com.geras,"May 20, 2022","May 24, 2019","5,000+ ",2.1.4,SE
Evidensia,PEGI 3,N/A,False,N/A,N/A,https://play.google.com/store/apps/details?id=se.evidensia.veterinar.video,"May 27, 2022",N/A,"100,000+ ",1.4.3,SE
Super Hearing Sound Amplifier,PEGI 3,0,True,3.5,2.11K,https://play.google.com/store/apps/details?id=com.superhearing.soundamplifier,"Jul 20, 2021","Apr 18, 2021","50,000+ ",1.0.8,SE
Blood Pressure App: Heart Rate,PEGI 3,0,True,N/A,N/A,https://play.google.com/store/apps/details?id=blood.pressure.heart.rate.monitor.pulse.tracker.app.hch,"May 22, 2022","Dec 13, 2021","100,000+ ",1.4.2,SE
"Ovy – period, ovulation, cycle",PEGI 12 • Sex,0,True,3.0,3.71K,https://play.google.com/store/apps/details?id=com.ovyapp.android,"May 23, 2022","May 12, 2017","100,000+ ",6.0.3,SE
Natural Cycles - Birth Control,PEGI 3,0,False,4.9,17.9K,https://play.google.com/store/apps/details?id=com.naturalcycles.cordova,"Jun 16, 2022","Apr 17, 2014","500,000+ ",4.5.8,SE
