App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"A&B Fitness Concepts
            4+",83.8 MB,4+,"English, Hebrew, Italian, Portuguese, Spanish",Free,N/A,N/A,N/A,"Health & Fitness,Contact Info",https://apps.apple.com/us/app/a-b-fitness-concepts/id1566639403,1,N/A,N/A
"A&D Connect
            12+",44.7 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Dutch, French, German, Italian, Japanese, Portuguese, Russian, Simplified Chinese, Spanish",Free,N/A,1.8,84 Ratings,"Health & Fitness,Contact Info,Identifiers,Sensitive Info,Identifiers,Diagnostics",https://apps.apple.com/us/app/a-d-connect/id894522766,25,"Apr 6, 2022","Oct 20, 2015"
"A&D Heart Track
            12+",122.9 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,4.6,227 Ratings,"Health & Fitness,Contact Info,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/a-d-heart-track/id1499948195,7,"Jun 7, 2022","May 1, 2020"
"A&M-Commerce Campus Rec
            17+",19.4 MB,"17+

              Unrestricted Web Access",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/a-m-commerce-campus-rec/id1571344652,1,N/A,N/A
"A+ Fitness
            12+",39.8 MB,"12+

              Infrequent/Mild Sexual Content and Nudity",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/a-fitness/id1577200430,1,N/A,N/A
"A-Care
            17+",32.9 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/a-care/id1536197106,3,"Jun 4, 2021","Jan 7, 2021"
"A-CHAMPS ROX Pro
            4+",168.4 MB,4+,"English, German, Spanish",Free,N/A,4.0,4 Ratings,"Contact Info,Diagnostics",https://apps.apple.com/us/app/a-champs-rox-pro/id1448233376,25,"May 27, 2022","Mar 23, 2021"
"A-I Platform
            12+",89.8 MB,"12+

              Infrequent/Mild Alcohol, Tobacco, or Drug Use or References
Infrequent/Mild Medical/Treatment Information","English, Italian",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/a-i-platform/id1537807366,6,"Jun 4, 2021","Mar 18, 2021"
"A-K-tiv Therapiezentrum
            17+",171.9 MB,"17+

              Unrestricted Web Access","English, Arabic, Bulgarian, Catalan, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Icelandic, Italian, Japanese, Korean, Norwegian Bokmål, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish


        more",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/a-k-tiv-therapiezentrum/id1536010611,1,N/A,N/A
"A-Ok Alarm
            4+",16.6 MB,4+,English,Free,N/A,N/A,N/A,Contact Info,https://apps.apple.com/us/app/a-ok-alarm/id1579526416,6,"Aug 27, 2021","Aug 5, 2021"
"A-OK Wellness
            4+",21.8 MB,4+,English,Free,N/A,5.0,4 Ratings,N/A,https://apps.apple.com/us/app/a-ok-wellness/id1452364048,12,"Nov 9, 2019","Feb 12, 2019"
"A-OXIMETER
            4+",2.1 MB,4+,"English, French, German, Simplified Chinese, Spanish",Free,N/A,1.9,25 Ratings,N/A,https://apps.apple.com/us/app/a-oximeter/id1413714434,5,"Jan 17, 2019","Jul 20, 2018"
"APilates
            4+",77.4 MB,4+,"English, Italian, Spanish",Free,N/A,N/A,N/A,"Contact Info,User Content,Identifiers,Diagnostics,Location",https://apps.apple.com/us/app/apilates/id1086023042,9,"Jan 25, 2022","Feb 24, 2016"
"A-Sport
            4+",57.3 MB,4+,"English, Italian, Russian, Ukrainian",Free,N/A,N/A,N/A,"Usage Data,Diagnostics",https://apps.apple.com/us/app/a-sport/id1528481383,7,"Apr 25, 2022","Aug 21, 2020"
"A-Squat: AI squat coach
            4+",284 MB,4+,"English, Korean",Free,True,N/A,N/A,"Usage Data,Contact Info,Usage Data",https://apps.apple.com/us/app/a-squat-ai-squat-coach/id1557831872,7,"Feb 1, 2022","Jun 13, 2021"
"A.C.Camargo MR
            17+",38.5 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,User Content,Diagnostics",https://apps.apple.com/us/app/a-c-camargo-mr/id1548833986,13,"Apr 26, 2022","Jan 16, 2021"
"A.C.E Fitness
            4+",65.6 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,5.0,3 Ratings,N/A,https://apps.apple.com/us/app/a-c-e-fitness/id1265860599,5,"Jul 28, 2018","Aug 1, 2017"
"A.D.M.
            4+",5.2 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/a-d-m/id1560962409,2,"Oct 29, 2021","Apr 1, 2021"
"A.F.A. El Arenal de Rota
            4+",90.7 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/a-f-a-el-arenal-de-rota/id1228593076,7,"Dec 9, 2020","Apr 24, 2017"
"A.fitness
            4+",66.4 MB,4+,"English, French, German, Italian, Russian",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/a-fitness/id1570808171,1,N/A,N/A
"A.I. River & Forest
            4+",92.9 MB,4+,"English, Japanese",Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/a-i-river-forest/id1273605018,2,"Aug 30, 2017","Aug 23, 2017"
"A.J.s Fitness
            17+",144.3 MB,"17+

              Unrestricted Web Access","English, Arabic, German",Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,Search History,Identifiers,Diagnostics",https://apps.apple.com/us/app/a-j-s-fitness/id1442207516,11,"Apr 28, 2022","Nov 15, 2018"
"A.S. AUGUSTEA SPORTING CLUB
            4+",75.1 MB,4+,,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/a-s-augustea-sporting-club/id1532735843,2,"Jan 12, 2022","Sep 24, 2020"
"A.S.A.P.
            4+",110.5 MB,4+,"English, Russian, Ukrainian",Free,N/A,N/A,N/A,Contact Info,https://apps.apple.com/us/app/a-s-a-p/id1527734970,16,"Mar 4, 2022","Aug 20, 2020"
"A.S.D. Colle Degli Dei
            4+",76.6 MB,4+,"English, French, German, Italian, Spanish",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/a-s-d-colle-degli-dei/id1511889666,1,N/A,N/A
"A.S.Far.M.
            17+",30 MB,"17+

              Infrequent/Mild Medical/Treatment Information
Unrestricted Web Access","English, German, Italian, Spanish",Free,N/A,N/A,N/A,"Purchases,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/a-s-far-m/id1524973903,12,"Jun 14, 2022","Sep 24, 2020"
"A.W.O.L. Fitness
            9+",30.6 MB,"9+

              Infrequent/Mild Profanity or Crude Humor","English, Arabic, Azerbaijani, Bulgarian, Catalan, Croatian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Norwegian Nynorsk, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Slovenian, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese


        more",Free,N/A,5.0,6 Ratings,"Usage Data,Usage Data",https://apps.apple.com/us/app/a-w-o-l-fitness/id1540337235,3,"Jan 31, 2022","Nov 14, 2020"
"A1 Padel (A CORUÑA)
            17+",20.8 MB,"17+

              Unrestricted Web Access","English, Catalan, Dutch, French, German, Italian, Portuguese, Spanish",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/a1-padel-a-coru%C3%B1a/id1526463171,3,"Jun 9, 2021","Aug 11, 2020"
"A1 Transit Driver
            4+",10 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/a1-transit-driver/id1481715964,2,"Jan 27, 2021","Sep 29, 2019"
"A1334-02
            4+",94.6 MB,4+,"English, Bulgarian, Czech, Danish, Dutch, French, German, Hungarian, Italian, Japanese, Korean, Lithuanian, Polish, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian


        more",Free,N/A,N/A,N/A,"Health & Fitness,Location,Contact Info,Identifiers,Diagnostics",https://apps.apple.com/us/app/a1334-02/id1561027760,2,"Sep 28, 2021","Jul 8, 2021"
"A1334-02
            4+",94.6 MB,4+,"English, Bulgarian, Czech, Danish, Dutch, French, German, Hungarian, Italian, Japanese, Korean, Lithuanian, Polish, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian


        more",Free,N/A,N/A,N/A,"Health & Fitness,Location,Contact Info,Identifiers,Diagnostics",https://apps.apple.com/us/app/a1334-02/id1561027760,2,"Sep 28, 2021","Jul 8, 2021"
"A1C Calculator Blood Glucose
            4+",69.9 MB,4+,English,Free,N/A,4.5,25 Ratings,"Location,Identifiers,Diagnostics,Diagnostics",https://apps.apple.com/us/app/a1c-calculator-blood-glucose/id1587024494,9,"Apr 7, 2022","Sep 25, 2021"
"A2 Fitness Feuchtwangen
            4+",46.4 MB,4+,English,Free,N/A,N/A,N/A,"Financial Info,Contact Info,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/a2-fitness-feuchtwangen/id1554241836,14,"May 20, 2022","Feb 18, 2021"
"A2 Physical Therapy
            17+",79.8 MB,"17+

              Infrequent/Mild Medical/Treatment Information
Unrestricted Web Access
Infrequent/Mild Mature/Suggestive Themes",English,Free,N/A,N/A,N/A,"Health & Fitness,Purchases,Financial Info,Contact Info,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/a2-physical-therapy/id1341100292,5,"Jul 20, 2021","Feb 12, 2018"
"A2B+
            4+",76.1 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/a2b/id1484609573,4,"Apr 1, 2020","Oct 30, 2019"
"A2D Sports
            4+",47.6 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,5.0,1 Rating,"Purchases,Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/a2d-sports/id1535636683,2,"Jan 26, 2021","Oct 22, 2020"
"MFX:Health
            4+",40.2 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/mfx-health/id1163990331,8,"Feb 19, 2022","Oct 12, 2016"
"A3 Sports Performance
            4+",147.4 MB,4+,English,Free,N/A,5.0,2 Ratings,"Health & Fitness,Contact Info,Contacts,User Content,Identifiers,Usage Data,Sensitive Info,Diagnostics",https://apps.apple.com/us/app/a3-sports-performance/id1529367161,8,"May 29, 2022","Sep 10, 2020"
"A3 Träningscenter
            4+",4.6 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/a3-tr%C3%A4ningscenter/id1063707073,2,"Jun 21, 2016","Dec 4, 2015"
"AA - Sandy B
            12+",315.3 MB,"12+

              Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",English,Free,True,4.9,126 Ratings,N/A,https://apps.apple.com/us/app/aa-sandy-b/id1071631421,3,"Oct 16, 2017","Jan 25, 2016"
"AA - TRAINING APP
            12+",54.4 MB,"12+

              Infrequent/Mild Sexual Content and Nudity",English,Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,User Content,Identifiers,Diagnostics",https://apps.apple.com/us/app/aa-training-app/id1591231531,4,"Mar 3, 2022","Oct 22, 2021"
"AA 4th Step
            12+",28.1 MB,"12+

              Infrequent/Mild Sexual Content and Nudity
Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",English,$0.99,N/A,4.6,78 Ratings,N/A,https://apps.apple.com/us/app/aa-4th-step/id955818803,6,"Jul 24, 2019","Jan 22, 2015"
"AA Audio Companion for Alcoholics Anonymous
            17+",26.1 MB,"17+

              Frequent/Intense Alcohol, Tobacco, or Drug Use or References
Frequent/Intense Mature/Suggestive Themes
Infrequent/Mild Medical/Treatment Information
Infrequent/Mild Profanity or Crude Humor",English,Free,True,4.8,1.4K Ratings,N/A,https://apps.apple.com/us/app/aa-audio-companion-for-alcoholics-anonymous/id1191023628,4,"Aug 24, 2017","Apr 19, 2017"
"AA Big Book App  -  Unofficial
            17+",2.1 MB,"17+

              Frequent/Intense Alcohol, Tobacco, or Drug Use or References",English,$0.99,N/A,3.0,21 Ratings,N/A,https://apps.apple.com/us/app/aa-big-book-app-unofficial/id1067750892,5,"Oct 17, 2018","Dec 19, 2015"
"AA Big Book of Alcoholics Anonymous
            12+",171.7 MB,"12+

              Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",English,$2.99,N/A,4.6,26 Ratings,N/A,https://apps.apple.com/us/app/aa-big-book-of-alcoholics-anonymous/id1111214132,2,"Sep 7, 2016","May 8, 2016"
"AA Clinic
            4+",62.6 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/aa-clinic/id1522418793,1,N/A,N/A
"AA Health 360
            4+",23.2 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/aa-health-360/id1440918306,15,"Apr 14, 2022","Jan 23, 2019"
"AA Joe & Charlie Big Book Work
            17+",34.3 MB,"17+

              Infrequent/Mild Mature/Suggestive Themes
Frequent/Intense Alcohol, Tobacco, or Drug Use or References
Infrequent/Mild Medical/Treatment Information
Infrequent/Mild Profanity or Crude Humor",English,Free,True,4.9,4.6K Ratings,N/A,https://apps.apple.com/us/app/aa-joe-charlie-big-book-work/id1089811749,14,"Nov 28, 2020","Mar 11, 2016"
