App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"B - Pro Fitness
            4+",45.2 MB,4+,English,Free,True,5.0,2 Ratings,N/A,https://apps.apple.com/us/app/b-pro-fitness/id1496579091,2,"Jul 13, 2020","Jan 31, 2020"
"B ACTIVE
            4+",146.9 MB,4+,English,Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,Contacts,User Content,Identifiers,Usage Data,Sensitive Info,Diagnostics",https://apps.apple.com/us/app/b-active/id1548514922,13,"May 29, 2022","Jan 21, 2021"
"B All About Your Body
            4+",45.1 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,5.0,3 Ratings,"Purchases,Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/b-all-about-your-body/id1513965723,5,"Sep 12, 2020","May 19, 2020"
"B Beauty Lounge
            4+",31.8 MB,4+,"English, Finnish, German",Free,N/A,N/A,N/A,"Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/b-beauty-lounge/id1250351333,7,"Aug 23, 2021","Jun 21, 2017"
"B Body Fitness, LLC
            4+",96.7 MB,4+,English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/b-body-fitness-llc/id1543006199,1,N/A,N/A
"B by Sodexo
            4+",185.3 MB,4+,English,Free,N/A,N/A,N/A,"Financial Info,Financial Info,Contact Info,Identifiers,Location,Contact Info,Diagnostics",https://apps.apple.com/us/app/b-by-sodexo/id1437901074,5,"Nov 10, 2021","Jun 24, 2019"
"B C INTEGRATIVE MEDICINE
            4+",24.3 MB,4+,English,Free,N/A,5.0,2 Ratings,N/A,https://apps.apple.com/us/app/b-c-integrative-medicine/id1521600749,22,"May 31, 2022","Jul 8, 2020"
"B E A U T I F Y
            12+",15.8 MB,"12+

              Infrequent/Mild Mature/Suggestive Themes
Infrequent/Mild Medical/Treatment Information",English,Free,N/A,5.0,5 Ratings,"Contact Info,Identifiers,Diagnostics",https://apps.apple.com/us/app/b-e-a-u-t-i-f-y/id1522807189,4,"Apr 4, 2022","Aug 10, 2020"
"B Experience
            4+",48.7 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/b-experience/id1473970223,1,N/A,N/A
"B Fit Boulder
            4+",157 MB,4+,English,Free,N/A,5.0,4 Ratings,"Health & Fitness,Purchases,Financial Info,Location,Contact Info,Contacts,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/b-fit-boulder/id1475288395,4,"Mar 4, 2021","Aug 7, 2019"
"B Inspired!
            4+",97.1 MB,4+,English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/b-inspired/id1525846361,7,"Jul 12, 2021","Aug 16, 2020"
"B Inspired! ES
            4+",95.4 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/b-inspired-es/id1528025858,4,"Oct 15, 2020","Aug 18, 2020"
"B on Board
            4+",19 MB,4+,"English, French, Italian",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/b-on-board/id1498301931,5,"Jul 12, 2021","Mar 7, 2020"
