App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"C BEAUTY CLINIC
            4+",35.7 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/c-beauty-clinic/id1561129978,1,N/A,N/A
"C&C Padel Club
            4+",82.2 MB,4+,"English, French, German, Italian, Spanish",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/c-c-padel-club/id1580081482,1,N/A,N/A
"C&G Personal Training
            12+",146.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Czech, Dutch, French, German, Greek, Italian, Latvian, Lithuanian, Norwegian Bokmål, Polish, Portuguese, Russian, Spanish, Turkish


        more",Free,N/A,N/A,N/A,"Health & Fitness,Location,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/c-g-personal-training/id1125474726,23,"Dec 11, 2021","Jul 16, 2016"
"C&M doctores
            4+",69.1 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/c-m-doctores/id1565066791,4,"Aug 20, 2021","May 12, 2021"
"C' à ma portée
            12+",63.6 MB,"12+

              Infrequent/Mild Medical/Treatment Information
Infrequent/Mild Contests",English,Free,N/A,N/A,N/A,"Location,Contact Info,Identifiers",https://apps.apple.com/us/app/c-%C3%A0-ma-port%C3%A9e/id1572436201,18,"Jun 12, 2022","Oct 15, 2021"
"C'è pizza per te - Modena
            17+",89.4 MB,"17+

              Frequent/Intense Alcohol, Tobacco, or Drug Use or References",English,Free,N/A,N/A,N/A,"Contact Info,Location,Contact Info",https://apps.apple.com/us/app/c%C3%A8-pizza-per-te-modena/id1556054184,6,"Jun 1, 2021","Mar 2, 2021"
"C+ deportivo
            17+",74.1 MB,"17+

              Unrestricted Web Access",Spanish,Free,N/A,N/A,N/A,Health & Fitness,https://apps.apple.com/us/app/c-deportivo/id1076988753,25,"May 23, 2022","Jul 9, 2018"
"C-BOX
            4+",31.5 MB,4+,"English, French, German, Italian, Polish, Romanian, Spanish",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/c-box/id1443089931,1,N/A,N/A
"C-Card Condom Finder
            17+",5.3 MB,"17+

              Frequent/Intense Mature/Suggestive Themes
Frequent/Intense Medical/Treatment Information
Frequent/Intense Sexual Content or Nudity","English, Arabic, Russian",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/c-card-condom-finder/id1126740962,1,"Jun 30, 2016","Jun 30, 2016"
"C-Care
            17+",19.9 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/c-care/id1373322196,2,"Jun 22, 2018","Jun 22, 2018"
"C-CORE
            12+",146.7 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Czech, Dutch, French, German, Greek, Italian, Latvian, Lithuanian, Norwegian Bokmål, Polish, Portuguese, Russian, Spanish, Turkish


        more",Free,N/A,N/A,N/A,"Health & Fitness,Location,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/c-core/id1530922289,6,"Dec 13, 2021","Sep 15, 2020"
"C-Fit
            4+",8.7 MB,4+,"English, Italian, Korean",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/c-fit/id1185354474,4,"Jun 29, 2017","Dec 16, 2016"
"C-Hair
            4+",60.5 MB,4+,English,Free,N/A,N/A,N/A,Contact Info,https://apps.apple.com/us/app/c-hair/id1513391208,5,"Sep 22, 2021","May 21, 2020"
"C-Life养老
            4+",115.9 MB,4+,"English, Simplified Chinese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/c-life%E5%85%BB%E8%80%81/id1393937890,19,"Apr 15, 2021","Jun 9, 2018"
"C-Life睡眠
            4+",89.2 MB,4+,"English, Simplified Chinese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/c-life%E7%9D%A1%E7%9C%A0/id1097012066,25,"Apr 2, 2022","Sep 21, 2018"
"C-Screener
            4+",67.9 MB,4+,English,Free,N/A,4.7,38 Ratings,N/A,https://apps.apple.com/us/app/c-screener/id1535157998,12,"Dec 5, 2021","Nov 3, 2020"
"C.A.L.C.I.T. Valdarno
            4+",67.5 MB,4+,Italian,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/c-a-l-c-i-t-valdarno/id1544084052,3,"Jun 10, 2021","May 3, 2021"
"C.A.S.A.
            17+",14.9 MB,"17+

              Frequent/Intense Alcohol, Tobacco, or Drug Use or References
Infrequent/Mild Medical/Treatment Information",English,Free,N/A,5.0,2 Ratings,N/A,https://apps.apple.com/us/app/c-a-s-a/id1352473136,10,"May 23, 2019","Mar 20, 2018"
"C.A.V.A.
            12+",39.5 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Italian",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/c-a-v-a/id1456271822,1,N/A,N/A
"C.C. Circus Corner 馬戲角落
            17+",37 MB,"17+

              Unrestricted Web Access","English, Traditional Chinese",Free,N/A,N/A,N/A,"Contact Info,Identifiers,Diagnostics",https://apps.apple.com/us/app/c-c-circus-corner-%E9%A6%AC%E6%88%B2%E8%A7%92%E8%90%BD/id1550064023,7,"Jun 10, 2022","Feb 1, 2021"
"C.D. Amaya
            4+",146.4 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/c-d-amaya/id815566348,25,"May 20, 2022","Mar 18, 2016"
"C.D. Tamaraceite
            4+",73.9 MB,4+,Spanish,Free,N/A,N/A,N/A,Health & Fitness,https://apps.apple.com/us/app/c-d-tamaraceite/id1147688145,21,"May 5, 2022","Sep 3, 2016"
"C.Fitness
            4+",251.9 MB,4+,"English, Czech, Danish, Dutch, Finnish, French, German, Italian, Japanese, Korean, Lithuanian, Norwegian Bokmål, Portuguese, Romanian, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese, Turkish


        more",Free,N/A,N/A,N/A,"Health & Fitness,Location,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/c-fitness/id1473813487,7,"Oct 27, 2021","Jul 31, 2019"
"C.Fitness & Moi
            4+",108.1 MB,4+,"English, Dutch, French, German, Italian, Portuguese",Free,N/A,N/A,N/A,"Contact Info,Usage Data,Diagnostics",https://apps.apple.com/us/app/c-fitness-moi/id1412616362,4,"Jun 8, 2022","Jul 16, 2018"
"C.H.A.W.FITNESS APP
            12+",146.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Czech, Dutch, French, German, Greek, Italian, Latvian, Lithuanian, Norwegian Bokmål, Polish, Portuguese, Russian, Spanish, Turkish


        more",Free,N/A,4.7,7 Ratings,"Health & Fitness,Location,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/c-h-a-w-fitness-app/id1531532280,7,"Dec 11, 2021","Sep 13, 2020"
"C.T. Allan Popeye
            12+",84.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,"Health & Fitness,User Content,Diagnostics",https://apps.apple.com/us/app/c-t-allan-popeye/id1532928138,2,"Feb 10, 2021","Feb 4, 2021"
