App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"La Cumbre
            4+",74.8 MB,4+,"English, Spanish",Free,N/A,N/A,N/A,"Health & Fitness,Location,User Content,Usage Data,Diagnostics",https://apps.apple.com/us/app/la-cumbre/id1566977083,7,"Apr 6, 2022","Jun 7, 2021"
"D Edge Fitness
            4+",52.7 MB,4+,"English, Catalan, French, German, Italian, Polish, Portuguese, Simplified Chinese, Spanish",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/d-edge-fitness/id1581986605,1,N/A,N/A
"D Minder Pro
            12+",69.9 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Italian, Spanish",Free,True,4.2,530 Ratings,N/A,https://apps.apple.com/us/app/d-minder-pro/id547102495,25,"Jun 14, 2022","Aug 3, 2020"
"D Tienda
            4+",94.9 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/d-tienda/id1510151604,2,"Aug 25, 2020","Jul 12, 2020"
"D&A PILATES
            4+",19.8 MB,4+,"English, Dutch, French, German, Italian, Portuguese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/d-a-pilates/id1350821229,3,"Apr 27, 2022","Feb 27, 2018"
"D'Arcy Ranch Golf Club
            4+",109.2 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/darcy-ranch-golf-club/id1460410889,1,N/A,N/A
"D'Health
            4+",84.6 MB,4+,English,Free,N/A,N/A,N/A,"Contact Info,Identifiers,Health & Fitness,Identifiers,Diagnostics",https://apps.apple.com/us/app/dhealth/id1412661139,11,"May 12, 2022","Jul 20, 2018"
"D'Lumay
            4+",11.5 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/dlumay/id1512085254,7,"Mar 29, 2021","May 7, 2020"
"D'Or
            17+",53.6 MB,"17+

              Frequent/Intense Medical/Treatment Information",Portuguese,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/dor/id1291540991,9,"Apr 11, 2020","Jan 24, 2018"
"D'rock Wellness
            4+",100.3 MB,4+,English,Free,N/A,5.0,3 Ratings,N/A,https://apps.apple.com/us/app/drock-wellness/id1585400200,2,"Feb 22, 2022","Sep 14, 2021"
"D's Box'n'Fit オフィシャルアプリ
            4+",27.5 MB,4+,"English, Japanese, Korean, Simplified Chinese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/ds-boxnfit-%E3%82%AA%E3%83%95%E3%82%A3%E3%82%B7%E3%83%A3%E3%83%AB%E3%82%A2%E3%83%97%E3%83%AA/id1447619901,3,"Feb 22, 2022","Dec 29, 2018"
"D'TINY
            4+",35.4 MB,4+,English,Free,N/A,N/A,N/A,"Contact Info,Contacts,Identifiers,Diagnostics,Contact Info,Contacts,Identifiers,Diagnostics",https://apps.apple.com/us/app/dtiny/id1521803020,1,N/A,N/A
"D+R Chiropractic
            17+",211 MB,"17+

              Unrestricted Web Access",English,Free,N/A,N/A,N/A,"Contact Info,User Content,Identifiers",https://apps.apple.com/us/app/d-r-chiropractic/id1546215735,4,"Oct 7, 2021","Dec 29, 2020"
"D-ARIANNA
            17+",1.8 MB,"17+

              Frequent/Intense Alcohol, Tobacco, or Drug Use or References",Italian,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/d-arianna/id1536556262,1,N/A,N/A
"D-BAT Hub
            4+",17.5 MB,4+,"English, Dutch, French, German, Italian, Portuguese",Free,N/A,3.2,20 Ratings,N/A,https://apps.apple.com/us/app/d-bat-hub/id1392463429,6,"Sep 4, 2020","Aug 13, 2018"
"D-BAT Video Hub
            4+",41.2 MB,4+,English,Free,N/A,3.3,6 Ratings,"Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/d-bat-video-hub/id1498492698,25,"Apr 1, 2022","Jan 28, 2021"
"D-Controls Plus
            4+",200.6 MB,4+,,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/d-controls-plus/id978227893,25,"Dec 6, 2019","Jun 21, 2016"
"D-CUBE (リンケージ) - オンライン健康支援アプリ
            12+",52.8 MB,"12+

              Infrequent/Mild Medical/Treatment Information
Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",Japanese,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/d-cube-%E3%83%AA%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B8-%E3%82%AA%E3%83%B3%E3%83%A9%E3%82%A4%E3%83%B3%E5%81%A5%E5%BA%B7%E6%94%AF%E6%8F%B4%E3%82%A2%E3%83%97%E3%83%AA/id1210269932,7,"Apr 1, 2018","Mar 26, 2017"
"D-CUBE(New) - オンライン面談アプリ
            17+",56.5 MB,"17+

              Frequent/Intense Alcohol, Tobacco, or Drug Use or References
Frequent/Intense Medical/Treatment Information","English, Japanese",Free,N/A,N/A,N/A,"Health & Fitness,User Content",https://apps.apple.com/us/app/d-cube-new-%E3%82%AA%E3%83%B3%E3%83%A9%E3%82%A4%E3%83%B3%E9%9D%A2%E8%AB%87%E3%82%A2%E3%83%97%E3%83%AA/id1384359246,14,"Jul 13, 2021","Sep 13, 2018"
"D-EYE 2.0
            17+",40.8 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Italian",Free,N/A,1.8,5 Ratings,N/A,https://apps.apple.com/us/app/d-eye-2-0/id1079823953,4,"Feb 11, 2020","Aug 12, 2016"
"D-Fitness - Workout Trainer
            4+",50.8 MB,4+,"English, Belarusian, Russian, Ukrainian",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/d-fitness-workout-trainer/id1438221049,9,"Apr 7, 2020","Dec 11, 2018"
"D-Gym
            4+",16 MB,4+,English,Free,N/A,N/A,N/A,"Contact Info,Identifiers,Diagnostics",https://apps.apple.com/us/app/d-gym/id1495643382,7,"Dec 8, 2021","Jan 21, 2020"
"D-H Pharmacy
            17+",14.3 MB,"17+

              Infrequent/Mild Alcohol, Tobacco, or Drug Use or References
Frequent/Intense Medical/Treatment Information",English,Free,N/A,3.8,20 Ratings,N/A,https://apps.apple.com/us/app/d-h-pharmacy/id1048957170,7,"Dec 14, 2021","Apr 11, 2016"
"D-HH Virtual
            17+",107.2 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Arabic, Burmese, Cambodian, Danish, Dutch, Estonian, Filipino, Finnish, French, German, Hebrew, Hindi, Indonesian, Italian, Japanese, Korean, Laotian, Malay, Norwegian Bokmål, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Vietnamese


        more",Free,N/A,3.5,12 Ratings,"Health & Fitness,Financial Info,Contact Info,Location,Contact Info",https://apps.apple.com/us/app/d-hh-virtual/id1541892082,4,"Mar 29, 2022","Dec 8, 2020"
"D-Lab Fitness
            12+",75.7 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,True,N/A,N/A,"Health & Fitness,Contact Info,User Content,Identifiers,Usage Data,Sensitive Info,Diagnostics",https://apps.apple.com/us/app/d-lab-fitness/id1558359450,5,"May 29, 2022","May 25, 2021"
"D-Net
            12+",90.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Dutch, French, German, Italian, Portuguese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/d-net/id1536424353,5,"Feb 12, 2021","Oct 25, 2020"
"D-One Running
            4+",54.2 MB,4+,"English, Italian, Japanese",Free,N/A,N/A,N/A,"Contact Info,Location,Contact Info,Contacts,Identifiers,Usage Data,Sensitive Info",https://apps.apple.com/us/app/d-one-running/id1523514862,4,"Jul 31, 2021","Jul 27, 2020"
"D-Partner
            12+",39.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/d-partner/id1475922289,5,"Jun 15, 2021","Aug 19, 2019"
"D-Pharma
            4+",15.4 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/d-pharma/id1561669955,1,N/A,N/A
"D-Piste
            12+",17.2 MB,"12+

              Infrequent/Mild Mature/Suggestive Themes
Infrequent/Mild Medical/Treatment Information
Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/d-piste/id1437574394,2,"Mar 11, 2021","Jun 9, 2020"
"D-Store
            4+",112.4 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/d-store/id1198884791,6,"Jun 9, 2017","Jan 26, 2017"
"D-vour
            4+",45.7 MB,4+,English,Free,N/A,N/A,N/A,Contact Info,https://apps.apple.com/us/app/d-vour/id1546424876,2,"Feb 10, 2021","Jan 30, 2021"
"D. Anthony Studio
            4+",45.2 MB,4+,"English, Finnish, German",Free,N/A,4.7,10 Ratings,"Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/d-anthony-studio/id1562871822,1,N/A,N/A
"D.O.C Dentist
            12+",76.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Spanish",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/d-o-c-dentist/id1544802661,2,"Aug 12, 2021","Jan 26, 2021"
