App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"E Booster
            12+",132 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Simplified Chinese, Traditional Chinese",Free,True,N/A,N/A,"User Content,Diagnostics",https://apps.apple.com/us/app/e-booster/id1514561119,21,"Apr 30, 2022","May 29, 2020"
"E Fitness!
            12+",75.5 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,5.0,1 Rating,"Health & Fitness,Contact Info,User Content,Identifiers,Usage Data,Sensitive Info,Diagnostics",https://apps.apple.com/us/app/e-fitness/id1584072046,4,"May 28, 2022","Sep 28, 2021"
"E Food Additives
            12+",20.8 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,3.0,1 Rating,N/A,https://apps.apple.com/us/app/e-food-additives/id326134581,6,"Jan 20, 2021","Sep 28, 2009"
"E Megamart India
            4+",31.8 MB,4+,English,Free,N/A,N/A,N/A,Contact Info,https://apps.apple.com/us/app/e-megamart-india/id1537979210,14,"Mar 11, 2022","Nov 4, 2020"
"E N Wellness
            4+",55.7 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/e-n-wellness/id1591890606,3,"Dec 15, 2021","Oct 25, 2021"
"E Pluribus Unum
            4+",63.3 MB,4+,English,Free,N/A,5.0,1 Rating,"Health & Fitness,Contact Info,User Content",https://apps.apple.com/us/app/e-pluribus-unum/id1565770704,23,"Jun 9, 2022","May 17, 2021"
"E Watch - BLE bracelet App
            4+",3.9 MB,4+,"English, German, Simplified Chinese",Free,N/A,3.0,3 Ratings,N/A,https://apps.apple.com/us/app/e-watch-ble-bracelet-app/id1062514645,4,"Apr 25, 2016","Dec 15, 2015"
"E-agle Association
            4+",16.4 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/e-agle-association/id1248477207,2,"Aug 6, 2020","Jun 16, 2017"
"E-Bisiklet
            4+",65.3 MB,4+,English,Free,N/A,N/A,N/A,"Location,Contact Info",https://apps.apple.com/us/app/e-bisiklet/id1592473868,3,"Apr 14, 2022","Oct 29, 2021"
"E-burn
            17+",76.5 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/e-burn/id1116173536,1,"May 30, 2016","May 30, 2016"
