App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"F Fit
            12+",105.5 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Bulgarian, Czech, Danish, Dutch, French, German, Greek, Hindi, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Vietnamese


        more",Free,N/A,2.9,97 Ratings,"Health & Fitness,Location,Contact Info,User Content,Identifiers,Diagnostics,Other Data",https://apps.apple.com/us/app/f-fit/id1466929052,21,"Apr 18, 2022","Jun 11, 2019"
"F Mendonça
            4+",45 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/f-mendon%C3%A7a/id1577345512,2,"Jun 14, 2022","Jul 23, 2021"
"F&B Energy Treningssenter
            4+",37 MB,4+,English,Free,N/A,N/A,N/A,Diagnostics,https://apps.apple.com/us/app/f-b-energy-treningssenter/id1516588454,2,"Jan 14, 2021","Jun 16, 2020"
"F&F
            4+",230 MB,4+,"English, Hindi, Indonesian, Japanese, Spanish",Free,N/A,N/A,N/A,"Contact Info,Diagnostics",https://apps.apple.com/us/app/f-f/id1530741009,4,"Apr 29, 2022","Sep 16, 2020"
"F&M
            4+",61 MB,4+,English,Free,True,N/A,N/A,"Purchases,Contact Info,User Content,User Content,Usage Data,Diagnostics",https://apps.apple.com/us/app/f-m/id1502260541,8,"Apr 3, 2022","Oct 5, 2020"
"F&S Eskilstuna
            4+",31.2 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/f-s-eskilstuna/id1064507517,2,"Apr 26, 2021","Dec 13, 2015"
"F&S Gävle
            4+",28.5 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/f-s-g%C3%A4vle/id658421260,6,"Jun 17, 2020","Jun 10, 2013"
"F&S Lidköping
            4+",28.3 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/f-s-lidk%C3%B6ping/id1056565156,6,"Oct 1, 2020","Nov 26, 2015"
"F&S Nynäshamn
            4+",30.9 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/f-s-nyn%C3%A4shamn/id1080273428,2,"Aug 17, 2020","Feb 4, 2016"
"F&S Ängelholm
            4+",30.9 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/f-s-%C3%A4ngelholm/id1055644576,3,"Jan 20, 2021","Nov 14, 2015"
"F-CHECK
            12+",61.4 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/f-check/id1565943084,1,N/A,N/A
"F-Factor
            4+",82.4 MB,4+,English,Free,N/A,2.6,108 Ratings,N/A,https://apps.apple.com/us/app/f-factor/id1326011634,17,"Oct 31, 2019","Feb 19, 2018"
"F-STAC
            4+",66.6 MB,4+,"English, Danish",$79.99,N/A,4.4,5 Ratings,N/A,https://apps.apple.com/us/app/f-stac/id1014974144,13,"Jun 10, 2022","Jul 25, 2016"
"F-Tracker
            4+",63 MB,4+,"English, Arabic, Dutch, French, German, Italian, Japanese, Korean, Mongolian, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Ukrainian, Vietnamese


        more",Free,N/A,N/A,N/A,Diagnostics,https://apps.apple.com/us/app/f-tracker/id1447604306,12,"May 11, 2021","Dec 22, 2018"
"F.A.M.E Fitness Quality Club
            4+",20.6 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/f-a-m-e-fitness-quality-club/id1480838728,1,N/A,N/A
"F.A.S.T Stroke Test
            12+",11 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, German",Free,N/A,5.0,4 Ratings,N/A,https://apps.apple.com/us/app/f-a-s-t-stroke-test/id833825993,2,"Sep 20, 2019","Mar 20, 2014"
"F.C. Pesch 1956 e.V.
            4+",31.9 MB,4+,"English, Czech, Finnish, French, German, Italian, Japanese, Korean, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese


        more",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/f-c-pesch-1956-e-v/id1482129237,1,N/A,N/A
"F.I.R.S.T. Support
            17+",47 MB,"17+

              Frequent/Intense Alcohol, Tobacco, or Drug Use or References
Frequent/Intense Medical/Treatment Information",English,Free,N/A,3.0,2 Ratings,"Health & Fitness,Location,Identifiers,Usage Data",https://apps.apple.com/us/app/f-i-r-s-t-support/id1525513161,4,"Jan 21, 2021","Aug 1, 2020"
"Life Fitness OL
            17+",142.8 MB,"17+

              Unrestricted Web Access","English, Arabic, German",Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,Search History,Identifiers,Diagnostics",https://apps.apple.com/us/app/life-fitness-ol/id1552832482,9,"Apr 28, 2022","Feb 9, 2021"
"F1RST
            12+",13.8 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/f1rst/id1075158907,4,"Feb 18, 2020","Jan 21, 2016"
"F1rst Class Fitness
            4+",170.7 MB,4+,English,Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,Contacts,User Content,Identifiers,Usage Data,Sensitive Info,Diagnostics",https://apps.apple.com/us/app/f1rst-class-fitness/id1568352531,8,"Dec 22, 2021","May 21, 2021"
"F1TNESS
            4+",28.4 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/f1tness/id1456231710,2,"Aug 8, 2019","Jul 4, 2019"
"F28AirQuality
            4+",441.3 KB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/f28airquality/id1531583161,1,N/A,N/A
"F2F - Fat to fit
            4+",121.2 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/f2f-fat-to-fit/id1566143300,3,"Jul 9, 2021","Jun 2, 2021"
"F2F Reboot
            4+",40 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/f2f-reboot/id1467349050,19,"Oct 1, 2020","Jun 8, 2019"
"F3 /// Fit Flex Fly
            4+",50.1 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,5.0,1 Rating,"Purchases,Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/f3-fit-flex-fly/id1080746213,3,"Jan 5, 2021","Feb 4, 2016"
"F3 Crossroads IL
            17+",70 MB,"17+

              Infrequent/Mild Alcohol, Tobacco, or Drug Use or References
Infrequent/Mild Mature/Suggestive Themes
Unrestricted Web Access
Infrequent/Mild Profanity or Crude Humor",English,Free,N/A,3.4,5 Ratings,"Health & Fitness,Location,Contact Info,Identifiers,Health & Fitness,Location,Contact Info,Identifiers,User Content,Diagnostics",https://apps.apple.com/us/app/f3-crossroads-il/id1562088347,10,"Jun 9, 2022","Apr 28, 2021"
"F3 Fitness
            4+",47.7 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,N/A,N/A,"Purchases,Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/f3-fitness/id1591456117,2,"Dec 7, 2021","Oct 22, 2021"
"F3 FORMULA
            4+",57.2 MB,4+,"English, Italian, Russian, Ukrainian",Free,N/A,N/A,N/A,"Usage Data,Diagnostics",https://apps.apple.com/us/app/f3-formula/id1500711211,6,"Feb 5, 2022","Mar 3, 2020"
"F3 Health Training
            4+",90 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/f3-health-training/id1527150456,1,N/A,N/A
"F3 Studio
            4+",18.7 MB,4+,English,Free,N/A,N/A,N/A,"Contact Info,Diagnostics",https://apps.apple.com/us/app/f3-studio/id1590370283,1,N/A,N/A
"F30教练
            4+",31.8 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/f30%E6%95%99%E7%BB%83/id1571620067,4,"Sep 30, 2021","Sep 14, 2021"
"F45 Challenge
            12+",87.9 MB,"12+

              Infrequent/Mild Medical/Treatment Information
Infrequent/Mild Mature/Suggestive Themes",English,Free,N/A,2.9,133 Ratings,"Health & Fitness,Location,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/f45-challenge/id1115028194,25,"Jun 9, 2022","Mar 22, 2021"
"F45 Glofox Pro
            4+",18.7 MB,4+,English,Free,N/A,2.0,2 Ratings,N/A,https://apps.apple.com/us/app/f45-glofox-pro/id1464709883,8,"Dec 8, 2020","May 23, 2019"
"F45 ISRAEL
            4+",64.9 MB,4+,"English, Dutch, French, German, Italian, Portuguese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/f45-israel/id1484520835,1,N/A,N/A
