App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"G & G Pharmacy
            17+",95.9 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Dutch, French, German, Italian, Portuguese",Free,N/A,5.0,1 Rating,"Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/g-g-pharmacy/id1429350882,3,"Sep 22, 2021","Aug 17, 2018"
"G Buddy STYLFIT
            4+",121.1 MB,4+,English,Free,N/A,5.0,1 Rating,Diagnostics,https://apps.apple.com/us/app/g-buddy-stylfit/id1564855955,7,"Mar 27, 2022","Apr 28, 2021"
"G Buddy STYLFIT GSW8
            12+",92.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Arabic, Czech, French, German, Hungarian, Italian, Japanese, Korean, Persian, Polish, Portuguese, Russian, Simplified Chinese, Slovak, Spanish, Traditional Chinese, Turkish, Vietnamese


        more",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/g-buddy-stylfit-gsw8/id1562458842,4,"Oct 20, 2021","Apr 13, 2021"
"G Fitness - Workout Challenge
            4+",187.8 MB,4+,"English, French, German, Japanese, Korean, Russian, Spanish",Free,N/A,2.9,18 Ratings,N/A,https://apps.apple.com/us/app/g-fitness-workout-challenge/id1435264185,12,"Feb 15, 2019","Oct 31, 2018"
"G Fitness NJ
            4+",2 MB,4+,English,Free,N/A,5.0,3 Ratings,N/A,https://apps.apple.com/us/app/g-fitness-nj/id1521053767,6,"Aug 18, 2020","Jun 28, 2020"
"G Force Fitness and Training
            4+",165.6 MB,4+,English,Free,N/A,5.0,3 Ratings,"Health & Fitness,Purchases,Financial Info,Location,Contact Info,Contacts,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/g-force-fitness-and-training/id1321636003,7,"Feb 26, 2021","Dec 6, 2017"
"G&E McIntyres
            4+",32 MB,4+,"English, Finnish, German",Free,N/A,N/A,N/A,"Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/g-e-mcintyres/id1378227414,6,"Sep 3, 2021","May 1, 2018"
"G&G Parrucchieri
            4+",32.4 MB,4+,Italian,Free,N/A,N/A,N/A,"Contact Info,Identifiers,User Content",https://apps.apple.com/us/app/g-g-parrucchieri/id1347895817,4,"Mar 22, 2022","Feb 13, 2018"
"G&Step
            4+",967.7 KB,4+,"English, Swedish",$0.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/g-step/id836657225,6,"Nov 18, 2019","Mar 21, 2014"
"G'day Doctor
            4+",72.5 MB,4+,"English, French, German, Indonesian, Kazakh, Russian, Spanish, Ukrainian",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/gday-doctor/id1535769624,10,"Feb 16, 2022","Nov 30, 2020"
"G-FIT: Gina Aliotti Fitness
            4+",165.6 MB,4+,"English, Estonian, German, Japanese, Portuguese, Spanish",Free,True,5.0,39 Ratings,"Purchases,Contact Info,Usage Data,Purchases,Contact Info,Usage Data,Diagnostics",https://apps.apple.com/us/app/g-fit-gina-aliotti-fitness/id1498859142,3,"Jun 7, 2022","Mar 4, 2020"
"G-Force Fitness Center
            4+",160.3 MB,4+,English,Free,N/A,N/A,N/A,"Health & Fitness,Purchases,Financial Info,Location,Contact Info,Contacts,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/g-force-fitness-center/id1464045559,2,"Feb 23, 2021","May 17, 2019"
"G-Plans: Customized Nutrition
            4+",123.6 MB,4+,English,Free,True,3.4,2.2K Ratings,"Location,Identifiers,Usage Data,Diagnostics,Location,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/g-plans-customized-nutrition/id1287437272,25,"May 23, 2022","Sep 30, 2019"
"G-REVO GYM  【公式アプリ】
            4+",56.5 MB,4+,"English, Japanese, Korean, Simplified Chinese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/g-revo-gym-%E5%85%AC%E5%BC%8F%E3%82%A2%E3%83%97%E3%83%AA/id1563414470,1,N/A,N/A
"G-Spot Frisbee Tourney
            4+",36.8 MB,4+,English,Free,N/A,N/A,N/A,"Contact Info,User Content,User Content",https://apps.apple.com/us/app/g-spot-frisbee-tourney/id1531744876,2,"Dec 20, 2020","Sep 16, 2020"
