App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"H Band
            12+",94.9 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Arabic, Czech, French, German, Hungarian, Italian, Japanese, Korean, Persian, Polish, Portuguese, Russian, Simplified Chinese, Slovak, Spanish, Traditional Chinese, Turkish, Vietnamese


        more",Free,N/A,2.9,886 Ratings,"Location,Diagnostics",https://apps.apple.com/us/app/h-band/id1147074917,25,"Jun 2, 2022","Aug 20, 2020"
"H Capital Beneficios
            12+",78.8 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/h-capital-beneficios/id1495501181,1,N/A,N/A
"H Centrum
            4+",36.5 MB,4+,"English, Czech, Slovak",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/h-centrum/id1515422965,3,"Sep 29, 2020","May 27, 2020"
"H Mar Charbel
            4+",30.8 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/h-mar-charbel/id1278654630,1,"Sep 4, 2017","Sep 4, 2017"
"H&F Club
            12+",77.9 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/h-f-club/id1579321897,1,N/A,N/A
"Running Christmas Calendar
            17+",30.5 MB,"17+

              Unrestricted Web Access","English, German",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/running-christmas-calendar/id1540919673,8,"Dec 4, 2021","Nov 19, 2020"
"H&T Studio - Prof. Ricci
            12+",53 MB,"12+

              Infrequent/Mild Sexual Content and Nudity",English,Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,User Content,Identifiers,Diagnostics",https://apps.apple.com/us/app/h-t-studio-prof-ricci/id1544284800,14,"May 3, 2022","Dec 17, 2020"
"H&WCoach di Paolo Tarzia
            4+",10.7 MB,4+,Italian,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/h-wcoach-di-paolo-tarzia/id1512959994,1,N/A,N/A
"H-Book – osobní zdravotní záznamy
            12+",47.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Czech",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/h-book-osobn%C3%AD-zdravotn%C3%AD-z%C3%A1znamy/id653401818,21,"Jun 28, 2017","Jun 5, 2013"
"H-E-B Pharmacy
            12+",77.5 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,4.9,33.4K Ratings,"Health & Fitness,Contact Info,Identifiers,Usage Data,Location,Diagnostics",https://apps.apple.com/us/app/h-e-b-pharmacy/id1269632735,25,"Oct 20, 2021","Mar 14, 2018"
"H-F Racquet & Fitness Club
            17+",194.4 MB,"17+

              Unrestricted Web Access",English,Free,N/A,4.9,12 Ratings,"Health & Fitness,Contact Info,User Content,Identifiers,Usage Data,Sensitive Info,Browsing History,Diagnostics",https://apps.apple.com/us/app/h-f-racquet-fitness-club/id1392990130,7,"May 28, 2021","Jun 6, 2018"
"H-FACT
            12+",4.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/h-fact/id1568969345,5,"Nov 24, 2021","Jul 5, 2021"
"H-FACT Qman
            12+",3.7 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/h-fact-qman/id1568969517,1,N/A,N/A
"H-Fit
            4+",60.8 MB,4+,"English, Arabic, Danish, Dutch, French, German, Indonesian, Italian, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese, Turkish, Vietnamese


        more",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/h-fit/id1580897987,7,"Jan 10, 2022","Sep 3, 2021"
"H-Health
            4+",51.5 MB,4+,"English, Japanese, Korean, Simplified Chinese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/h-health/id1362978744,7,"Feb 25, 2022","Mar 28, 2018"
"H-Kore Studios
            4+",47.6 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,N/A,N/A,"Purchases,Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/h-kore-studios/id1436586539,12,"Dec 28, 2021","Sep 26, 2018"
"H-Talks
            4+",10.3 MB,4+,Turkish,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/h-talks/id1534938831,4,"Jan 4, 2021","Oct 22, 2020"
"H.A.B.I.T
            4+",53.9 MB,4+,"English, Dutch, French, German, Italian, Portuguese",Free,N/A,N/A,N/A,"Purchases,Financial Info,Contact Info,Identifiers,Diagnostics,Location,User Content",https://apps.apple.com/us/app/h-a-b-i-t/id1559716589,1,N/A,N/A
"H.AI(하이)
            17+",114 MB,"17+

              Frequent/Intense Medical/Treatment Information",Korean,Free,N/A,N/A,N/A,"Contact Info,Diagnostics,Contact Info,Identifiers,Sensitive Info,Diagnostics",https://apps.apple.com/us/app/h-ai-%ED%95%98%EC%9D%B4/id1554824039,4,"May 20, 2021","Mar 31, 2021"
"H.E.P. Library
            4+",27.4 MB,4+,English,$4.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/h-e-p-library/id1099663270,2,"May 14, 2019","Apr 9, 2016"
"H.I.T. Fitness Warehouse
            4+",53.3 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,4.0,2 Ratings,N/A,https://apps.apple.com/us/app/h-i-t-fitness-warehouse/id1042413578,6,"Jun 29, 2018","Sep 28, 2015"
"H.O.D
            4+",34.7 MB,4+,English,Free,True,4.6,93 Ratings,"Contact Info,User Content,Identifiers",https://apps.apple.com/us/app/h-o-d/id1543890338,7,"Sep 27, 2021","Feb 17, 2021"
"H.O.F.the SALON
            4+",33.2 MB,4+,"English, Finnish, German",Free,N/A,5.0,15 Ratings,"Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/h-o-f-the-salon/id1406308750,5,"Aug 15, 2021","Jul 3, 2018"
"H.O.W.
            4+",10.3 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/h-o-w/id1449965861,4,"Apr 18, 2020","Jan 31, 2019"
"H.O.W. SW
            4+",10.9 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/h-o-w-sw/id1474227934,3,"Jan 31, 2020","Jul 29, 2019"
