App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"I affirm - I am affirmations
            4+",236.3 MB,4+,English,Free,True,4.8,61 Ratings,"Identifiers,Usage Data,Identifiers,Usage Data",https://apps.apple.com/us/app/i-affirm-i-am-affirmations/id1561986438,15,"May 25, 2022","Oct 21, 2021"
"I am - Daily Affirmations
            4+",350.5 MB,4+,"English, Arabic, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish


        more",Free,True,4.9,352.6K Ratings,"Purchases,User Content,Search History,Identifiers,Usage Data,Purchases,User Content,Search History,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/i-am-daily-affirmations/id874656917,25,"Jun 15, 2022","Jan 7, 2022"
"I AM - Meditation
            17+",53.7 MB,"17+

              Unrestricted Web Access",English,Free,N/A,5.0,8 Ratings,N/A,https://apps.apple.com/us/app/i-am-meditation/id1519191801,1,N/A,N/A
"I Am Best : Powerful Positive Affirmations
            4+",142.3 MB,4+,"English, Arabic, Catalan, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese


        more",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/i-am-best-powerful-positive-affirmations/id1126118529,2,"Jun 9, 2017","Jun 22, 2016"
"I Am Divine Cards
            4+",35.4 MB,4+,English,Free,N/A,5.0,3 Ratings,N/A,https://apps.apple.com/us/app/i-am-divine-cards/id409192439,5,"May 19, 2015","Jan 6, 2011"
"I Am Divine Children's Edition
            4+",179 MB,4+,English,Free,N/A,1.0,1 Rating,N/A,https://apps.apple.com/us/app/i-am-divine-childrens-edition/id1364992888,1,"Apr 11, 2018","Apr 11, 2018"
"I AM FIT - Functional & Ninja
            4+",66.5 MB,4+,English,Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,Identifiers,Diagnostics",https://apps.apple.com/us/app/i-am-fit-functional-ninja/id1583940233,2,"Dec 17, 2021","Oct 11, 2021"
"I am fitness studio
            4+",57.4 MB,4+,"English, Italian, Russian, Ukrainian",Free,N/A,N/A,N/A,"Usage Data,Diagnostics",https://apps.apple.com/us/app/i-am-fitness-studio/id1532876526,3,"Apr 26, 2022","Sep 23, 2020"
"I AM HERE
            4+",65 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/i-am-here/id1547493644,1,N/A,N/A
"I Am Hot Yoga
            4+",32.8 MB,4+,English,Free,N/A,N/A,N/A,"Financial Info,Location,Contact Info,User Content",https://apps.apple.com/us/app/i-am-hot-yoga/id1574028133,2,"Oct 28, 2021","Sep 16, 2021"
"I Am Limitless Fitness
            4+",50.9 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,N/A,N/A,"Purchases,Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/i-am-limitless-fitness/id1518858705,6,"Jul 15, 2021","Jun 23, 2020"
"I AM moodboard
            4+",28.9 MB,4+,"English, Dutch",$14.99,N/A,N/A,N/A,"Contact Info,User Content,Identifiers,Diagnostics",https://apps.apple.com/us/app/i-am-moodboard/id1566840757,3,"Jun 17, 2021","Jun 11, 2021"
"I Am Positive Affirmations App
            4+",39.6 MB,4+,English,Free,True,4.9,36 Ratings,"Location,Identifiers,Usage Data,Location,Identifiers,Usage Data",https://apps.apple.com/us/app/i-am-positive-affirmations-app/id1552382571,5,"Sep 23, 2021","Feb 8, 2021"
"I AM QUEEN
            4+",8.7 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/i-am-queen/id1552268491,1,N/A,N/A
"I Am Reflection
            4+",26 MB,4+,English,Free,N/A,4.0,1 Rating,N/A,https://apps.apple.com/us/app/i-am-reflection/id1525583157,2,"Apr 7, 2021","Jul 30, 2020"
