App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"J Cosmetics
            4+",32.5 MB,4+,"English, Finnish, German",Free,N/A,N/A,N/A,"Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/j-cosmetics/id1448258129,4,"Aug 24, 2021","Jan 3, 2019"
"J Drugs
            17+",189.9 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Dutch, French, German, Italian, Portuguese",Free,N/A,5.0,1 Rating,"Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/j-drugs/id1457344307,3,"Oct 6, 2021","Mar 23, 2019"
"J Malden Center
            17+",101.2 MB,"17+

              Unrestricted Web Access",English,Free,N/A,5.0,3 Ratings,"Contact Info,User Content",https://apps.apple.com/us/app/j-malden-center/id1535903692,22,"May 5, 2022","Dec 16, 2020"
"J Michael’s Spa and Salon
            4+",32.6 MB,4+,"English, Finnish, German",Free,N/A,5.0,15 Ratings,"Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/j-michaels-spa-and-salon/id1388891733,5,"Aug 15, 2021","May 24, 2018"
"J Walker Salon & Spa
            4+",137 MB,4+,English,Free,N/A,N/A,N/A,"Health & Fitness,Purchases,Contact Info,User Content,Identifiers,Sensitive Info,Location,Contacts,Usage Data,Diagnostics",https://apps.apple.com/us/app/j-walker-salon-spa/id1517316353,8,"May 22, 2021","Jun 21, 2020"
"J&A Fitness Factory
            4+",79.7 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/j-a-fitness-factory/id1468068872,5,"Jul 7, 2020","Jun 21, 2019"
"J&J Official 7 Minute Workout
            4+",185.9 MB,4+,English,Free,N/A,4.7,85.4K Ratings,"Health & Fitness,Contact Info,Identifiers,Usage Data",https://apps.apple.com/us/app/j-j-official-7-minute-workout/id784797900,25,"May 27, 2022","Apr 20, 2015"
"J&K Zorgkracht
            4+",4 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/j-k-zorgkracht/id1504074949,7,"Feb 11, 2022","Mar 24, 2020"
"J&R Coaching
            4+",114.9 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/j-r-coaching/id1513882296,3,"Jun 16, 2021","May 20, 2020"
"J&R Gymnastics
            4+",12.5 MB,4+,"English, Dutch, French, German, Italian, Portuguese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/j-r-gymnastics/id934194451,10,"Jan 24, 2020","Nov 4, 2014"
