App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"K Fitness
            4+",149.9 MB,4+,English,Free,N/A,5.0,1 Rating,"Health & Fitness,Contact Info,Contacts,User Content,Identifiers,Usage Data,Sensitive Info,Diagnostics",https://apps.apple.com/us/app/k-fitness/id1550160627,15,"May 29, 2022","Jan 24, 2021"
"K GYM 健身房
            4+",105.4 MB,4+,"English, Simplified Chinese, Traditional Chinese",Free,N/A,N/A,N/A,"Financial Info,Contact Info,Usage Data,Diagnostics",https://apps.apple.com/us/app/k-gym-%E5%81%A5%E8%BA%AB%E6%88%BF/id1548615513,7,"Mar 8, 2022","Jan 14, 2021"
"K Hair
            4+",31.7 MB,4+,"English, Finnish, German",Free,N/A,N/A,N/A,"Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/k-hair/id1159399475,6,"Aug 24, 2021","Sep 29, 2016"
"K Health | Telehealth
            17+",161.3 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Hebrew, Indonesian, Portuguese, Spanish",Free,N/A,4.5,18K Ratings,"Location,Identifiers,Health & Fitness,Purchases,Location,Contact Info,User Content,Search History,Identifiers,Usage Data,Sensitive Info,Diagnostics",https://apps.apple.com/us/app/k-health-telehealth/id1180400838,25,"Jun 16, 2022","Jan 25, 2022"
"K running - walk notification
            4+",7.9 MB,4+,"English, Japanese",Free,N/A,5.0,1 Rating,"Browsing History,Usage Data",https://apps.apple.com/us/app/k-running-walk-notification/id1539391383,16,"Apr 12, 2022","Nov 15, 2020"
"K Spa
            4+",31.9 MB,4+,"English, Finnish, German",Free,N/A,N/A,N/A,"Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/k-spa/id924034756,12,"Aug 23, 2021","Oct 7, 2014"
"K Square
            4+",33.6 MB,4+,English,Free,N/A,N/A,N/A,"Financial Info,Contact Info",https://apps.apple.com/us/app/k-square/id1519793530,13,"Jun 14, 2022","Jun 25, 2020"
"K Therapy | Telehealth
            12+",64.6 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,4.5,16 Ratings,"Contact Info,Identifiers,Usage Data,Sensitive Info,Diagnostics",https://apps.apple.com/us/app/k-therapy-telehealth/id1471189304,25,"May 25, 2022","Aug 23, 2021"
"K вpaчy
            4+",7.6 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/k-%D0%B2pa%D1%87y/id1258175004,2,"Nov 27, 2017","Sep 28, 2017"
"K&K Swim School
            4+",48.2 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/k-k-swim-school/id1496053403,25,"Jun 10, 2022","Jun 8, 2021"
"K+ pregnancy medical companion
            17+",409.1 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Portuguese",Free,N/A,5.0,10 Ratings,"Health & Fitness,Contact Info,Sensitive Info",https://apps.apple.com/us/app/k-pregnancy-medical-companion/id1517365628,7,"Apr 1, 2022","Jul 21, 2020"
"K-APP
            12+",15.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/k-app/id1459729683,1,N/A,N/A
