App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"L Essenza Estetica
            4+",53.5 MB,4+,English,Free,N/A,N/A,N/A,"Location,Contact Info,User Content,Identifiers,Other Data,Health & Fitness,Location,Contact Info,User Content,Identifiers,Other Data",https://apps.apple.com/us/app/l-essenza-estetica/id1560349509,1,N/A,N/A
"L sektor
            4+",109.6 MB,4+,"English, Russian, Ukrainian",Free,N/A,N/A,N/A,Contact Info,https://apps.apple.com/us/app/l-sektor/id1492697334,22,"Mar 4, 2022","Jan 9, 2020"
"L&D MySkincare
            17+",66.3 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Russian",Free,N/A,N/A,N/A,"Health & Fitness,Financial Info,Contact Info,User Content,Usage Data,Diagnostics",https://apps.apple.com/us/app/l-d-myskincare/id1542599721,25,"Jun 7, 2022","Jul 10, 2021"
"L&M Pharmacy
            12+",24.5 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Spanish",Free,N/A,4.9,35 Ratings,N/A,https://apps.apple.com/us/app/l-m-pharmacy/id946772708,9,"Dec 13, 2019","Feb 6, 2015"
"L-DART App
            4+",66.3 MB,4+,,Free,N/A,N/A,N/A,"Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/l-dart-app/id1553312930,3,"Nov 13, 2021","Feb 17, 2021"
"L-Sessions Althaia
            17+",17.4 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/l-sessions-althaia/id1313181198,5,"Mar 30, 2019","Jun 14, 2018"
"L-T Life Technologies
            4+",29.6 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/l-t-life-technologies/id1489298928,1,N/A,N/A
"L.A. Beauty
            4+",32 MB,4+,"English, Finnish, German",Free,N/A,N/A,N/A,"Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/l-a-beauty/id1450151023,5,"Sep 3, 2021","Jan 22, 2019"
"L.A. Bellydance Academy
            4+",20.6 MB,4+,English,Free,N/A,5.0,10 Ratings,"Contact Info,Diagnostics",https://apps.apple.com/us/app/l-a-bellydance-academy/id1557692142,2,"Apr 3, 2021","Mar 11, 2021"
"L.A.B SPACE
            4+",57.2 MB,4+,"English, Italian, Russian, Ukrainian",Free,N/A,N/A,N/A,"Usage Data,Diagnostics",https://apps.apple.com/us/app/l-a-b-space/id1473020522,8,"Dec 21, 2021","Jul 17, 2019"
