App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"M Buis Healthy Lifestyle
            17+",110.1 MB,"17+

              Unrestricted Web Access",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/m-buis-healthy-lifestyle/id1489215960,1,N/A,N/A
"M Fit
            4+",26.3 MB,4+,"English, French, German, Italian, Japanese, Korean, Portuguese, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/m-fit/id1234559317,8,"Feb 8, 2018","May 11, 2017"
"M Fitness Zone
            4+",29.6 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/m-fitness-zone/id1575893650,1,N/A,N/A
"M K Fitness
            4+",120.8 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/m-k-fitness/id1585475391,1,N/A,N/A
"M POWERSC
            4+",37.1 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/m-powersc/id1447087366,1,N/A,N/A
"M Riccio Hair Design
            4+",31.7 MB,4+,"English, Finnish, German",Free,N/A,N/A,N/A,"Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/m-riccio-hair-design/id1285327890,6,"Aug 14, 2021","Sep 19, 2017"
"M Salons
            4+",172.2 MB,4+,,Free,N/A,N/A,N/A,"Contact Info,Identifiers",https://apps.apple.com/us/app/m-salons/id1468256850,3,"Apr 22, 2021","Jun 14, 2019"
"M Sports -- Calisthenics
            17+",69.4 MB,"17+

              Unrestricted Web Access",English,Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,User Content",https://apps.apple.com/us/app/m-sports-calisthenics/id1451182329,25,"May 26, 2022","Mar 22, 2021"
"M&A - Meditations Affirmations
            12+",117.6 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Russian",Free,True,3.7,3 Ratings,Identifiers,https://apps.apple.com/us/app/m-a-meditations-affirmations/id1439413547,7,"Jan 15, 2021","Dec 2, 2018"
"M&C Mermaids and Cecce
            12+",53.1 MB,"12+

              Infrequent/Mild Sexual Content and Nudity",Italian,Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,User Content,Identifiers,Diagnostics",https://apps.apple.com/us/app/m-c-mermaids-and-cecce/id1548271218,8,"Mar 22, 2022","Jan 12, 2021"
"M&C Wellness
            12+",147 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Czech, Dutch, French, German, Greek, Italian, Latvian, Lithuanian, Norwegian Bokmål, Polish, Portuguese, Russian, Spanish, Turkish


        more",Free,N/A,N/A,N/A,"Health & Fitness,Location,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/m-c-wellness/id1424297625,15,"May 25, 2022","Aug 28, 2018"
"M&D Health Academy
            12+",146.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Czech, Dutch, French, German, Greek, Italian, Latvian, Lithuanian, Norwegian Bokmål, Polish, Portuguese, Russian, Spanish, Turkish


        more",Free,N/A,N/A,N/A,"Health & Fitness,Location,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/m-d-health-academy/id1544942854,4,"Dec 13, 2021","Dec 15, 2020"
