App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"O & A Wellness Group, Inc.
            12+",140.9 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Dutch, French, German, Greek, Italian, Latvian, Lithuanian, Norwegian Bokmål, Polish, Portuguese, Russian, Spanish, Turkish


        more",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o-a-wellness-group-inc/id1512173418,2,"Jul 10, 2020","May 7, 2020"
"O Athletik Houston
            17+",206.5 MB,"17+

              Unrestricted Web Access","English, Arabic, Catalan, Danish, Dutch, Finnish, French, German, Icelandic, Italian, Japanese, Korean, Norwegian Bokmål, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese, Turkish


        more",Free,N/A,4.7,3 Ratings,"Health & Fitness,Contact Info,User Content,Identifiers,Usage Data,Sensitive Info,Browsing History,Diagnostics",https://apps.apple.com/us/app/o-athletik-houston/id1152708776,8,"Dec 28, 2020","Sep 30, 2016"
"O Boto Cor de Rosa
            12+",69.7 MB,"12+

              Infrequent/Mild Sexual Content and Nudity","English, Dutch, French, German, Italian, Portuguese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o-boto-cor-de-rosa/id1565847127,1,N/A,N/A
"ReAprenda a Comer
            4+",35.1 MB,4+,English,Free,N/A,N/A,N/A,"Contact Info,Identifiers,Health & Fitness,Search History,Usage Data,Diagnostics",https://apps.apple.com/us/app/reaprenda-a-comer/id1587723807,17,"Jun 14, 2022","Oct 27, 2021"
"O Irlandês Barber e Pub
            4+",16 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o-irland%C3%AAs-barber-e-pub/id1574246074,2,"Feb 23, 2022","Jun 29, 2021"
"O My Soul Daily Affirmations
            4+",82.7 MB,4+,English,Free,True,4.8,6.8K Ratings,"Identifiers,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/o-my-soul-daily-affirmations/id1493998000,25,"Jan 24, 2022","Aug 23, 2020"
"O My Soul: Meditation & Sleep
            4+",159.9 MB,4+,English,$2.99,N/A,5.0,6 Ratings,N/A,https://apps.apple.com/us/app/o-my-soul-meditation-sleep/id1506499111?mt=12,1,N/A,N/A
"O Personal Digital
            4+",46.1 MB,4+,English,Free,N/A,4.9,56 Ratings,"Contact Info,User Content",https://apps.apple.com/us/app/o-personal-digital/id1532310171,25,"Mar 2, 2022","Dec 1, 2020"
"O Studio
            4+",20.2 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o-studio/id1571472889,7,"Aug 26, 2021","Jun 9, 2021"
"O'care Body Composition App
            4+",65.3 MB,4+,"English, Simplified Chinese, Traditional Chinese",Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,Identifiers",https://apps.apple.com/us/app/ocare-body-composition-app/id1508430987,8,"Mar 29, 2022","Apr 24, 2020"
"O'Coach
            4+",199.8 MB,4+,"English, French, Romanian",Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,User Content,Identifiers,Diagnostics",https://apps.apple.com/us/app/ocoach/id1532740794,11,"Sep 11, 2021","Sep 28, 2020"
"O'DIDE
            17+",10.9 MB,"17+

              Infrequent/Mild Medical/Treatment Information
Frequent/Intense Alcohol, Tobacco, or Drug Use or References",French,Free,N/A,N/A,N/A,"Health & Fitness,Identifiers,Usage Data,Sensitive Info",https://apps.apple.com/us/app/odide/id1569346160,2,"Feb 23, 2022","Oct 19, 2021"
"O'Dive
            4+",33.2 MB,4+,English,Free,N/A,5.0,1 Rating,"Health & Fitness,Location,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/odive/id1534593720,15,"Jun 13, 2022","Oct 20, 2020"
"O's NLF
            12+",58.6 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Arabic, Czech, Danish, Dutch, Finnish, French, German, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Persian, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Traditional Chinese, Turkish, Vietnamese


        more",Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,User Content,Identifiers,Usage Data,Sensitive Info,Diagnostics",https://apps.apple.com/us/app/os-nlf/id1590088147,1,N/A,N/A
"O'TOP
            17+",240.9 MB,"17+

              Unrestricted Web Access","English, Arabic, Bulgarian, Catalan, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Icelandic, Italian, Japanese, Korean, Norwegian Bokmål, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish


        more",Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,User Content,Identifiers,Usage Data,Sensitive Info,Browsing History,Diagnostics",https://apps.apple.com/us/app/otop/id1532766248,4,"Nov 3, 2021","Oct 6, 2020"
"O-Care Aqua Tool
            4+",82.4 MB,4+,,Free,N/A,4.0,4 Ratings,N/A,https://apps.apple.com/us/app/o-care-aqua-tool/id1086053786,21,"Jan 6, 2021","Mar 17, 2016"
"O-Fit
            4+",42.4 MB,4+,English,Free,N/A,N/A,N/A,"Contact Info,User Content",https://apps.apple.com/us/app/o-fit/id1471501389,11,"Feb 15, 2022","Dec 7, 2019"
"O-Ringen Play
            4+",23.8 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o-ringen-play/id967916898,10,"Jun 12, 2019","Jul 9, 2015"
"O-Studio
            4+",46.4 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,N/A,N/A,"Purchases,Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/o-studio/id1483845071,5,"Dec 22, 2021","Oct 17, 2019"
"O.A.R.S.
            17+",93.6 MB,"17+

              Frequent/Intense Medical/Treatment Information
Frequent/Intense Alcohol, Tobacco, or Drug Use or References",English,Free,N/A,5.0,3 Ratings,N/A,https://apps.apple.com/us/app/o-a-r-s/id1372956173,25,"Aug 12, 2020","Jun 22, 2018"
"O.A.R.S.C.M.
            17+",17.4 MB,"17+

              Infrequent/Mild Mature/Suggestive Themes
Frequent/Intense Alcohol, Tobacco, or Drug Use or References
Frequent/Intense Medical/Treatment Information",English,Free,N/A,3.7,3 Ratings,N/A,https://apps.apple.com/us/app/o-a-r-s-c-m/id1475146819,18,"Jul 22, 2021","Nov 15, 2019"
"O.P. DentalCheck
            4+",9.1 MB,4+,"English, Italian",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o-p-dentalcheck/id1494482673,11,"Nov 11, 2020","Jan 11, 2020"
"O.R.S Hydration Calculator - Japan
            4+",14.4 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o-r-s-hydration-calculator-japan/id1215576908,1,"Mar 18, 2017","Mar 18, 2017"
"O.R.S. Hydration Calculator
            17+",14.2 MB,"17+

              Unrestricted Web Access",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o-r-s-hydration-calculator/id1092077898,4,"Aug 30, 2018","Mar 18, 2016"
"O.TIMER - Office TIMER(通用版)
            4+",39.1 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o-timer-office-timer-%E9%80%9A%E7%94%A8%E7%89%88/id1248744668,3,"Sep 24, 2017","Jun 20, 2017"
"O1-275 2017
            12+",896.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information
Infrequent/Mild Sexual Content and Nudity","English, Simplified Chinese, Traditional Chinese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o1-275-2017/id1199675183,8,"Aug 21, 2019","Jan 28, 2017"
"O1-275 ME
            12+",1.8 GB,"12+

              Infrequent/Mild Sexual Content and Nudity
Infrequent/Mild Medical/Treatment Information","English, Japanese, Simplified Chinese, Traditional Chinese",Free,N/A,3.0,2 Ratings,N/A,https://apps.apple.com/us/app/o1-275-me/id1233647522,19,"Nov 12, 2021","May 24, 2017"
"O1-275 Pro
            12+",1.1 GB,"12+

              Infrequent/Mild Medical/Treatment Information
Infrequent/Mild Sexual Content and Nudity","English, Simplified Chinese, Traditional Chinese",Free,N/A,N/A,N/A,"Health & Fitness,Location,Contact Info,User Content,Identifiers,Usage Data,Sensitive Info,Diagnostics",https://apps.apple.com/us/app/o1-275-pro/id1103147174,9,"Jun 13, 2019","May 24, 2016"
"O1-275-6FI
            12+",2.7 GB,"12+

              Infrequent/Mild Medical/Treatment Information
Infrequent/Mild Sexual Content and Nudity","English, Japanese, Simplified Chinese, Traditional Chinese",Free,N/A,2.7,3 Ratings,"Health & Fitness,Location,Contact Info,User Content,Identifiers,Usage Data,Sensitive Info,Diagnostics",https://apps.apple.com/us/app/o1-275-6fi/id1453197538,12,"Dec 22, 2020","May 17, 2019"
"O2 - Breathing exercises
            4+",1.3 MB,4+,English,Free,True,5.0,1 Rating,Purchases,https://apps.apple.com/us/app/o2-breathing-exercises/id1528904471,3,"Dec 15, 2020","Sep 20, 2020"
"O2 - Focused Breathing
            4+",62.9 MB,4+,"English, French, Spanish",$2.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o2-focused-breathing/id1579188231,2,"Dec 23, 2021","Aug 12, 2021"
"O2 Active AUS
            4+",46.5 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,N/A,N/A,"Purchases,Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/o2-active-aus/id1159803313,4,"Jun 9, 2022","Sep 30, 2016"
"O2 Aspen Studio Spa
            4+",76.1 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o2-aspen-studio-spa/id1050039969,6,"Mar 28, 2018","Oct 22, 2015"
"O2 BAR Baroque
            4+",44.8 MB,4+,"English, Japanese, Korean, Simplified Chinese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o2-bar-baroque/id1572232657,1,N/A,N/A
"O2 Care - SpO2 HRV Biofeedback
            12+",41.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Traditional Chinese",Free,True,2.8,46 Ratings,"Health & Fitness,Contact Info,Usage Data,Diagnostics",https://apps.apple.com/us/app/o2-care-spo2-hrv-biofeedback/id1406652200,25,"Jun 8, 2021","Jan 30, 2019"
"O2 Corre
            12+",47.6 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o2-corre/id1509964372,5,"Dec 15, 2020","Nov 24, 2020"
"O2 Corre Planilhas
            4+",55.2 MB,4+,"English, Portuguese, Spanish",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o2-corre-planilhas/id1501201701,1,N/A,N/A
"O2 Home Fit
            12+",70.5 MB,"12+

              Infrequent/Mild Sexual Content and Nudity","English, Dutch, French, German, Italian, Portuguese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o2-home-fit/id1577389527,1,N/A,N/A
"O2 SKIN - Trị mụn chuẩn y khoa
            12+",97.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o2-skin-tr%E1%BB%8B-m%E1%BB%A5n-chu%E1%BA%A9n-y-khoa/id1567144619,8,"Mar 30, 2022","Aug 19, 2021"
"O2 SOS
            12+",60.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o2-sos/id1439373110,7,"Nov 22, 2021","Nov 22, 2018"
"O2 Spa
            4+",18.4 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o2-spa/id951672478,3,"Feb 8, 2016","Dec 29, 2014"
"O2 Universal
            4+",30.7 MB,4+,"English, Macedonian",Free,N/A,N/A,N/A,"Contact Info,Contact Info,User Content",https://apps.apple.com/us/app/o2-universal/id1326736602,2,"Feb 7, 2021","Dec 18, 2017"
"O2Fit - Diet & Calorie Counter
            4+",63.2 MB,4+,English,Free,N/A,4.4,29 Ratings,N/A,https://apps.apple.com/us/app/o2fit-diet-calorie-counter/id1556681170,2,"Apr 11, 2021","Mar 16, 2021"
"O2Insight pro
            17+",22.1 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Simplified Chinese",Free,N/A,1.9,26 Ratings,N/A,https://apps.apple.com/us/app/o2insight-pro/id1491464821?mt=12,8,"Jan 10, 2022","Apr 9, 2020"
"O2score
            12+",35.3 MB,"12+

              Infrequent/Mild Realistic Violence",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o2score/id962285470,11,"Sep 29, 2017","Apr 30, 2015"
"O7 Therapy
            17+",165.7 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Arabic",Free,N/A,4.8,6 Ratings,"Contact Info,Diagnostics",https://apps.apple.com/us/app/o7-therapy/id1519413295,24,"May 11, 2022","Jun 27, 2020"
"O9 Fitness
            12+",75.5 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,User Content,Identifiers,Usage Data,Sensitive Info,Diagnostics",https://apps.apple.com/us/app/o9-fitness/id1577950718,7,"May 29, 2022","Jul 24, 2021"
"O:RIN
            4+",55.9 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,N/A,N/A,"Purchases,Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/o-rin/id1475496714,6,"May 11, 2021","Aug 6, 2019"
"O:SLEEP
            4+",139.4 MB,4+,Japanese,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o-sleep/id1332693014,25,"Feb 27, 2020","Nov 21, 2018"
"OA Speakers Free
            12+",100.9 MB,"12+

              Infrequent/Mild Mature/Suggestive Themes
Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",English,Free,True,4.5,2 Ratings,N/A,https://apps.apple.com/us/app/oa-speakers-free/id975401450,1,"Apr 6, 2015","Apr 6, 2015"
"OA Studio TW - 街舞課程預約系統
            17+",38.1 MB,"17+

              Unrestricted Web Access","English, Traditional Chinese",Free,N/A,N/A,N/A,"Contact Info,Identifiers,Diagnostics",https://apps.apple.com/us/app/oa-studio-tw-%E8%A1%97%E8%88%9E%E8%AA%B2%E7%A8%8B%E9%A0%90%E7%B4%84%E7%B3%BB%E7%B5%B1/id1565310752,3,"Apr 6, 2022","May 25, 2021"
"OAGuide
            17+",12.1 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,5.0,2 Ratings,Diagnostics,https://apps.apple.com/us/app/oaguide/id1557475765,1,N/A,N/A
"Oahu Açai Bar
            4+",23.5 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/oahu-a%C3%A7ai-bar/id1529473443,12,"Jan 12, 2022","Oct 30, 2020"
