App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"P is for Pace
            4+",843.8 KB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/p-is-for-pace/id909933819,4,"May 2, 2020","Aug 28, 2014"
"P&Y
            4+",57.9 MB,4+,"English, Italian, Russian, Ukrainian",Free,N/A,N/A,N/A,"Usage Data,Diagnostics",https://apps.apple.com/us/app/p-y/id1531526876,7,"Apr 26, 2022","Sep 18, 2020"
"P-Check
            12+",61.6 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, French, Russian, Spanish, Zulu",Free,N/A,N/A,N/A,"Contact Info,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/p-check/id1579690504,6,"May 20, 2022","Aug 17, 2021"
"P-Cog+
            17+",17.1 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,True,N/A,N/A,N/A,https://apps.apple.com/us/app/p-cog/id1475476473,7,"Jun 7, 2021","Aug 11, 2019"
"P-gum
            4+",24.6 MB,4+,English,Free,N/A,5.0,2 Ratings,"Health & Fitness,Contact Info,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/p-gum/id1561578677,7,"Oct 15, 2021","Jul 1, 2021"
"P-Predict
            4+",1.6 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/p-predict/id1556272763,3,"Apr 24, 2021","Apr 14, 2021"
"P. A. Sem
            4+",98.1 MB,4+,English,Free,N/A,N/A,N/A,Contact Info,https://apps.apple.com/us/app/p-a-sem/id1523394932,4,"May 16, 2021","Jul 15, 2020"
"P.A.S.E. Factor
            4+",136.5 MB,4+,"English, Dutch, French, German, Italian, Portuguese",Free,N/A,5.0,5 Ratings,N/A,https://apps.apple.com/us/app/p-a-s-e-factor/id1556121128,1,N/A,N/A
"P.D. Workout-Free Ab Fitness For Weight Loss
            4+",67.3 MB,4+,"English, Simplified Chinese",Free,N/A,1.7,3 Ratings,N/A,https://apps.apple.com/us/app/p-d-workout-free-ab-fitness-for-weight-loss/id1191721862,2,"Apr 1, 2017","Jan 19, 2017"
"P.E. Dept
            4+",90.1 MB,4+,"English, Bulgarian, Dutch, Estonian, German, Hungarian, Italian, Latvian, Lithuanian, Norwegian Bokmål, Norwegian Nynorsk, Polish, Portuguese, Romanian, Russian, Spanish, Swedish, Thai, Ukrainian


        more",Free,N/A,N/A,N/A,"Health & Fitness,Financial Info,Contact Info,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/p-e-dept/id1486776178,21,"May 26, 2022","Nov 7, 2019"
"P.NUTS Fitness Moosburg
            4+",44.6 MB,4+,English,Free,N/A,N/A,N/A,"Financial Info,Contact Info,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/p-nuts-fitness-moosburg/id1548900119,17,"May 20, 2022","Feb 4, 2021"
"P.O.P. Care
            17+",23.9 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,3.0,4 Ratings,N/A,https://apps.apple.com/us/app/p-o-p-care/id1266822741,4,"Jan 19, 2019","Mar 5, 2018"
"P.volve
            4+",45.9 MB,4+,English,Free,True,3.2,156 Ratings,"Financial Info,Contact Info,Diagnostics",https://apps.apple.com/us/app/p-volve/id1429328712,22,"May 4, 2022","Aug 22, 2018"
"P/VOT Studio
            4+",12.2 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/p-vot-studio/id1541116588,1,N/A,N/A
"P10 Fitness
            4+",69.6 MB,4+,English,Free,N/A,5.0,1 Rating,"Health & Fitness,Location,Contact Info,User Content,Identifiers,Diagnostics,Usage Data",https://apps.apple.com/us/app/p10-fitness/id1563775718,1,N/A,N/A
"P247
            4+",36.2 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/p247/id1554663036,1,N/A,N/A
