App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"Q Academy Brisbane
            4+",46.7 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,N/A,N/A,"Purchases,Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/q-academy-brisbane/id1113005510,12,"Dec 23, 2021","May 13, 2016"
"Q Academy Gold Coast
            4+",46.7 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,N/A,N/A,"Purchases,Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/q-academy-gold-coast/id1188910796,8,"Dec 18, 2021","Dec 22, 2016"
"Q Academy Sunshine Coast
            4+",46.7 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,N/A,N/A,"Purchases,Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/q-academy-sunshine-coast/id1190407831,9,"Dec 23, 2021","Dec 29, 2016"
"Q FORMA MOBILE
            4+",80.2 MB,4+,"English, Basque, Catalan, French, Galician, German, Italian, Portuguese, Spanish",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/q-forma-mobile/id1182041165,13,"Nov 13, 2018","Jan 6, 2017"
"Q Gym & Spa
            4+",20.2 MB,4+,"English, Dutch, French, German, Italian, Portuguese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/q-gym-spa/id1534132162,5,"Dec 1, 2021","Oct 1, 2020"
"Q Health Report
            4+",2.3 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/q-health-report/id1468640641,1,N/A,N/A
"Q Tools
            4+",26.3 MB,4+,English,Free,N/A,5.0,12 Ratings,Usage Data,https://apps.apple.com/us/app/q-tools/id1528782040,5,"Jul 6, 2021","Aug 25, 2020"
"Q Tools Premium
            4+",26.4 MB,4+,English,$4.99,N/A,5.0,1 Rating,Usage Data,https://apps.apple.com/us/app/q-tools-premium/id1526702062,4,"Jul 6, 2021","Aug 26, 2020"
"Q-ecg
            12+",18.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Traditional Chinese",Free,N/A,N/A,N/A,"Diagnostics,Diagnostics",https://apps.apple.com/us/app/q-ecg/id1445631866,12,"Apr 7, 2021","Apr 21, 2020"
"Q-life Medicals
            12+",59.4 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/q-life-medicals/id1529840151,1,N/A,N/A
"Q-Mental APP
            12+",56.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information",,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/q-mental-app/id1562248417,9,"Mar 22, 2022","Apr 16, 2021"
"Q-Padel
            17+",22.4 MB,"17+

              Unrestricted Web Access","English, Catalan, Dutch, French, German, Italian, Portuguese, Spanish",Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/q-padel/id1504450194,12,"Jul 14, 2021","Mar 25, 2020"
"Q.Bee
            17+",46.3 MB,"17+

              Frequent/Intense Sexual Content or Nudity",English,Free,True,5.0,1 Rating,"Contact Info,Identifiers,Contact Info,Identifiers,Diagnostics",https://apps.apple.com/us/app/q-bee/id1553475934,4,"Sep 27, 2021","Mar 3, 2021"
"Q2go
            4+",51.7 MB,4+,,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/q2go/id1534289162,4,"Nov 3, 2020","Oct 23, 2020"
"Q365 CPT
            4+",9.3 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/q365-cpt/id1533388808,1,N/A,N/A
"Q365: Daily Journal
            4+",39.4 MB,4+,"English, Czech",Free,True,3.2,27 Ratings,"Contact Info,Usage Data,Diagnostics",https://apps.apple.com/us/app/q365-daily-journal/id1491301431,11,"Dec 30, 2020","Jan 29, 2020"
"Q48 Oficial
            4+",46.5 MB,4+,"English, Portuguese",Free,True,3.1,17 Ratings,"Purchases,Contact Info,User Content,Usage Data,Diagnostics",https://apps.apple.com/us/app/q48-oficial/id1016159435,25,"Dec 16, 2021","Jan 25, 2016"
"Q53 PLUS KI Diagnostik
            17+",19.5 MB,"17+

              Frequent/Intense Medical/Treatment Information
Unrestricted Web Access",English,Free,N/A,N/A,N/A,Health & Fitness,https://apps.apple.com/us/app/q53-plus-ki-diagnostik/id1320586920,24,"Aug 14, 2021","Apr 17, 2018"
"Q61 Studio
            4+",36.7 MB,4+,"English, Finnish, German",Free,N/A,N/A,N/A,"Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/q61-studio/id1231497492,9,"Aug 5, 2021","May 8, 2017"
"Q7 Sport Smartwatch
            4+",106.1 MB,4+,"English, Simplified Chinese",Free,N/A,2.8,200 Ratings,N/A,https://apps.apple.com/us/app/q7-sport-smartwatch/id1450240288,12,"Mar 9, 2020","Feb 17, 2019"
"Q7 Wearables
            4+",123.4 MB,4+,"English, Arabic, Bulgarian, Czech, Danish, Dutch, Finnish, French, German, Hindi, Indonesian, Italian, Japanese, Korean, Norwegian Bokmål, Pashto, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Ukrainian, Vietnamese


        more",Free,N/A,2.9,485 Ratings,Diagnostics,https://apps.apple.com/us/app/q7-wearables/id1492843473,4,"May 21, 2022","Mar 7, 2020"
"Q8SportFinder
            4+",41.7 MB,4+,English,Free,N/A,4.0,1 Rating,N/A,https://apps.apple.com/us/app/q8sportfinder/id1462973997,6,"Mar 30, 2022","Nov 13, 2019"
"Q: Waxing Check-in
            4+",30 MB,4+,English,Free,N/A,2.0,3 Ratings,"Contact Info,Diagnostics",https://apps.apple.com/us/app/q-waxing-check-in/id1260505459,25,"May 10, 2022","Nov 21, 2017"
"QActual
            12+",74.6 MB,"12+

              Infrequent/Mild Medical/Treatment Information",,Free,N/A,N/A,N/A,"Location,Contact Info,User Content,Identifiers,Usage Data,Diagnostics,Health & Fitness",https://apps.apple.com/us/app/qactual/id1543398626,7,"Apr 18, 2021","Jan 5, 2021"
"QActual 2.0
            12+",24 MB,"12+

              Infrequent/Mild Medical/Treatment Information
Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",English,Free,True,N/A,N/A,"Health & Fitness,Location,Contact Info,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/qactual-2-0/id1563908764,14,"Jun 10, 2022","Apr 26, 2021"
"Qadsia
            17+",44.6 MB,"17+

              Infrequent/Mild Mature/Suggestive Themes
Unrestricted Web Access","English, Arabic, French, German, Italian, Romanian, Spanish, Turkish",Free,N/A,4.8,45 Ratings,"Usage Data,Diagnostics",https://apps.apple.com/us/app/qadsia/id1519750583,7,"May 10, 2021","Jul 7, 2020"
"QardioDirect
            4+",92.3 MB,4+,"English, Italian, Spanish",Free,N/A,3.4,5 Ratings,"Contact Info,Usage Data,Diagnostics",https://apps.apple.com/us/app/qardiodirect/id1107952397,25,"May 25, 2022","Jan 2, 2019"
"Qare - Consultez un médecin
            4+",66.7 MB,4+,"English, French",Free,N/A,4.9,135 Ratings,"Identifiers,Identifiers",https://apps.apple.com/us/app/qare-consultez-un-m%C3%A9decin/id1233743123,25,"May 31, 2022","May 3, 2021"
"Qatar Plastic Surgeon Dr Hamad
            17+",60.9 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Arabic",Free,N/A,5.0,2 Ratings,"Usage Data,Diagnostics",https://apps.apple.com/us/app/qatar-plastic-surgeon-dr-hamad/id1176638451,5,"Mar 27, 2021","Nov 22, 2016"
"Qater - Watch your drink 2021
            4+",45.6 MB,4+,English,Free,True,5.0,1 Rating,"Diagnostics,Diagnostics",https://apps.apple.com/us/app/qater-watch-your-drink-2021/id1553623275,10,"Nov 5, 2021","Feb 14, 2021"
"QBee Bike
            4+",40.3 MB,4+,English,Free,N/A,N/A,N/A,"Contact Info,Contact Info,User Content",https://apps.apple.com/us/app/qbee-bike/id1516985548,17,"Oct 18, 2021","Aug 15, 2020"
"QBO
            4+",136.2 MB,4+,Italian,Free,N/A,5.0,1 Rating,"Contact Info,Diagnostics",https://apps.apple.com/us/app/qbo/id1131752833,5,"Aug 8, 2021","Jul 10, 2016"
"QcCloudApp
            4+",32.5 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/qccloudapp/id1545613752,5,"Aug 5, 2021","Dec 20, 2020"
"QCPR Training
            12+",110.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, French, German, Japanese, Korean, Simplified Chinese, Spanish",Free,N/A,3.0,22 Ratings,"Location,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/qcpr-training/id1042221580,25,"Nov 30, 2021","Dec 4, 2018"
