App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"R & R
            4+",102.2 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/r-r/id1532790339,1,N/A,N/A
"R de Beaute
            4+",4.1 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/r-de-beaute/id1024521695,4,"Aug 13, 2020","Sep 17, 2015"
"R Fitness
            4+",28.7 MB,4+,English,Free,N/A,3.7,3 Ratings,N/A,https://apps.apple.com/us/app/r-fitness/id1483883811,4,"Jun 24, 2020","Jan 23, 2020"
"R I T U A L Yoga & Pilates
            4+",45.3 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,N/A,N/A,"Purchases,Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/r-i-t-u-a-l-yoga-pilates/id1497792266,5,"Dec 21, 2021","Feb 4, 2020"
"Barbearia Resenha
            4+",15.4 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/barbearia-resenha/id1459457022,5,"Feb 23, 2022","Apr 19, 2019"
"R Plus Health
            17+",122.2 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Simplified Chinese, Spanish, Traditional Chinese",Free,N/A,5.0,4 Ratings,"Health & Fitness,Contact Info,User Content,Identifiers,Usage Data,Diagnostics,Diagnostics",https://apps.apple.com/us/app/r-plus-health/id1489440337,25,"Jun 10, 2022","Jan 22, 2021"
"R Space
            4+",28.4 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/r-space/id1510981905,2,"Mar 15, 2022","May 1, 2020"
"R Studios
            4+",21.9 MB,4+,English,Free,N/A,5.0,2 Ratings,"Usage Data,Financial Info,Location,Contact Info,Usage Data,Diagnostics",https://apps.apple.com/us/app/r-studios/id1571185002,5,"Aug 10, 2021","Jul 14, 2021"
"R TV
            4+",12.1 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/r-tv/id1555994922,1,N/A,N/A
"R U Suicidal?
            4+",46.5 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/r-u-suicidal/id592320411,2,"Feb 14, 2018","May 6, 2013"
"R&R Hair Co
            4+",31.6 MB,4+,"English, Finnish, German",Free,N/A,N/A,N/A,"Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/r-r-hair-co/id1412694320,5,"Aug 15, 2021","Jul 16, 2018"
"R+F Business Presentation
            4+",56.7 MB,4+,English,Free,N/A,4.3,8 Ratings,N/A,https://apps.apple.com/us/app/r-f-business-presentation/id675160861,17,"Oct 6, 2017","Aug 9, 2013"
"R+H UV 400
            4+",543.6 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/r-h-uv-400/id1459460956,7,"May 9, 2019","Apr 18, 2019"
"R-Athletics
            4+",47.2 MB,4+,English,Free,N/A,5.0,2 Ratings,N/A,https://apps.apple.com/us/app/r-athletics/id1495881193,25,"Jun 6, 2022","Apr 29, 2021"
"R Bikes
            4+",51.8 MB,4+,"Basque, Catalan, Dutch, French, German, Italian, Simplified Chinese, Spanish",Free,N/A,N/A,N/A,"Location,Contact Info,Usage Data,Location,Contact Info,Usage Data",https://apps.apple.com/us/app/r-bikes/id1260617538,10,"Mar 4, 2021","Aug 15, 2017"
"R-body
            4+",145 MB,4+,"English, Japanese",Free,N/A,N/A,N/A,"Identifiers,Contact Info,User Content,Diagnostics",https://apps.apple.com/us/app/r-body/id1548236733,2,"Dec 17, 2021","Apr 15, 2021"
"R-EVOLUT hair
            4+",628.7 KB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/r-evolut-hair/id1070109575,2,"Dec 2, 2019","Jan 22, 2016"
"R-EVOLUT 松戸
            4+",4.3 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/r-evolut-%E6%9D%BE%E6%88%B8/id1070109989,2,"Jul 8, 2020","Jan 22, 2016"
"R-navi
            4+",55.7 MB,4+,"English, Japanese",Free,True,4.7,260 Ratings,"Location,User Content,Search History,Usage Data,Diagnostics",https://apps.apple.com/us/app/r-navi/id1107467189,25,"Apr 8, 2022","Aug 2, 2018"
"R-PUR Pollution and Pollen
            4+",190.5 MB,4+,"English, French",Free,N/A,4.0,12 Ratings,"Contact Info,Location,Contact Info,Usage Data,Diagnostics",https://apps.apple.com/us/app/r-pur-pollution-and-pollen/id1376029688,25,"May 8, 2022","Oct 9, 2020"
"R-SIM
            4+",29.9 MB,4+,English,$4.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/r-sim/id1227420866,11,"Dec 6, 2019","May 3, 2017"
"R-SIM Premium
            4+",25.1 MB,4+,English,Free,N/A,3.0,2 Ratings,N/A,https://apps.apple.com/us/app/r-sim-premium/id1265823798,5,"Dec 5, 2019","Aug 4, 2017"
"R-Sport
            17+",73.6 MB,"17+

              Infrequent/Mild Alcohol, Tobacco, or Drug Use or References
Frequent/Intense Sexual Content or Nudity
Infrequent/Mild Profanity or Crude Humor
Infrequent/Mild Cartoon or Fantasy Violence
Infrequent/Mild Mature/Suggestive Themes",Simplified Chinese,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/r-sport/id1527542903,13,"Mar 28, 2021","Aug 20, 2020"
"R-Timer
            4+",32.8 MB,4+,"English, Japanese",$0.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/r-timer/id955756843,14,"Mar 15, 2022","Jan 10, 2015"
"R. Fitness
            12+",76.1 MB,"12+

              Infrequent/Mild Mature/Suggestive Themes
Infrequent/Mild Sexual Content and Nudity",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/r-fitness/id1455629412,1,N/A,N/A
"R.A.B. Intervals Timer
            4+",47.7 MB,4+,English,Free,True,N/A,N/A,"Identifiers,Location,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/r-a-b-intervals-timer/id1456220476,8,"May 9, 2021","Apr 19, 2019"
"R.A.L.F
            4+",39.5 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/r-a-l-f/id1265117690,7,"Oct 10, 2019","Jul 31, 2017"
"R.Canoe NC
            17+",88.4 MB,"17+

              Unrestricted Web Access",Spanish,Free,N/A,N/A,N/A,Health & Fitness,https://apps.apple.com/us/app/r-canoe-nc/id1500583845,21,"May 20, 2022","Feb 26, 2020"
"REACH Fitness and Nutrition
            4+",64.4 MB,4+,English,Free,True,5.0,11 Ratings,"Health & Fitness,Contact Info,User Content,Identifiers,Diagnostics",https://apps.apple.com/us/app/reach-fitness-and-nutrition/id1553025454,12,"Jun 2, 2022","Jun 20, 2021"
"R.FITNESS
            4+",81.5 MB,4+,"English, Bulgarian, Dutch, Estonian, German, Hungarian, Italian, Latvian, Lithuanian, Norwegian Bokmål, Norwegian Nynorsk, Polish, Portuguese, Romanian, Russian, Spanish, Swedish, Thai, Ukrainian


        more",Free,N/A,N/A,N/A,"Health & Fitness,Financial Info,Contact Info,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/r-fitness/id1586596324,9,"May 26, 2022","Sep 24, 2021"
