App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"S & J Fitness and Kickboxing
            4+",89.2 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/s-j-fitness-and-kickboxing/id1183657507,5,"Aug 10, 2018","Dec 9, 2016"
"S P Fitness Club
            4+",121 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/s-p-fitness-club/id1569972782,2,"Jun 22, 2021","Jun 10, 2021"
"S Reformer Pilates
            4+",78.7 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/s-reformer-pilates/id1489744828,4,"Apr 1, 2020","Nov 29, 2019"
"S workout
            4+",51.4 MB,4+,English,Free,True,N/A,N/A,N/A,https://apps.apple.com/us/app/s-workout/id1585508455,8,"May 14, 2022","Nov 3, 2021"
"S&P GmbH
            12+",146.7 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Czech, Dutch, French, German, Greek, Italian, Latvian, Lithuanian, Norwegian Bokmål, Polish, Portuguese, Russian, Spanish, Turkish


        more",Free,N/A,N/A,N/A,"Health & Fitness,Location,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/s-p-gmbh/id1584991322,3,"Dec 11, 2021","Sep 14, 2021"
"S&S Health
            17+",50.1 MB,"17+

              Frequent/Intense Medical/Treatment Information",,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/s-s-health/id1564769049,1,N/A,N/A
"S&S Healthcare
            4+",33.8 MB,4+,English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/s-s-healthcare/id1257105758,12,"Aug 25, 2020","Aug 3, 2017"
"S&S | Do Yourself a Favor
            4+",47.4 MB,4+,"English, Arabic, Azerbaijani, Catalan, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hungarian, Indonesian, Italian, Japanese, Korean, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Traditional Chinese, Turkish


        more",Free,N/A,1.9,21 Ratings,N/A,https://apps.apple.com/us/app/s-s-do-yourself-a-favor/id1436752201,3,"Dec 9, 2019","Sep 22, 2018"
"S'more Paths
            4+",26.3 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/smore-paths/id663050257,2,"Jul 5, 2018","Jul 3, 2013"
"S+ by ResMed
            4+",110 MB,4+,English,Free,N/A,2.0,107 Ratings,N/A,https://apps.apple.com/us/app/s-by-resmed/id883611019,14,"Jan 31, 2017","Jun 19, 2014"
"S, Z, & S Blends
            4+",77.7 MB,"4+, Made for Ages 6–8",English,$2.99,N/A,1.0,2 Ratings,N/A,https://apps.apple.com/us/app/s-z-s-blends/id931589236,8,"Feb 5, 2021","Oct 30, 2014"
"S-Cape +
            4+",55.8 MB,4+,English,Free,N/A,2.2,6 Ratings,N/A,https://apps.apple.com/us/app/s-cape/id1194206705,1,"Mar 20, 2017","Mar 20, 2017"
"S-CHAIN
            4+",37.4 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/s-chain/id1177380138,6,"Jan 12, 2021","Jan 2, 2017"
"S-CLASS
            4+",57.8 MB,4+,"English, Italian, Russian, Ukrainian",Free,N/A,N/A,N/A,"Usage Data,Diagnostics",https://apps.apple.com/us/app/s-class/id1552274227,7,"Apr 26, 2022","Feb 10, 2021"
"S-GYM
            17+",23.9 MB,"17+

              Unrestricted Web Access","English, Japanese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/s-gym/id1485351206,3,"Jul 8, 2020","Nov 1, 2019"
"S-Hearing
            4+",97.6 MB,4+,"English, Simplified Chinese",Free,True,4.5,2 Ratings,N/A,https://apps.apple.com/us/app/s-hearing/id1081495861,10,"May 23, 2019","Feb 19, 2016"
"S-live运动
            12+",77.4 MB,"12+

              Infrequent/Mild Profanity or Crude Humor
Infrequent/Mild Mature/Suggestive Themes
Infrequent/Mild Sexual Content and Nudity","English, Simplified Chinese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/s-live%E8%BF%90%E5%8A%A8/id1450069532,11,"Jun 13, 2022","Feb 20, 2019"
"S-Matic 2.0
            4+",32.4 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/s-matic-2-0/id1577313258,3,"Jun 14, 2022","Aug 17, 2021"
