App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"T Form Pilates
            4+",45.1 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,N/A,N/A,"Purchases,Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/t-form-pilates/id1257845895,5,"May 19, 2022","Jul 11, 2017"
"T Rex Gotta Hunt
            12+",61.9 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/t-rex-gotta-hunt/id1451856587,2,"Apr 10, 2019","Feb 8, 2019"
"T TIME&Co.
            4+",24.9 MB,4+,"English, Japanese, Korean, Simplified Chinese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/t-time-co/id1517751056,1,N/A,N/A
"T&N White Noise
            4+",142.6 MB,4+,,Free,N/A,4.8,40 Ratings,N/A,https://apps.apple.com/us/app/t-n-white-noise/id1567449832,3,"Dec 31, 2021","Jul 7, 2021"
"T-Box Fit
            4+",88.5 MB,4+,English,Free,True,N/A,N/A,"Location,Contact Info,User Content,Identifiers,Usage Data",https://apps.apple.com/us/app/t-box-fit/id1563177766,12,"Apr 28, 2022","Jun 16, 2021"
"T-Cosmetic
            12+",15.4 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/t-cosmetic/id1481046954,2,"Oct 28, 2019","Oct 23, 2019"
"T-Gang
            4+",1.1 MB,4+,English,$1.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/t-gang/id1576055968,1,N/A,N/A
"T-Line Fitness
            4+",14.8 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/t-line-fitness/id1567574928,1,N/A,N/A
"T-Mask
            12+",2.4 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,$1.99,N/A,1.0,1 Rating,N/A,https://apps.apple.com/us/app/t-mask/id1437813802,2,"Dec 4, 2020","Apr 23, 2020"
"T-Minus - Tinnitus Wellness
            12+",84.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information
Infrequent/Mild Alcohol, Tobacco, or Drug Use or References","English, Spanish",Free,True,4.0,130 Ratings,"Purchases,Financial Info,Identifiers,Usage Data,Purchases,Financial Info,Location,User Content,Search History,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/t-minus-tinnitus-wellness/id1471887415,21,"Mar 11, 2022","Jan 16, 2020"
"T-omnicare
            4+",16.9 MB,4+,"English, Simplified Chinese",Free,N/A,1.0,1 Rating,N/A,https://apps.apple.com/us/app/t-omnicare/id805554491,8,"Mar 21, 2016","Feb 22, 2014"
"T-SoX
            4+",104.1 MB,4+,,Free,N/A,N/A,N/A,"Health & Fitness,User Content,Usage Data,Diagnostics",https://apps.apple.com/us/app/t-sox/id1551591004,5,"May 30, 2022","May 21, 2021"
"T-Training Center
            4+",32.6 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/t-training-center/id1275255144,1,"Aug 25, 2017","Aug 25, 2017"
"T.A.C.T.
            12+",23.8 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,True,3.7,3 Ratings,N/A,https://apps.apple.com/us/app/t-a-c-t/id849194153,6,"Apr 20, 2019","Apr 3, 2014"
"T.Barnerat Academy
            12+",73.6 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,"Health & Fitness,Financial Info,Contact Info,User Content",https://apps.apple.com/us/app/t-barnerat-academy/id1506217606,3,"Apr 26, 2021","Feb 17, 2021"
"T.C. Porto Torres
            4+",88.7 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/t-c-porto-torres/id1502602934,1,N/A,N/A
"Eclipse Meditations
            4+",39.5 MB,4+,English,Free,True,5.0,21 Ratings,Contact Info,https://apps.apple.com/us/app/eclipse-meditations/id1569660437,16,"Jun 9, 2022","Jun 2, 2021"
"T.Hair
            4+",14.7 MB,4+,"English, French, Portuguese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/t-hair/id1270268925,15,"Feb 15, 2022","Aug 17, 2017"
"T.I.M. This Is Me
            4+",42.1 MB,4+,English,Free,True,5.0,1 Rating,"Contact Info,Identifiers,Purchases,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/t-i-m-this-is-me/id1574671050,5,"Jun 16, 2022","Aug 17, 2021"
"T.I.N.A.
            4+",183.5 MB,4+,English,Free,N/A,N/A,N/A,Usage Data,https://apps.apple.com/us/app/t-i-n-a/id1406594327,2,"May 17, 2022","Sep 6, 2018"
"T.ONBAND
            4+",22 MB,4+,English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/t-onband/id1303171194,8,"Jun 4, 2019","Nov 15, 2017"
"T.P.K
            4+",25.8 MB,4+,"English, Japanese, Korean, Simplified Chinese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/t-p-k/id1486341554,1,N/A,N/A
"T.R.A.C.
            4+",15.7 MB,4+,English,Free,N/A,1.0,1 Rating,N/A,https://apps.apple.com/us/app/t-r-a-c/id1011232830,10,"Jul 5, 2016","Jan 26, 2016"
"T.T.Score
            4+",8 MB,4+,"English, Japanese",Free,N/A,3.0,2 Ratings,N/A,https://apps.apple.com/us/app/t-t-score/id1473950681,2,"Aug 17, 2021","Jul 24, 2019"
"T1D Trial
            17+",85.6 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Afrikaans, Arabic, Belarusian, Bulgarian, Croatian, Czech, Danish, Dutch, Estonian, Finnish, French, Georgian, German, Greek, Hebrew, Hindi, Hungarian, Italian, Japanese, Korean, Latvian, Malay, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Serbian, Setswana, Simplified Chinese, Slovak, Slovenian, Spanish, Swedish, Traditional Chinese, Turkish, Ukrainian, Vietnamese, Xhosa, Zulu


        more",Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/t1d-trial/id1540940479,2,"May 10, 2021","Jan 22, 2021"
"T2 by ChaiCORE
            12+",44.7 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/t2-by-chaicore/id1456641357,2,"Jan 13, 2020","Oct 26, 2019"
"T2 Iso-Trainer
            4+",21.3 MB,4+,English,Free,True,5.0,1 Rating,N/A,https://apps.apple.com/us/app/t2-iso-trainer/id1516451394,4,"Nov 4, 2021","Sep 3, 2020"
"T23
            4+",18.6 MB,4+,English,Free,N/A,5.0,1 Rating,"Contact Info,Diagnostics",https://apps.apple.com/us/app/t23/id1447419599,3,"Oct 8, 2021","Mar 1, 2019"
"T2C-国货之光
            12+",33.6 MB,"12+

              Infrequent/Mild Profanity or Crude Humor
Infrequent/Mild Medical/Treatment Information
Infrequent/Mild Cartoon or Fantasy Violence","English, Catalan, French, German, Italian, Polish, Portuguese, Simplified Chinese, Spanish",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/t2c-%E5%9B%BD%E8%B4%A7%E4%B9%8B%E5%85%89/id1445500490,18,"Sep 13, 2021","Dec 11, 2018"
"Bezzy T2D
            17+",52.9 MB,"17+

              Infrequent/Mild Alcohol, Tobacco, or Drug Use or References
Frequent/Intense Medical/Treatment Information
Frequent/Intense Mature/Suggestive Themes",English,Free,N/A,4.7,939 Ratings,"Contact Info,Identifiers,Usage Data,Health & Fitness,Location,Contact Info,User Content,Search History,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/bezzy-t2d/id1498858311,25,"Apr 26, 2022","Mar 30, 2020"
"T2FIT
            4+",43.9 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,N/A,N/A,"Purchases,Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/t2fit/id1555518578,3,"Dec 25, 2021","Feb 25, 2021"
"T2Logger
            4+",5.1 MB,4+,"English, Japanese, Simplified Chinese",Free,N/A,N/A,N/A,"Location,Identifiers,Usage Data,Diagnostics,Location,Identifiers,Usage Data,Diagnostics,User Content,Diagnostics",https://apps.apple.com/us/app/t2logger/id1548231736,4,"Apr 3, 2022","Feb 7, 2021"
"T2LoggerLight
            4+",4.9 MB,4+,"English, Japanese, Simplified Chinese",Free,N/A,N/A,N/A,"Location,Identifiers,Usage Data,Diagnostics,Location,Identifiers,Usage Data,Diagnostics,User Content,Diagnostics",https://apps.apple.com/us/app/t2loggerlight/id1553048061,4,"Mar 16, 2022","Feb 11, 2021"
"T2S TUCK SHOP
            4+",17.8 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/t2s-tuck-shop/id1112522845,1,"May 17, 2016","May 17, 2016"
"T3 Body
            4+",165.1 MB,4+,English,Free,N/A,5.0,9 Ratings,"Health & Fitness,Contact Info,Contacts,User Content,Identifiers,Usage Data,Sensitive Info,Diagnostics",https://apps.apple.com/us/app/t3-body/id1567468931,12,"May 29, 2022","May 19, 2021"
