App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"V Band
            17+",18.8 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Arabic, Bulgarian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Italian, Japanese, Korean, Persian, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese


        more",Free,N/A,3.0,60 Ratings,N/A,https://apps.apple.com/us/app/v-band/id1489271130,25,"May 17, 2022","Dec 13, 2019"
"V Fitness
            4+",109.4 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/v-fitness/id1557104147,1,N/A,N/A
"V Hair Design
            4+",32.3 MB,4+,"English, Finnish, German",Free,N/A,N/A,N/A,"Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/v-hair-design/id1439435894,4,"Aug 23, 2021","Oct 18, 2018"
"V Jump Rope
            4+",20 MB,4+,"English, Simplified Chinese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/v-jump-rope/id1014422125,2,"Jul 15, 2017","Jul 13, 2015"
"V on Pharma Care : Health Care
            12+",35.4 MB,"12+

              Infrequent/Mild Alcohol, Tobacco, or Drug Use or References
Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,"Financial Info,Location,Contact Info,Identifiers,Diagnostics,Other Data",https://apps.apple.com/us/app/v-on-pharma-care-health-care/id1550764464,3,"Jun 15, 2021","Feb 8, 2021"
"V Resonator™
            4+",31.5 MB,4+,English,Free,True,5.0,3 Ratings,N/A,https://apps.apple.com/us/app/v-resonator/id1486221851,12,"Sep 15, 2020","Jan 7, 2020"
"V Shred Stickers
            4+",3 MB,4+,English,Free,N/A,4.0,4 Ratings,N/A,https://apps.apple.com/us/app/v-shred-stickers/id1470539942,2,"Sep 4, 2020","Jul 5, 2019"
"V Shred: Nutrition & Fitness
            4+",33.5 MB,4+,English,Free,True,4.7,51.9K Ratings,"Contact Info,Identifiers,Usage Data,Health & Fitness,Contact Info,User Content,Identifiers,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/v-shred-nutrition-fitness/id1442111093,25,"Jun 1, 2022","May 11, 2021"
"V!GO Pro
            4+",92.9 MB,4+,English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/v-go-pro/id1480037453,1,N/A,N/A
"V-APP
            4+",32 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/v-app/id1486279395,2,"Nov 13, 2019","Nov 10, 2019"
"V-CAF Desktop
            12+",34.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/v-caf-desktop/id1497957473?mt=12,1,N/A,N/A
"V-CAF Stay Awake Stay Alert
            12+",332.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, French, German, Hindi, Italian, Japanese, Simplified Chinese, Spanish",Free,True,2.3,6 Ratings,N/A,https://apps.apple.com/us/app/v-caf-stay-awake-stay-alert/id1463897528,25,"Mar 20, 2022","Nov 25, 2019"
"V-Meter News
            4+",27.2 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/v-meter-news/id1521246738,1,N/A,N/A
"V-Notes
            4+",8.4 MB,4+,"English, Japanese",$7.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/v-notes/id972883502,17,"Feb 12, 2022","May 8, 2015"
"V-Phys
            4+",12.9 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/v-phys/id1570427945,1,N/A,N/A
"V-Run Tracker
            4+",70.2 MB,4+,,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/v-run-tracker/id1529937577,1,N/A,N/A
"V-RUN Trackingapp
            4+",81.6 MB,4+,English,Free,True,N/A,N/A,Location,https://apps.apple.com/us/app/v-run-trackingapp/id1538121974,21,"Mar 6, 2022","Nov 11, 2020"
"V-Watch
            4+",51.8 MB,4+,,Free,N/A,5.0,1 Rating,"Identifiers,Diagnostics",https://apps.apple.com/us/app/v-watch/id1488756819,5,"Jan 14, 2022","Dec 12, 2019"
"V.I.A
            4+",8.4 MB,4+,English,Free,N/A,5.0,2 Ratings,N/A,https://apps.apple.com/us/app/v-i-a/id1496549037,3,"Dec 13, 2020","Aug 28, 2020"
"V1 Beauty Salon Parlour Barber
            4+",50.8 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/v1-beauty-salon-parlour-barber/id1583916748,6,"Dec 5, 2021","Sep 15, 2021"
"V1 Coach: Teach Golf w/ Stats
            4+",76.8 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/v1-coach-teach-golf-w-stats/id1500320885,8,"Sep 18, 2020","Apr 9, 2020"
"V18 Golf Member
            4+",68.8 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/v18-golf-member/id1538688292,5,"Jun 1, 2022","Nov 16, 2020"
"V2MD Provider
            12+",35.6 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,5.0,2 Ratings,"Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/v2md-provider/id1191485942,25,"May 22, 2022","Apr 17, 2019"
"V2Saúde OPME
            4+",17.6 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/v2sa%C3%BAde-opme/id1457236829,25,"Apr 23, 2022","Sep 25, 2020"
"VA Health Chat
            4+",39.4 MB,4+,English,Free,N/A,2.6,27 Ratings,N/A,https://apps.apple.com/us/app/va-health-chat/id1462670949,6,"May 17, 2021","Aug 28, 2019"
"VA mPRO
            4+",35.7 MB,4+,English,Free,N/A,5.0,2 Ratings,"Health & Fitness,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/va-mpro/id1489233319,3,"Oct 6, 2021","Dec 17, 2019"
"VA Pharmacy - Daya Medicals
            17+",161.3 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Spanish",Free,N/A,N/A,N/A,"Location,Identifiers,Diagnostics",https://apps.apple.com/us/app/va-pharmacy-daya-medicals/id1532845147,7,"Sep 27, 2021","Mar 26, 2021"
"VA PUR
            17+",179.6 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/va-pur/id1080699543,3,"Dec 2, 2020","Apr 3, 2017"
"VA Salon London
            4+",38 MB,4+,"English, Finnish, German",Free,N/A,N/A,N/A,"Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/va-salon-london/id1520187294,4,"Aug 13, 2021","Jun 25, 2020"
"VA Scan
            17+",64.1 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/va-scan/id1468520364,8,"Nov 8, 2021","Feb 20, 2020"
