App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"W CLINIC
            4+",3.8 MB,4+,"English, Japanese",Free,N/A,N/A,N/A,Contact Info,https://apps.apple.com/us/app/w-clinic/id897326283,23,"Jan 31, 2022","Jul 18, 2014"
"W Fit
            12+",22.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Arabic, French, German, Greek, Italian, Japanese, Korean, Persian, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Turkish


        more",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/w-fit/id1525980690,1,N/A,N/A
"W GYM CAFE SPA
            4+",43.6 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,N/A,N/A,"Purchases,Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/w-gym-cafe-spa/id1496232284,3,"Dec 16, 2021","Jan 25, 2020"
"W la salute
            4+",98.1 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/w-la-salute/id1440468305,1,N/A,N/A
"W Network
            4+",10.9 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/w-network/id1001387109,3,"Oct 7, 2015","Jun 27, 2015"
"WXS ONE
            4+",66 MB,4+,English,Free,N/A,N/A,N/A,"Contact Info,Health & Fitness,Contact Info,User Content",https://apps.apple.com/us/app/wxs-one/id1504432053,16,"Jun 4, 2022","Jul 2, 2020"
"W&H BeHear
            4+",56 MB,4+,"English, French, German, Hebrew, Japanese, Korean, Simplified Chinese, Spanish, Traditional Chinese",Free,N/A,3.7,3 Ratings,N/A,https://apps.apple.com/us/app/w-h-behear/id1281452252,25,"Jun 16, 2022","Jan 30, 2019"
"W+F Münster
            4+",27.9 MB,4+,"English, Czech, Finnish, French, German, Italian, Japanese, Korean, Norwegian Bokmål, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Vietnamese


        more",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/w-f-m%C3%BCnster/id1541208963,1,N/A,N/A
"W-APP
            12+",53.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Dutch, French, German, Italian, Portuguese",Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,Sensitive Info,Contact Info",https://apps.apple.com/us/app/w-app/id1261325939,25,"May 3, 2021","Jun 1, 2019"
"W-FPS
            4+",125.8 MB,4+,"English, Greek, Italian, Polish, Russian, Spanish",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/w-fps/id1530000332,2,"Sep 18, 2020","Sep 12, 2020"
