App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"Y Break
            17+",59.9 MB,"17+

              Unrestricted Web Access",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/y-break/id1555002781,5,"Aug 26, 2021","Mar 22, 2021"
"Y bạ thông minh
            4+",64.1 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/y-b%E1%BA%A1-th%C3%B4ng-minh/id1490965553,4,"Jul 8, 2020","Dec 22, 2019"
"Y bạ điện tử Doctor Anywhere
            17+",14.8 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Vietnamese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/y-b%E1%BA%A1-%C4%91i%E1%BB%87n-t%E1%BB%AD-doctor-anywhere/id1561224547,1,N/A,N/A
"Y bạ điện tử PTSC
            17+",22 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Vietnamese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/y-b%E1%BA%A1-%C4%91i%E1%BB%87n-t%E1%BB%AD-ptsc/id1551908352,3,"Mar 21, 2021","Feb 3, 2021"
"Y Dược Info: Sức khỏe cho mọi nhà
            12+",7.7 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, French, Vietnamese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/y-d%C6%B0%E1%BB%A3c-info-s%E1%BB%A9c-kh%E1%BB%8Fe-cho-m%E1%BB%8Di-nh%C3%A0/id967124748,1,"Nov 16, 2015","Nov 16, 2015"
"Y of Greater Saint John
            4+",40.4 MB,4+,"English, Afrikaans, Albanian, Arabic, Bengali, Dutch, Filipino, French, German, Hebrew, Hindi, Hungarian, Italian, Japanese, Korean, Laotian, Malay, Marathi, Nepali, Persian, Polish, Portuguese, Punjabi, Russian, Samoan, Simplified Chinese, Slovak, Somali, Spanish, Swahili, Tamil, Telugu, Thai, Turkish, Urdu, Vietnamese, Zulu


        more",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/y-of-greater-saint-john/id1230560492,11,"Jun 25, 2020","Apr 27, 2017"
"Y Tế HCM
            17+",39.8 MB,17+,English,Free,N/A,1.8,19 Ratings,N/A,https://apps.apple.com/us/app/y-t%E1%BA%BF-hcm/id1569139817,25,"Dec 13, 2021","Jun 28, 2021"
"Y tế Điện tử
            12+",14.8 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/y-t%E1%BA%BF-%C4%91i%E1%BB%87n-t%E1%BB%AD/id1438845081,5,"Aug 13, 2019","Oct 16, 2018"
"Y&M
            4+",18.7 MB,4+,"English, Arabic",Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/y-m/id1471299400,4,"Aug 3, 2020","Jul 5, 2019"
"Y'A Quoi Dedans
            4+",61.1 MB,4+,French,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/ya-quoi-dedans/id1391001466,3,"Nov 29, 2018","Aug 30, 2018"
"Y'u Bubble
            17+",36 MB,"17+

              Unrestricted Web Access","English, Spanish",Free,True,N/A,N/A,Contact Info,https://apps.apple.com/us/app/yu-bubble/id1066021912,25,"Aug 13, 2021","Mar 16, 2016"
"Y-Evolution
            17+",77.4 MB,"17+

              Unrestricted Web Access
Infrequent/Mild Medical/Treatment Information
Infrequent/Mild Mature/Suggestive Themes",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/y-evolution/id1489261809,1,N/A,N/A
"Y-MVP Fitness Challenge: Powered by NYC’s YMCA
            4+",20.1 MB,4+,English,Free,N/A,1.0,2 Ratings,N/A,https://apps.apple.com/us/app/y-mvp-fitness-challenge-powered-by-nycs-ymca/id1026102748,3,"May 25, 2016","Feb 16, 2016"
"Y-Watch
            4+",131.9 MB,4+,"English, Arabic, Bulgarian, Czech, Danish, Dutch, Finnish, French, German, Hindi, Indonesian, Italian, Japanese, Korean, Norwegian Bokmål, Pashto, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese


        more",Free,N/A,N/A,N/A,Diagnostics,https://apps.apple.com/us/app/y-watch/id1561766071,3,"Mar 30, 2022","Apr 14, 2021"
"Y2 Yoga
            4+",44.4 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,3.4,5 Ratings,"Purchases,Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/y2-yoga/id632211301,16,"Dec 21, 2021","Apr 10, 2013"
"Y7 Studio
            4+",48.2 MB,4+,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese


        more",Free,N/A,4.0,11 Ratings,"Purchases,Financial Info,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/y7-studio/id809133268,22,"Jul 15, 2021","Jan 30, 2014"
"Ya Doctory
            17+",17.4 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Arabic",Free,N/A,4.5,2 Ratings,N/A,https://apps.apple.com/us/app/ya-doctory/id1212953799,11,"Aug 15, 2019","Mar 10, 2017"
"YA-MAN App
            4+",277.1 MB,4+,Japanese,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/ya-man-app/id1573702932,7,"Mar 3, 2022","Oct 14, 2021"
"YA_YA
            4+",1.8 MB,4+,English,Free,N/A,3.7,6 Ratings,N/A,https://apps.apple.com/us/app/ya-ya/id820723653,4,"Jan 6, 2015","Mar 27, 2014"
