App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"A&D Connect
            12+",44.7 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Dutch, French, German, Italian, Japanese, Portuguese, Russian, Simplified Chinese, Spanish",Free,N/A,1.8,84 Ratings,"Health & Fitness,Contact Info,Identifiers,Sensitive Info,Identifiers,Diagnostics",https://apps.apple.com/us/app/a-d-connect/id894522766,25,"Apr 6, 2022","Oct 20, 2015"
"A&D Heart Track Diary
            12+",82.7 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,"Health & Fitness,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/a-d-heart-track-diary/id1539530261,2,"Aug 6, 2021","Nov 19, 2020"
"A&D Heart Track
            12+",122.9 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,4.6,227 Ratings,"Health & Fitness,Contact Info,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/a-d-heart-track/id1499948195,7,"Jun 7, 2022","May 1, 2020"
"A&P Subscription
            12+",1.8 GB,"12+

              Infrequent/Mild Mature/Suggestive Themes
Infrequent/Mild Sexual Content and Nudity",English,Free,N/A,4.3,6 Ratings,N/A,https://apps.apple.com/us/app/a-p-subscription/id908349439,8,"Jul 9, 2019","Sep 17, 2014"
"A-dec Dental Angles of Access
            4+",62.6 MB,4+,English,Free,N/A,5.0,3 Ratings,N/A,https://apps.apple.com/us/app/a-dec-dental-angles-of-access/id1499775614,5,"Aug 16, 2021","Feb 20, 2020"
"A-OK Wellness
            4+",21.8 MB,4+,English,Free,N/A,5.0,4 Ratings,N/A,https://apps.apple.com/us/app/a-ok-wellness/id1452364048,12,"Nov 9, 2019","Feb 12, 2019"
"A-OXIMETER
            4+",2.1 MB,4+,"English, French, German, Simplified Chinese, Spanish",Free,N/A,1.9,25 Ratings,N/A,https://apps.apple.com/us/app/a-oximeter/id1413714434,5,"Jan 17, 2019","Jul 20, 2018"
"A-Z Medical Provider
            4+",49 MB,4+,English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/a-z-medical-provider/id1452894177,2,"Jun 1, 2019","Feb 14, 2019"
"A-Z Medical Services
            4+",34.7 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/a-z-medical-services/id1452872744,3,"Jun 1, 2019","Feb 14, 2019"
"A.C.Camargo MR
            17+",38.5 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,User Content,Diagnostics",https://apps.apple.com/us/app/a-c-camargo-mr/id1548833986,13,"Apr 26, 2022","Jan 16, 2021"
"A.I.M
            4+",9.8 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/a-i-m/id1451338187,2,"Dec 10, 2019","May 28, 2019"
"A.M.A. Seguros
            4+",23.8 MB,4+,English,Free,N/A,N/A,N/A,"Contact Info,Identifiers,Location,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/a-m-a-seguros/id977311726,25,"Feb 1, 2022","Sep 3, 2015"
