App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"B C INTEGRATIVE MEDICINE
            4+",24.3 MB,4+,English,Free,N/A,5.0,2 Ratings,N/A,https://apps.apple.com/us/app/b-c-integrative-medicine/id1521600749,22,"May 31, 2022","Jul 8, 2020"
"B Smart Med
            17+",13.9 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/b-smart-med/id1507421816,6,"Mar 10, 2021","Apr 30, 2020"
"B Sure Patient App
            4+",117.9 MB,4+,"English, Afrikaans, Arabic, Bulgarian, Czech, Danish, Dutch, French, Georgian, German, Greek, Gujarati, Hebrew, Hindi, Hungarian, Italian, Japanese, Kannada, Korean, Latvian, Lithuanian, Malay, Malayalam, Marathi, Oriya, Polish, Portuguese, Punjabi, Romanian, Russian, Serbian, Sesotho, Simplified Chinese, Slovak, Spanish, Swedish, Tagalog, Tamil, Telugu, Thai, Traditional Chinese, Turkish, Ukrainian, Zulu


        more",Free,N/A,N/A,N/A,"Contact Info,Health & Fitness,User Content,Identifiers,Diagnostics",https://apps.apple.com/us/app/b-sure-patient-app/id1568775056,2,"Mar 17, 2022","Aug 20, 2021"
"B Sure Site App
            4+",95.4 MB,4+,"English, Bulgarian, Czech, Danish, Dutch, French, German, Hungarian, Italian, Japanese, Korean, Lithuanian, Malay, Polish, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Tagalog, Thai, Traditional Chinese, Turkish, Ukrainian


        more",Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,User Content,Identifiers,Diagnostics",https://apps.apple.com/us/app/b-sure-site-app/id1569185928,2,"Mar 30, 2022","Aug 20, 2021"
"B-Assist
            4+",14 MB,4+,English,Free,N/A,2.0,4 Ratings,N/A,https://apps.apple.com/us/app/b-assist/id1070622471,22,"May 31, 2022","Jan 9, 2016"
"B-Capture
            12+",84.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information
Infrequent/Mild Mature/Suggestive Themes",,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/b-capture/id1519157102,3,"Jul 31, 2020","Jul 9, 2020"
"B-Donor
            4+",47 MB,4+,English,Free,N/A,3.0,2 Ratings,N/A,https://apps.apple.com/us/app/b-donor/id1240112300,9,"Feb 10, 2022","Jul 26, 2017"
"B-Healthy
            12+",149.9 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Thai",Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,Identifiers",https://apps.apple.com/us/app/b-healthy/id1576297758,11,"May 9, 2022","Oct 18, 2021"
"B-LINE CLINIC
            12+",9.5 MB,"12+

              Infrequent/Mild Medical/Treatment Information",Japanese,Free,N/A,N/A,N/A,Contact Info,https://apps.apple.com/us/app/b-line-clinic/id1492667799,2,"Dec 2, 2020","Dec 27, 2019"
"B-neXt CARE
            17+",168.7 MB,"17+

              Infrequent/Mild Alcohol, Tobacco, or Drug Use or References
Frequent/Intense Medical/Treatment Information","English, Arabic, French, German, Portuguese, Simplified Chinese",Free,N/A,1.0,1 Rating,"Health & Fitness,Contact Info,Sensitive Info,Diagnostics",https://apps.apple.com/us/app/b-next-care/id1454490414,6,"Jan 30, 2022","Jun 25, 2019"
"B. Braun Vet Care
            17+",12.8 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, German",Free,N/A,N/A,N/A,Diagnostics,https://apps.apple.com/us/app/b-braun-vet-care/id1134890514,9,"Jan 25, 2022","Jul 21, 2016"
"B.C MEDGRO
            4+",49.3 MB,4+,"English, Dutch, French, German, Italian, Portuguese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/b-c-medgro/id1557105432,1,N/A,N/A
"B.O.L.T
            12+",32.8 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, German, Hindi, Japanese, Tamil",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/b-o-l-t/id918116876,25,"Nov 23, 2020","Dec 30, 2014"
"B12 Deficiency
            4+",12.3 MB,4+,English,$4.99,N/A,3.2,6 Ratings,N/A,https://apps.apple.com/us/app/b12-deficiency/id859078895,6,"Mar 23, 2022","Sep 11, 2014"
"B17
            12+",6.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,4.0,1 Rating,N/A,https://apps.apple.com/us/app/b17/id1294866340,1,"Jul 9, 2018","Jul 9, 2018"
"Baalo Ka Gharelu Ilaj & Upay - Ayurvedic Hair Tips
            12+",13.6 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,$0.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/baalo-ka-gharelu-ilaj-upay-ayurvedic-hair-tips/id1170372071,3,"Jun 3, 2017","Oct 31, 2016"
"BABBLE NZ Neonatal Family App
            12+",28.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,"Diagnostics,Identifiers,Diagnostics",https://apps.apple.com/us/app/babble-nz-neonatal-family-app/id1091698082,13,"Jun 8, 2021","Apr 26, 2016"
"Babelli Schwangerschafts-App
            12+",66.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information",German,Free,N/A,5.0,1 Rating,"Contact Info,User Content,Identifiers,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/babelli-schwangerschafts-app/id1528289185,15,"Jun 3, 2022","Oct 1, 2020"
"Babio - Baby Activity Tracker & Reminder, Simplified
            4+",4.6 MB,4+,English,Free,N/A,4.5,703 Ratings,N/A,https://apps.apple.com/us/app/babio-baby-activity-tracker-reminder-simplified/id976742756,2,"Sep 1, 2015","May 12, 2015"
