App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"C Card App
            17+",26.2 MB,"17+

              Frequent/Intense Mature/Suggestive Themes
Frequent/Intense Sexual Content or Nudity
Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/c-card-app/id1519608458,1,N/A,N/A
"H&C健康+
            4+",8.6 MB,4+,English,Free,N/A,N/A,N/A,"Contact Info,User Content",https://apps.apple.com/us/app/h-c%E5%81%A5%E5%BA%B7/id1579012657,2,"Dec 23, 2021","Aug 23, 2021"
"C-Brace® Setup
            4+",87.6 MB,4+,"English, Dutch, French, German, Italian, Japanese, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Turkish


        more",Free,N/A,3.0,2 Ratings,"User Content,Diagnostics",https://apps.apple.com/us/app/c-brace-setup/id1443748938,3,"Sep 28, 2021","Feb 11, 2019"
"C-TOS Call ECG
            12+",70.9 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/c-tos-call-ecg/id1437999818,8,"Dec 22, 2021","Nov 7, 2018"
"C. O. Bigelow Chemists
            12+",111.7 MB,"12+

              Infrequent/Mild Medical/Treatment Information",,Free,N/A,4.3,6 Ratings,"Contact Info,Identifiers,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/c-o-bigelow-chemists/id1271484204,12,"May 9, 2022","Aug 15, 2017"
"C.A.L.C.I.T. Valdarno
            4+",67.5 MB,4+,Italian,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/c-a-l-c-i-t-valdarno/id1544084052,3,"Jun 10, 2021","May 3, 2021"
"C.A.T.S.
            4+",4.1 MB,4+,English,Free,N/A,2.3,3 Ratings,N/A,https://apps.apple.com/us/app/c-a-t-s/id916201146,5,"Feb 24, 2020","Dec 1, 2014"
"C.diff Risk Challenge
            4+",29.8 MB,4+,English,Free,N/A,5.0,3 Ratings,N/A,https://apps.apple.com/us/app/c-diff-risk-challenge/id1263161938,2,"Oct 1, 2017","Aug 15, 2017"
"C19Attest
            4+",68.1 MB,4+,"English, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Simplified Chinese, Spanish, Swedish


        more",$1.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/c19attest/id1536498731,1,N/A,N/A
"C1DO1
            17+",67.3 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,"Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/c1do1/id1477623946,16,"Oct 30, 2021","Sep 1, 2019"
"C3
            4+",5.8 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/c3/id1499495951,9,"Nov 6, 2021","Feb 19, 2020"
"C3 Pass
            4+",25.5 MB,4+,English,Free,N/A,N/A,N/A,Contact Info,https://apps.apple.com/us/app/c3-pass/id1572003481,1,N/A,N/A
"C3 Wave™
            17+",47.8 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/c3-wave/id929564632,8,"Sep 8, 2020","May 30, 2015"
"C4C App
            17+",30.9 MB,"17+

              Frequent/Intense Mature/Suggestive Themes
Frequent/Intense Alcohol, Tobacco, or Drug Use or References
Frequent/Intense Medical/Treatment Information",English,Free,N/A,5.0,3 Ratings,"Purchases,Contact Info,Search History,Identifiers,Usage Data,Diagnostics,Location,Contacts",https://apps.apple.com/us/app/c4c-app/id1486081003,10,"Jun 1, 2022","Feb 27, 2021"
"C4HSecure
            4+",28.8 MB,4+,English,Free,N/A,2.3,3 Ratings,"Contact Info,User Content,Identifiers",https://apps.apple.com/us/app/c4hsecure/id1497828978,25,"Apr 13, 2022","Feb 6, 2020"
"C4MH
            12+",5.8 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,5.0,4 Ratings,N/A,https://apps.apple.com/us/app/c4mh/id545068357,22,"Jun 28, 2018","Aug 8, 2012"
"C4N EBR
            4+",22.5 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/c4n-ebr/id1269976691,5,"Aug 26, 2020","Aug 18, 2017"
