App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"D&H Drugstore
            12+",111 MB,"12+

              Infrequent/Mild Medical/Treatment Information",,Free,N/A,5.0,1 Rating,"Contact Info,Identifiers,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/d-h-drugstore/id1256134428,8,"May 9, 2022","Jul 7, 2017"
"D&W Pharmacy
            12+",13.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,1.9,9 Ratings,N/A,https://apps.apple.com/us/app/d-w-pharmacy/id1132305238,3,"Jan 21, 2022","Jul 9, 2016"
"D'AM
            4+",61.6 MB,4+,"English, Dutch, French, German, Italian, Portuguese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/dam/id1571904330,2,"Jan 7, 2022","Oct 16, 2021"
"D'Or
            17+",53.6 MB,"17+

              Frequent/Intense Medical/Treatment Information",Portuguese,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/dor/id1291540991,9,"Apr 11, 2020","Jan 24, 2018"
"D-ARIANNA
            17+",1.8 MB,"17+

              Frequent/Intense Alcohol, Tobacco, or Drug Use or References",Italian,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/d-arianna/id1536556262,1,N/A,N/A
"D-Brief
            4+",27.1 MB,4+,English,Free,N/A,N/A,N/A,"Contact Info,User Content,Identifiers",https://apps.apple.com/us/app/d-brief/id1557592799,2,"May 19, 2021","Apr 18, 2021"
"D-CUBE (リンケージ) - オンライン健康支援アプリ
            12+",52.8 MB,"12+

              Infrequent/Mild Medical/Treatment Information
Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",Japanese,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/d-cube-%E3%83%AA%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B8-%E3%82%AA%E3%83%B3%E3%83%A9%E3%82%A4%E3%83%B3%E5%81%A5%E5%BA%B7%E6%94%AF%E6%8F%B4%E3%82%A2%E3%83%97%E3%83%AA/id1210269932,7,"Apr 1, 2018","Mar 26, 2017"
"D-CUBE(New) - オンライン面談アプリ
            17+",56.5 MB,"17+

              Frequent/Intense Alcohol, Tobacco, or Drug Use or References
Frequent/Intense Medical/Treatment Information","English, Japanese",Free,N/A,N/A,N/A,"Health & Fitness,User Content",https://apps.apple.com/us/app/d-cube-new-%E3%82%AA%E3%83%B3%E3%83%A9%E3%82%A4%E3%83%B3%E9%9D%A2%E8%AB%87%E3%82%A2%E3%83%97%E3%83%AA/id1384359246,14,"Jul 13, 2021","Sep 13, 2018"
"D-Cure
            17+",13.4 MB,"17+

              Frequent/Intense Medical/Treatment Information
Unrestricted Web Access",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/d-cure/id1463812991,14,"Apr 11, 2022","Sep 5, 2019"
"D-HH Virtual
            17+",107.2 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Arabic, Burmese, Cambodian, Danish, Dutch, Estonian, Filipino, Finnish, French, German, Hebrew, Hindi, Indonesian, Italian, Japanese, Korean, Laotian, Malay, Norwegian Bokmål, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Vietnamese


        more",Free,N/A,3.5,12 Ratings,"Health & Fitness,Financial Info,Contact Info,Location,Contact Info",https://apps.apple.com/us/app/d-hh-virtual/id1541892082,4,"Mar 29, 2022","Dec 8, 2020"
