App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"E Numbers - Food Additives and Ingredients Association
            12+",49.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, French, German, Norwegian Bokmål, Russian, Spanish, Swedish",Free,True,N/A,N/A,N/A,https://apps.apple.com/us/app/e-numbers-food-additives-and-ingredients-association/id1114801919,1,"Jun 15, 2016","Jun 15, 2016"
"E-AMECHO
            4+",21.8 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/e-amecho/id1545608240,1,N/A,N/A
"E-Atestados
            17+",13.9 MB,"17+

              Unrestricted Web Access",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/e-atestados/id1163099127,1,"Oct 12, 2016","Oct 12, 2016"
"E-books CRM-PR
            17+",5.2 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/e-books-crm-pr/id1481621279,2,"Jun 11, 2020","Oct 2, 2019"
"E-BRAIN
            4+",5.9 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/e-brain/id1465166483,1,N/A,N/A
"E-burn
            17+",76.5 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/e-burn/id1116173536,1,"May 30, 2016","May 30, 2016"
"E-burn Premium
            4+",119.7 MB,4+,English,$1.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/e-burn-premium/id1544785818,1,N/A,N/A
"E-Calman
            4+",4 MB,4+,"English, French",Free,N/A,N/A,N/A,"Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/e-calman/id1463408599,2,"Dec 14, 2020","Dec 8, 2020"
"E-Card Takaful Keluarga
            4+",61.3 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/e-card-takaful-keluarga/id1527089869,10,"Jul 13, 2021","Aug 11, 2020"
"E-CheckIn
            4+",2.1 MB,4+,English,Free,N/A,3.0,1 Rating,N/A,https://apps.apple.com/us/app/e-checkin/id1242455603,1,"Jun 10, 2017","Jun 10, 2017"
"E-derma
            17+",5.1 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,Contact Info,https://apps.apple.com/us/app/e-derma/id1143850102,12,"Mar 10, 2021","Aug 16, 2016"
"E-Doctor
            12+",198.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/e-doctor/id1515830557,19,"May 24, 2022","Jun 4, 2020"
"E-Donor Card App from Mohan Foundation
            17+",4.2 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/e-donor-card-app-from-mohan-foundation/id865169236,6,"Sep 17, 2016","May 31, 2014"
"E-Epilepsy Inclusion
            12+",23.6 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Traditional Chinese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/e-epilepsy-inclusion/id1062230452,5,"Apr 17, 2018","Dec 31, 2015"
