App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"F&P myMask
            17+",22.5 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,4.4,18 Ratings,Usage Data,https://apps.apple.com/us/app/f-p-mymask/id1412924312,5,"Jun 1, 2022","Apr 5, 2020"
"F&P ROX Calculator
            12+",16.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/f-p-rox-calculator/id1505641177,3,"Dec 22, 2021","Jun 12, 2020"
"F&P ROX Vector
            17+",51.7 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/f-p-rox-vector/id1512745548,2,"Jun 25, 2020","Jun 23, 2020"
"F-moments
            12+",22.7 MB,"12+

              Infrequent/Mild Medical/Treatment Information",Japanese,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/f-moments/id1250684437,2,"Sep 29, 2017","Jul 31, 2017"
"F-STAC
            4+",66.6 MB,4+,"English, Danish",$79.99,N/A,4.4,5 Ratings,N/A,https://apps.apple.com/us/app/f-stac/id1014974144,13,"Jun 10, 2022","Jul 25, 2016"
"F.A.S.T Stroke Test
            12+",11 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, German",Free,N/A,5.0,4 Ratings,N/A,https://apps.apple.com/us/app/f-a-s-t-stroke-test/id833825993,2,"Sep 20, 2019","Mar 20, 2014"
"F1RSTCode
            17+",6 MB,"17+

              Infrequent/Mild Alcohol, Tobacco, or Drug Use or References
Frequent/Intense Medical/Treatment Information",English,Free,N/A,1.0,1 Rating,N/A,https://apps.apple.com/us/app/f1rstcode/id1241211962,2,"Nov 4, 2020","Jul 24, 2017"
"F2F User
            4+",36.6 MB,4+,"English, Simplified Chinese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/f2f-user/id1192647518,10,"Feb 18, 2021","Jan 9, 2017"
"FA Logbook
            12+",13.8 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,"Contact Info,User Content",https://apps.apple.com/us/app/fa-logbook/id1450279775,3,"May 10, 2021","Feb 27, 2019"
"FA Quiz - Trắc nghiệm Y Khoa
            4+",133.9 MB,4+,English,Free,N/A,5.0,2 Ratings,"User Content,Purchases,Contact Info,Contacts,User Content,Search History,Browsing History,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/fa-quiz-tr%E1%BA%AFc-nghi%E1%BB%87m-y-khoa/id1508005634,21,"Apr 11, 2022","Apr 16, 2020"
"FABRY Disease Calculator
            17+",100.1 MB,"17+

              Unrestricted Web Access
Infrequent/Mild Sexual Content and Nudity",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/fabry-disease-calculator/id1450493479,2,"Mar 4, 2019","Mar 1, 2019"
"Face It! Bell's Palsy-Training
            12+",10.5 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Japanese, Swedish",$12.99,N/A,3.0,2 Ratings,N/A,https://apps.apple.com/us/app/face-it-bells-palsy-training/id658540102,4,"Nov 11, 2017","Jun 12, 2013"
"Face-It
            12+",80 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,User Content,https://apps.apple.com/us/app/face-it/id1547810292,12,"Jul 20, 2021","Jan 29, 2021"
"Face2Face Health
            17+",93.6 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,Contact Info,https://apps.apple.com/us/app/face2face-health/id1421677008,3,"Jul 6, 2021","Jun 23, 2021"
"Face2Face Pro
            4+",44.8 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/face2face-pro/id1456590573,1,N/A,N/A
"Face2Gene
            17+",36.8 MB,"17+

              Unrestricted Web Access
Frequent/Intense Medical/Treatment Information",English,Free,N/A,2.3,47 Ratings,"Contact Info,Identifiers,Sensitive Info,Contacts,User Content,Usage Data",https://apps.apple.com/us/app/face2gene/id533737939,25,"Feb 24, 2022","Mar 22, 2017"
"FACEASiT'clinic
            4+",48.3 MB,4+,"English, French, German, Italian, Portuguese, Spanish",$149.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/faceasitclinic/id523105556,7,"Jun 2, 2020","Nov 14, 2012"
"Faceclinics
            4+",14.8 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/faceclinics/id1491855549,3,"Feb 24, 2022","Dec 19, 2019"
"Facedoct Company
            4+",40.1 MB,4+,"English, Arabic",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/facedoct-company/id1582136874,3,"Mar 27, 2022","Oct 16, 2021"
"FaceFit Custom O2 Pilot Masks
            4+",60.1 MB,4+,English,Free,N/A,4.5,4 Ratings,N/A,https://apps.apple.com/us/app/facefit-custom-o2-pilot-masks/id1470680603,3,"Dec 10, 2019","Jul 26, 2019"
"FaceFormer
            12+",76.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,"User Content,Identifiers,Diagnostics",https://apps.apple.com/us/app/faceformer/id1532251214,6,"Feb 22, 2022","Sep 19, 2020"
"FaceGenius
            12+",238.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,4.6,10 Ratings,"Contact Info,User Content,Identifiers,Location,Identifiers,Diagnostics",https://apps.apple.com/us/app/facegenius/id1454672666,15,"Feb 2, 2022","Feb 12, 2020"
"FaceLift: Workouts & Skin care
            12+",226.5 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,True,4.6,92 Ratings,N/A,https://apps.apple.com/us/app/facelift-workouts-skin-care/id1474525637,11,"Sep 18, 2020","Aug 17, 2019"
"FaceRehab
            12+",217 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Slovak",Free,True,4.0,1 Rating,"Diagnostics,Other Data",https://apps.apple.com/us/app/facerehab/id1548035704,7,"Apr 25, 2022","Aug 24, 2021"
"FaceTalk
            4+",143.6 MB,4+,"English, Dutch",Free,N/A,N/A,N/A,"User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/facetalk/id1178990857,11,"Oct 27, 2021","Feb 28, 2017"
"FaceTouchUp Nose Job Simulator
            17+",27.7 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,True,3.9,616 Ratings,N/A,https://apps.apple.com/us/app/facetouchup-nose-job-simulator/id1058127492,23,"May 29, 2022","Nov 18, 2015"
"Fachwissen Rettungsdienst
            17+",3.2 MB,"17+

              Frequent/Intense Medical/Treatment Information
Infrequent/Mild Mature/Suggestive Themes","English, German",Free,True,N/A,N/A,N/A,https://apps.apple.com/us/app/fachwissen-rettungsdienst/id1037781714,5,"Jun 8, 2020","Sep 25, 2015"
"Facial Fat Grafting
            17+",272.5 MB,"17+

              Infrequent/Mild Sexual Content and Nudity
Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/facial-fat-grafting/id1441827964,4,"Apr 18, 2019","Jan 3, 2019"
"Facial Palsy Therapy
            12+",27.7 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,$6.99,N/A,1.0,1 Rating,N/A,https://apps.apple.com/us/app/facial-palsy-therapy/id1532735391,2,"Sep 24, 2020","Sep 24, 2020"
"Facialclinic
            4+",14.9 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/facialclinic/id1479085813,3,"Feb 23, 2022","Sep 27, 2019"
"FacialGym
            4+",30.3 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/facialgym/id1505895370,4,"Jul 19, 2020","Apr 9, 2020"
"FacialSALONamulet
            4+",30.1 MB,4+,"English, Japanese, Korean, Simplified Chinese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/facialsalonamulet/id1301150000,3,"Nov 18, 2021","Oct 31, 2017"
