App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"G & G Pharmacy
            17+",95.9 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Dutch, French, German, Italian, Portuguese",Free,N/A,5.0,1 Rating,"Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/g-g-pharmacy/id1429350882,3,"Sep 22, 2021","Aug 17, 2018"
"G&S Dental
            4+",5.1 MB,4+,English,Free,True,4.8,12 Ratings,N/A,https://apps.apple.com/us/app/g-s-dental/id1509522189,3,"Nov 2, 2021","Mar 30, 2021"
"G'day Doctor
            4+",72.5 MB,4+,"English, French, German, Indonesian, Kazakh, Russian, Spanish, Ukrainian",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/gday-doctor/id1535769624,10,"Feb 16, 2022","Nov 30, 2020"
"G-code Modifer
            12+",2.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,3.8,9 Ratings,N/A,https://apps.apple.com/us/app/g-code-modifer/id712389249,4,"Sep 11, 2017","Sep 30, 2013"
"G-TECH App
            12+",114 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,2.0,1 Rating,"Health & Fitness,Contact Info,User Content,Identifiers,Diagnostics,Other Data",https://apps.apple.com/us/app/g-tech-app/id1517589657,6,"Dec 29, 2021","Jul 30, 2020"
"G2 Mobile – Digital Dictation
            4+",35.8 MB,4+,English,Free,N/A,N/A,N/A,Diagnostics,https://apps.apple.com/us/app/g2-mobile-digital-dictation/id1231394962,25,"Feb 10, 2022","May 2, 2017"
"G6PD Drug Search
            12+",86.8 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,5.0,3 Ratings,N/A,https://apps.apple.com/us/app/g6pd-drug-search/id1407275580,6,"Apr 12, 2020","Sep 12, 2018"
"G6PD Info2
            4+",6.1 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/g6pd-info2/id1217311492,3,"Nov 23, 2020","Mar 21, 2017"
"GA24CARE
            4+",48.9 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/ga24care/id1539652424,2,"Nov 28, 2020","Nov 11, 2020"
"Gabby
            4+",5.8 MB,4+,"English, French, Spanish",$4.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/gabby/id463676221,23,"Apr 24, 2022","Sep 28, 2011"
"Gabby-dating & health for dogs
            12+",182.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,4.3,6 Ratings,Contact Info,https://apps.apple.com/us/app/gabby-dating-health-for-dogs/id1563408012,17,"Feb 19, 2022","Apr 29, 2021"
"Gabinet drWidget
            17+",38 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Polish",Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/gabinet-drwidget/id1246655774,25,"Jan 21, 2022","Oct 13, 2020"
"GaborPatchGame
            4+",107.4 MB,4+,English,Free,N/A,4.4,11 Ratings,N/A,https://apps.apple.com/us/app/gaborpatchgame/id1480925993,11,"Jan 6, 2022","Sep 26, 2019"
"Gabriel Drugs
            17+",6.7 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/gabriel-drugs/id1502142619,1,N/A,N/A
"GAC myBenefits Mobile
            4+",6.5 MB,4+,English,Free,N/A,5.0,3 Ratings,"Financial Info,Location,Contact Info,User Content,Search History,Identifiers,Usage Data",https://apps.apple.com/us/app/gac-mybenefits-mobile/id1185957038,13,"Dec 17, 2021","Dec 18, 2016"
