App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"H and W Drug Store
            12+",21.5 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Spanish",Free,N/A,4.0,4 Ratings,N/A,https://apps.apple.com/us/app/h-and-w-drug-store/id1528072416,1,N/A,N/A
"H&P-card™
            17+",10.1 MB,"17+

              Unrestricted Web Access
Frequent/Intense Medical/Treatment Information","English, Spanish",$2.99,N/A,1.0,1 Rating,N/A,https://apps.apple.com/us/app/h-p-card/id569711145,5,"Sep 28, 2020","Oct 20, 2012"
"H-Book – osobní zdravotní záznamy
            12+",47.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Czech",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/h-book-osobn%C3%AD-zdravotn%C3%AD-z%C3%A1znamy/id653401818,21,"Jun 28, 2017","Jun 5, 2013"
"H-FACT
            12+",4.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/h-fact/id1568969345,5,"Nov 24, 2021","Jul 5, 2021"
"H-Module
            17+",27.6 MB,"17+

              Frequent/Intense Medical/Treatment Information",,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/h-module/id1572867850,2,"Jun 26, 2021","Jun 22, 2021"
"H.Prime
            17+",74.7 MB,"17+

              Infrequent/Mild Alcohol, Tobacco, or Drug Use or References
Frequent/Intense Medical/Treatment Information",,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/h-prime/id1507902969,17,"Dec 28, 2021","May 18, 2020"
"H.U Infanta Elena
            17+",122.6 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Catalan, Spanish",Free,N/A,N/A,N/A,"Health & Fitness,Location,Contact Info,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/h-u-infanta-elena/id1050103018,25,"Jun 14, 2022","Dec 8, 2020"
"H.U Rey Juan Carlos
            17+",122.9 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Catalan, Spanish",Free,N/A,N/A,N/A,"Health & Fitness,Location,Contact Info,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/h-u-rey-juan-carlos/id1050079598,25,"Jun 14, 2022","Dec 3, 2020"
"H.U. General de Villalba
            17+",122.9 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Catalan, Spanish",Free,N/A,5.0,1 Rating,"Health & Fitness,Location,Contact Info,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/h-u-general-de-villalba/id1050103022,25,"Jun 14, 2022","Oct 29, 2020"
"H120云审方-互联网医院业务软件
            17+",29.2 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Simplified Chinese",Free,N/A,N/A,N/A,"Location,User Content,Search History,Diagnostics",https://apps.apple.com/us/app/h120%E4%BA%91%E5%AE%A1%E6%96%B9-%E4%BA%92%E8%81%94%E7%BD%91%E5%8C%BB%E9%99%A2%E4%B8%9A%E5%8A%A1%E8%BD%AF%E4%BB%B6/id1541264007,2,"May 20, 2021","Mar 13, 2021"
"H24 PSICOLOGO
            17+",17.1 MB,"17+

              Unrestricted Web Access",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/h24-psicologo/id1585320950,1,N/A,N/A
"H247
            17+",89.9 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/h247/id1469410370,25,"Feb 19, 2022","Mar 31, 2020"
"H2H
            17+",83.5 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Simplified Chinese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/h2h/id1488046650,1,N/A,N/A
"H2O Overload: Fluid Control for Heart-Kidney Health
            17+",5.6 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,3.7,3 Ratings,N/A,https://apps.apple.com/us/app/h2o-overload-fluid-control-for-heart-kidney-health/id926707743,4,"Jan 2, 2015","Oct 8, 2014"
"H365
            17+",144.1 MB,"17+

              Frequent/Intense Alcohol, Tobacco, or Drug Use or References
Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,"Health & Fitness,Financial Info,Location,Contact Info,User Content,Identifiers,Sensitive Info,Usage Data",https://apps.apple.com/us/app/h365/id1579364881,3,"Aug 9, 2021","Aug 5, 2021"
"H@H Therapist
            17+",59.1 MB,"17+

              Frequent/Intense Alcohol, Tobacco, or Drug Use or References
Unrestricted Web Access
Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/h-h-therapist/id1553776641,11,"Oct 12, 2021","Feb 24, 2021"
"HA Convention
            4+",38 MB,4+,English,Free,N/A,N/A,N/A,"Usage Data,Diagnostics",https://apps.apple.com/us/app/ha-convention/id1223242138,8,"Apr 16, 2021","Apr 7, 2017"
