App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"I Assist @ Medicover
            4+",36.9 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/i-assist-medicover/id1516575592,11,"Apr 6, 2021","Jun 3, 2020"
"I Care
            4+",22.7 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/i-care/id1256194223,1,"Oct 13, 2017","Oct 13, 2017"
"I Click I Talk - Multi Student
            4+",10 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/i-click-i-talk-multi-student/id429274873,10,"Dec 5, 2017","Apr 6, 2011"
"I Click I Talk Compact
            4+",10 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/i-click-i-talk-compact/id476651116,6,"Dec 3, 2017","Nov 3, 2011"
"I Click I Talk Single Student
            4+",10 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/i-click-i-talk-single-student/id430744999,7,"Dec 5, 2017","Apr 27, 2011"
"I Colori della vita
            12+",18.5 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/i-colori-della-vita/id1453146542,1,N/A,N/A
"I Don't Smoke! - Easy Way To Quit Smoking!
            17+",66.1 MB,"17+

              Infrequent/Mild Horror/Fear Themes
Infrequent/Mild Medical/Treatment Information
Frequent/Intense Alcohol, Tobacco, or Drug Use or References","English, Russian",$0.99,True,1.0,1 Rating,N/A,https://apps.apple.com/us/app/i-dont-smoke-easy-way-to-quit-smoking/id1067122132,2,"Jun 24, 2016","Jun 8, 2016"
"I Hear Like You
            12+",6.4 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Russian",Free,N/A,1.0,2 Ratings,N/A,https://apps.apple.com/us/app/i-hear-like-you/id1087924117,1,"Mar 14, 2016","Mar 14, 2016"
"I Online Doc
            4+",158.6 MB,4+,"English, Arabic",Free,N/A,4.9,7 Ratings,N/A,https://apps.apple.com/us/app/i-online-doc/id1299763701,25,"Apr 9, 2020","Oct 17, 2018"
"I Save Lives Game
            12+",29.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information",Dutch,Free,N/A,N/A,N/A,"User Content,Identifiers",https://apps.apple.com/us/app/i-save-lives-game/id1544959493,15,"Apr 9, 2022","Aug 10, 2021"
"I SEE YOU
            4+",46.6 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/i-see-you/id1525040889,1,N/A,N/A
"I'll explain it to you
            17+",100.5 MB,"17+

              Unrestricted Web Access
Infrequent/Mild Medical/Treatment Information","English, French, Italian, Romanian, Spanish",Free,N/A,N/A,N/A,Identifiers,https://apps.apple.com/us/app/ill-explain-it-to-you/id1533804501,2,"Mar 19, 2022","Oct 21, 2020"
"I'M HOME! ®
            12+",33.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,5.0,6 Ratings,N/A,https://apps.apple.com/us/app/im-home/id762971893,21,"Jun 27, 2020","Dec 26, 2013"
"I'm Ready, Talk
            12+",136.5 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, French, German, Portuguese, Spanish",Free,N/A,N/A,N/A,"Contact Info,User Content,Identifiers,Diagnostics,Usage Data",https://apps.apple.com/us/app/im-ready-talk/id1569705484,4,"May 26, 2022","Jun 2, 2021"
"I've Lost My Voice
            17+",3.9 MB,"17+

              Infrequent/Mild Medical/Treatment Information
Unrestricted Web Access",English,$0.99,True,2.5,22 Ratings,N/A,https://apps.apple.com/us/app/ive-lost-my-voice/id820516926,3,"Oct 29, 2014","Mar 3, 2014"
"I-1069
            4+",12.5 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/i-1069/id1571306376,2,"Jun 23, 2021","Jun 10, 2021"
"I-MED FILM BAG
            17+",92.7 MB,"17+

              Frequent/Intense Medical/Treatment Information",,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/i-med-film-bag/id1336348213,4,"Jul 6, 2020","Mar 28, 2018"
"I-Rehab復健小幫手
            12+",48.8 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/i-rehab%E5%BE%A9%E5%81%A5%E5%B0%8F%E5%B9%AB%E6%89%8B/id1443694478,6,"Sep 9, 2019","Mar 21, 2019"
"I-Risk
            12+",20.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/i-risk/id1481426181,1,N/A,N/A
"I-TECH Life
            17+",112.8 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Italian",Free,N/A,N/A,N/A,"Health & Fitness,Location,Contact Info,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/i-tech-life/id1562228935,7,"Apr 19, 2022","Oct 13, 2021"
"I.C.U. RenalCalc
            17+",9.8 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Catalan, French, Italian, Spanish",$4.99,N/A,5.0,1 Rating,"Usage Data,Diagnostics",https://apps.apple.com/us/app/i-c-u-renalcalc/id551550612,14,"Sep 22, 2021","Aug 18, 2012"
"I.L.A.W.
            4+",98 MB,4+,English,Free,N/A,N/A,N/A,"Location,Location,Contact Info,User Content,Usage Data,Diagnostics",https://apps.apple.com/us/app/i-l-a-w/id1551087663,1,N/A,N/A
