App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"J Drugs
            17+",189.9 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Dutch, French, German, Italian, Portuguese",Free,N/A,5.0,1 Rating,"Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/j-drugs/id1457344307,3,"Oct 6, 2021","Mar 23, 2019"
"J Sport Sci & Med
            4+",11.8 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/j-sport-sci-med/id973105691,7,"May 15, 2019","Mar 10, 2015"
"J'me soigne
            17+",11.2 MB,"17+

              Unrestricted Web Access
Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,Contact Info,https://apps.apple.com/us/app/jme-soigne/id1500809256,11,"Oct 18, 2021","Mar 2, 2020"
"J-Control
            12+",130.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/j-control/id1405996037,8,"Oct 28, 2019","Jul 12, 2018"
"J-Control专家版
            12+",168.9 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/j-control%E4%B8%93%E5%AE%B6%E7%89%88/id1504033526,1,N/A,N/A
"J-Render
            17+",162.6 MB,"17+

              Unrestricted Web Access
Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/j-render/id1461049793,4,"Oct 18, 2019","Jul 15, 2019"
"J-Show
            4+",253.3 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/j-show/id1480542312,3,"Nov 13, 2019","Oct 10, 2019"
"J-Tip
            17+",30.5 MB,"17+

              Frequent/Intense Medical/Treatment Information
Unrestricted Web Access",English,Free,N/A,5.0,3 Ratings,N/A,https://apps.apple.com/us/app/j-tip/id1492507545,9,"Jul 16, 2021","Dec 22, 2019"
"J-View
            17+",70 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Simplified Chinese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/j-view/id1458778444,5,"Jun 16, 2020","Feb 17, 2020"
"Jaadu Sikhe : Magic Tricks & Tips In Hindi Jadu
            4+",22.1 MB,4+,English,$0.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/jaadu-sikhe-magic-tricks-tips-in-hindi-jadu/id1153370248,6,"May 23, 2017","Sep 14, 2016"
"Jaarcongres V&VN VS
            12+",23.7 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/jaarcongres-v-vn-vs/id1003762336,10,"May 12, 2020","Jul 9, 2015"
"Jabberwocky AAC
            4+",22.8 MB,4+,English,Free,N/A,4.6,17 Ratings,N/A,https://apps.apple.com/us/app/jabberwocky-aac/id1438561966,14,"Mar 14, 2020","Oct 31, 2018"
"Jabberwocky Browser
            17+",23.7 MB,"17+

              Unrestricted Web Access",English,Free,N/A,5.0,2 Ratings,N/A,https://apps.apple.com/us/app/jabberwocky-browser/id1455137144,11,"Sep 21, 2020","Apr 29, 2019"
"JabCheck Client
            17+",53.7 MB,17+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/jabcheck-client/id1563434666,1,N/A,N/A
"JabCheck Pharmacy
            17+",53.8 MB,17+,English,Free,N/A,N/A,N/A,"Contact Info,Health & Fitness,Contact Info",https://apps.apple.com/us/app/jabcheck-pharmacy/id1563436530,1,N/A,N/A
"JabCheck Verifier
            17+",35.5 MB,17+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/jabcheck-verifier/id1563436221,1,N/A,N/A
"Jabil-ECG
            12+",13.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/jabil-ecg/id1255771875,1,"Feb 26, 2018","Feb 26, 2018"
"Jabra Enhance Pro
            4+",282.3 MB,4+,"English, French, Japanese, Korean, Simplified Chinese, Spanish, Traditional Chinese",Free,N/A,4.6,1.3K Ratings,"Health & Fitness,User Content,Identifiers,Usage Data,Sensitive Info,Diagnostics",https://apps.apple.com/us/app/jabra-enhance-pro/id1539643358,4,"Dec 9, 2021","Jun 2, 2021"
"Jacaroni Sanità Italia
            4+",66.4 MB,4+,,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/jacaroni-sanit%C3%A0-italia/id1455083435,7,"Jun 2, 2021","Mar 5, 2019"
"Jack Imaging Medical
            17+",17.1 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,$4.99,N/A,3.0,2 Ratings,N/A,https://apps.apple.com/us/app/jack-imaging-medical/id431495135,25,"Jun 6, 2020","Jun 17, 2011"
"Jackson County MCA Protocols
            17+",8.7 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/jackson-county-mca-protocols/id1170692907,9,"Feb 22, 2020","Oct 30, 2016"
"Jackson Heart Study
            4+",30.2 MB,4+,"English, Arabic, Azerbaijani, Bulgarian, Catalan, Croatian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Norwegian Nynorsk, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Slovenian, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese


        more",Free,N/A,N/A,N/A,"Usage Data,Usage Data",https://apps.apple.com/us/app/jackson-heart-study/id1539841039,2,"Oct 9, 2021","Nov 20, 2020"
