App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"K Health | Telehealth
            17+",160.9 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Hebrew, Indonesian, Portuguese, Spanish",Free,N/A,4.5,18K Ratings,"Location,Identifiers,Health & Fitness,Purchases,Location,Contact Info,User Content,Search History,Identifiers,Usage Data,Sensitive Info,Diagnostics",https://apps.apple.com/us/app/k-health-telehealth/id1180400838,25,"Jun 14, 2022","Jan 19, 2022"
"K Therapy | Telehealth
            12+",64.6 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,4.7,15 Ratings,"Contact Info,Identifiers,Usage Data,Sensitive Info,Diagnostics",https://apps.apple.com/us/app/k-therapy-telehealth/id1471189304,25,"May 25, 2022","Aug 23, 2021"
"K вpaчy
            4+",7.6 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/k-%D0%B2pa%D1%87y/id1258175004,2,"Nov 27, 2017","Sep 28, 2017"
"K-APP
            12+",15.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/k-app/id1459729683,1,N/A,N/A
"K-D Balance
            12+",115.8 MB,"12+

              Infrequent/Mild Medical/Treatment Information",,Free,N/A,3.7,3 Ratings,"Contact Info,Identifiers,Diagnostics",https://apps.apple.com/us/app/k-d-balance/id1389928582,9,"Mar 31, 2021","May 30, 2018"
"K-D Color Contrast Sensitivity
            17+",67.3 MB,"17+

              Frequent/Intense Medical/Treatment Information",,Free,True,N/A,N/A,"Health & Fitness,Contact Info,Identifiers,Diagnostics",https://apps.apple.com/us/app/k-d-color-contrast-sensitivity/id1530827184,2,"Oct 26, 2021","Jan 15, 2021"
"K-D Test Home Monitoring
            12+",170.4 MB,"12+

              Infrequent/Mild Medical/Treatment Information",,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/k-d-test-home-monitoring/id1359829374,7,"Feb 6, 2020","Mar 26, 2018"
"K-D Test Pro Baseline
            12+",83.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information",,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/k-d-test-pro-baseline/id1068459143,6,"Jan 1, 2020","Dec 23, 2015"
"K-D Test Pro Reading
            12+",105.9 MB,"12+

              Infrequent/Mild Medical/Treatment Information",,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/k-d-test-pro-reading/id1068456746,6,"Jan 1, 2020","Dec 22, 2015"
"K-Lab Scanner
            17+",39.8 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/k-lab-scanner/id1458699162,8,"Jan 15, 2021","May 9, 2019"
