App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"L&P Adjustable Base
            4+",63.7 MB,4+,"English, Japanese, Korean, Russian, Simplified Chinese, Spanish",Free,N/A,2.4,16 Ratings,N/A,https://apps.apple.com/us/app/l-p-adjustable-base/id1274911672,25,"Mar 17, 2022","Jan 4, 2020"
"L&R Hosiery Selector
            12+",123 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/l-r-hosiery-selector/id633402356,15,"Jul 25, 2019","Apr 17, 2013"
"L1 Brillen-Profi
            4+",253.4 MB,4+,"English, Danish, French, German",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/l1-brillen-profi/id581462133,7,"May 24, 2016","Dec 2, 2012"
"L2S2
            4+",137.9 MB,4+,English,Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,Location,Sensitive Info,Diagnostics",https://apps.apple.com/us/app/l2s2/id1488940446,6,"May 14, 2022","Mar 24, 2020"
"L300 Go FI
            4+",50.8 MB,4+,English,Free,N/A,3.8,4 Ratings,N/A,https://apps.apple.com/us/app/l300-go-fi/id1462979720,2,"Jun 23, 2020","Jun 6, 2019"
"L606 eDiary App
            12+",120.7 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Afrikaans, Arabic, Bengali, Bulgarian, Czech, Danish, Dutch, French, Georgian, German, Greek, Gujarati, Hebrew, Hindi, Hungarian, Italian, Japanese, Kannada, Korean, Latvian, Lithuanian, Malay, Malayalam, Marathi, Oriya, Polish, Portuguese, Punjabi, Romanian, Russian, Serbian, Sesotho, Simplified Chinese, Slovak, Spanish, Swedish, Tamil, Telugu, Thai, Traditional Chinese, Turkish, Ukrainian, Zulu


        more",Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,Identifiers,Diagnostics",https://apps.apple.com/us/app/l606-ediary-app/id1549856896,2,"Aug 20, 2021","Aug 2, 2021"
"L606 Site App
            4+",95.5 MB,4+,"English, Bulgarian, Czech, Danish, Dutch, French, German, Hungarian, Italian, Japanese, Korean, Lithuanian, Polish, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian


        more",Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,Diagnostics",https://apps.apple.com/us/app/l606-site-app/id1549856245,2,"Aug 20, 2021","Aug 2, 2021"
"LA-PM&R
            17+",3.6 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/la-pm-r/id1546263688,2,"Jan 8, 2021","Jan 7, 2021"
"Laan Care | لان كير
            4+",78.7 MB,4+,"English, Arabic",Free,N/A,4.5,13 Ratings,"Usage Data,Financial Info,Location,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/laan-care-%D9%84%D8%A7%D9%86-%D9%83%D9%8A%D8%B1/id1506598270,25,"Jun 8, 2022","Mar 15, 2021"
"Laan Doctors
            12+",28.6 MB,"12+

              Infrequent/Mild Alcohol, Tobacco, or Drug Use or References
Infrequent/Mild Medical/Treatment Information","English, Arabic",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/laan-doctors/id1558172672,14,"Apr 2, 2022","Mar 14, 2021"
"Lab Alpha: Medical Converter
            17+",17.1 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,$2.99,N/A,4.9,9 Ratings,N/A,https://apps.apple.com/us/app/lab-alpha-medical-converter/id1271467781,2,"Aug 24, 2017","Aug 16, 2017"
"LAB Befund
            4+",103.2 MB,4+,"English, German",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/lab-befund/id1019115877,12,"Aug 18, 2021","Jul 22, 2015"
"Lab Gassen
            4+",60.3 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/lab-gassen/id1533851628,1,N/A,N/A
"Lab HJB
            17+",135.9 MB,"17+

              Frequent/Intense Medical/Treatment Information",,Free,N/A,N/A,N/A,"Health & Fitness,Sensitive Info",https://apps.apple.com/us/app/lab-hjb/id1551951180,2,"Sep 3, 2021","Mar 8, 2021"
"Lab Link
            12+",16.6 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/lab-link/id1439552707,2,"Sep 11, 2019","Apr 1, 2019"
"Lab Notes & Diagnostic Tests
            17+",47.1 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,True,5.0,5 Ratings,N/A,https://apps.apple.com/us/app/lab-notes-diagnostic-tests/id1140857423,7,"Aug 28, 2020","Aug 19, 2016"
"Lab on click
            4+",100.5 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/lab-on-click/id1468117950,4,"Mar 24, 2021","Sep 28, 2020"
"LAB scanner
            4+",41 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/lab-scanner/id1462031112,2,"Dec 15, 2021","May 6, 2019"
"Lab Test Values
            12+",18.4 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,4.4,164 Ratings,N/A,https://apps.apple.com/us/app/lab-test-values/id1484865553,1,N/A,N/A
"Lab Testing Solutions
            17+",9.4 MB,"17+

              Unrestricted Web Access",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/lab-testing-solutions/id1465860417,1,N/A,N/A
"Lab Tests
            4+",6.8 MB,4+,English,$2.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/lab-tests/id1157178418?mt=12,1,N/A,N/A
"LAB TUH
            4+",9.7 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/lab-tuh/id1536127792,1,N/A,N/A
"Lab Values
            17+",2.7 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, French, German, Spanish",$0.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/lab-values/id427255979,10,"Oct 2, 2017","Mar 25, 2011"
"Lab values  pharmaco for NCLEX
            12+",16.4 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,$2.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/lab-values-pharmaco-for-nclex/id1059489493,3,"Nov 16, 2019","Nov 23, 2015"
"Lab Values Pro
            17+",12 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,$1.99,N/A,3.5,2 Ratings,N/A,https://apps.apple.com/us/app/lab-values-pro/id1396676594,4,"Mar 24, 2022","Aug 25, 2018"
"Lab Values Medical Reference
            17+",16 MB,"17+

              Unrestricted Web Access
Frequent/Intense Medical/Treatment Information",English,$2.99,N/A,3.6,36 Ratings,N/A,https://apps.apple.com/us/app/lab-values-medical-reference/id450201372,18,"Dec 22, 2018","Jul 21, 2011"
"Lab Values Pro: Lab reference
            12+",4.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information
Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",English,$1.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/lab-values-pro-lab-reference/id1494570009,1,N/A,N/A
"Lab Values Reference
            17+",14.8 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,$9.99,N/A,4.7,1.2K Ratings,N/A,https://apps.apple.com/us/app/lab-values-reference/id560657918,20,"Jan 7, 2021","Sep 24, 2012"
"Lab Values Reference Guide
            17+",28.2 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,3.1,8 Ratings,N/A,https://apps.apple.com/us/app/lab-values-reference-guide/id1071740731,4,"Dec 11, 2017","Jan 22, 2016"
"Lab. Rhony Barros
            12+",31.8 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/lab-rhony-barros/id1074000942,4,"Nov 13, 2021","Jan 18, 2016"
"LAB.cubeConsent
            4+",62.8 MB,4+,English,Free,N/A,N/A,N/A,Identifiers,https://apps.apple.com/us/app/lab-cubeconsent/id1409579980,10,"Mar 4, 2021","Jul 12, 2018"
"LAB.cubePRO
            4+",44.7 MB,4+,"English, Japanese, Korean, Simplified Chinese",Free,N/A,N/A,N/A,"Identifiers,Diagnostics",https://apps.apple.com/us/app/lab-cubepro/id1225864549,25,"Mar 22, 2022","Oct 18, 2017"
"LAB24
            17+",8.3 MB,"17+

              Unrestricted Web Access",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/lab24/id1163912261,1,"Oct 11, 2016","Oct 11, 2016"
"LABalytics
            4+",29.9 MB,4+,English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/labalytics/id1536779121,13,"Jan 31, 2022","Nov 1, 2020"
"Labat Auto Soft
            17+",18.8 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/labat-auto-soft/id1531469214,1,N/A,N/A
"Labat Mini Soft
            17+",18.8 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/labat-mini-soft/id1531463719,1,N/A,N/A
"Labayh - لبيه
            4+",76.1 MB,4+,English,Free,N/A,4.6,2.7K Ratings,"Contact Info,User Content",https://apps.apple.com/us/app/labayh-%D9%84%D8%A8%D9%8A%D9%87/id1244654624,25,"Jun 14, 2022","Dec 16, 2020"
"Labazur pro
            17+",70.9 MB,"17+

              Unrestricted Web Access
Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,"Identifiers,Diagnostics",https://apps.apple.com/us/app/labazur-pro/id1027849354,25,"Mar 6, 2022","Jul 28, 2017"
"LabCaseTracker
            17+",9.1 MB,"17+

              Unrestricted Web Access
Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/labcasetracker/id1488730508,1,N/A,N/A
"LabCONNEXX
            17+",8.8 MB,"17+

              Frequent/Intense Medical/Treatment Information",German,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/labconnexx/id1439786812,8,"Oct 8, 2020","Oct 25, 2018"
"LabConsultant
            12+",11.6 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,$3.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/labconsultant/id1473295655,2,"Sep 18, 2019","Sep 6, 2019"
"Labcorp | Patient
            17+",684.6 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,1.9,104 Ratings,"Usage Data,Other Data",https://apps.apple.com/us/app/labcorp-patient/id1361264072,17,"Apr 26, 2022","Apr 19, 2018"
"LabCorp|Link for Providers
            17+",13.6 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,1.7,90 Ratings,N/A,https://apps.apple.com/us/app/labcorp-link-for-providers/id401125606,6,"Jan 6, 2018","Nov 8, 2010"
"Labelscape
            4+",58.3 MB,4+,English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/labelscape/id1532093916,2,"Jun 8, 2021","Mar 6, 2021"
"LABEXA IDE
            17+",66 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, French",Free,N/A,N/A,N/A,"Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/labexa-ide/id1457818539,19,"May 4, 2022","Mar 28, 2019"
"LabFarma
            4+",45 MB,4+,,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/labfarma/id853609679,5,"Nov 19, 2018","Apr 14, 2014"
"LabFly
            17+",136.5 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Arabic, French, Hindi, Indonesian, Vietnamese",Free,N/A,3.4,36 Ratings,"Diagnostics,Location,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/labfly/id1463519531,25,"Feb 21, 2022","Dec 16, 2019"
"LabGear – Medical Lab Tests
            4+",20.1 MB,4+,English,$19.99,N/A,4.6,58 Ratings,N/A,https://apps.apple.com/us/app/labgear-medical-lab-tests/id350942163,24,"Sep 16, 2019","Aug 2, 2010"
"Labgen
            4+",65.7 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/labgen/id1441570497,1,N/A,N/A
"LabHub
            12+",34.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/labhub/id1527449098,2,"Jul 30, 2021","Aug 26, 2020"
"Labinfo
            12+",9.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,4.2,5 Ratings,N/A,https://apps.apple.com/us/app/labinfo/id1506647805,1,N/A,N/A
"LabLog
            4+",120.5 MB,4+,English,Free,True,5.0,3 Ratings,N/A,https://apps.apple.com/us/app/lablog/id1376329880,19,"Sep 21, 2020","May 8, 2018"
"LabManager SQL POC
            17+",19.3 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/labmanager-sql-poc/id1422562571,1,N/A,N/A
"LabMD
            12+",10.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,5.0,3 Ratings,N/A,https://apps.apple.com/us/app/labmd/id1329295771,8,"Nov 16, 2021","Jan 24, 2018"
"Labmed
            12+",31.5 MB,"12+

              Infrequent/Mild Sexual Content and Nudity
Infrequent/Mild Alcohol, Tobacco, or Drug Use or References
Infrequent/Mild Medical/Treatment Information",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/labmed/id469783392,7,"Dec 13, 2020","Oct 11, 2011"
"LabMedica
            17+",9 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,5.0,2 Ratings,N/A,https://apps.apple.com/us/app/labmedica/id1462097413,4,"Jul 21, 2020","May 3, 2019"
"LABO Laboratório
            12+",60 MB,"12+

              Infrequent/Mild Medical/Treatment Information
Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",English,Free,N/A,N/A,N/A,"Contact Info,Financial Info,User Content,Diagnostics",https://apps.apple.com/us/app/labo-laborat%C3%B3rio/id1449622315,22,"Nov 3, 2021","Nov 14, 2019"
"Labor and Contraction Timer
            4+",4.6 MB,4+,English,$1.99,N/A,5.0,2 Ratings,N/A,https://apps.apple.com/us/app/labor-and-contraction-timer/id328767197,23,"May 12, 2017","Sep 1, 2009"
"Labor Aschaffenburg
            17+",82.7 MB,"17+

              Infrequent/Mild Alcohol, Tobacco, or Drug Use or References
Frequent/Intense Medical/Treatment Information","English, German",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/labor-aschaffenburg/id1483471238,1,N/A,N/A
"Labor Becker & Kollegen
            17+",102.8 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, German",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/labor-becker-kollegen/id1477025669,4,"Aug 6, 2020","Jan 15, 2020"
"Labor Blumenstraße
            17+",97.3 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, German",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/labor-blumenstra%C3%9Fe/id1439292943,4,"Mar 9, 2021","Oct 25, 2018"
"Labor Brunner
            17+",102 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, German",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/labor-brunner/id1407209100,5,"Feb 12, 2021","Aug 8, 2018"
"Labor Dr. Riegel
            17+",68.4 MB,"17+

              Frequent/Intense Medical/Treatment Information",,Free,N/A,N/A,N/A,Diagnostics,https://apps.apple.com/us/app/labor-dr-riegel/id1444763657,6,"Feb 3, 2022","Jan 19, 2019"
"Labor Fenner
            17+",8.6 MB,"17+

              Frequent/Intense Medical/Treatment Information",German,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/labor-fenner/id595311798,20,"Oct 8, 2020","Jan 27, 2013"
"Labor Krone Reports
            17+",39 MB,"17+

              Unrestricted Web Access
Frequent/Intense Medical/Treatment Information","English, German",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/labor-krone-reports/id943963661,4,"May 12, 2018","Nov 26, 2014"
"Labor Lademannbogen MVZ GmbH
            17+",9.4 MB,"17+

              Frequent/Intense Medical/Treatment Information",German,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/labor-lademannbogen-mvz-gmbh/id1506754201,2,"Nov 5, 2020","Apr 14, 2020"
"Labor Mönchengladbach
            17+",9.3 MB,"17+

              Frequent/Intense Medical/Treatment Information",German,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/labor-m%C3%B6nchengladbach/id1076316607,3,"Oct 12, 2016","Jan 29, 2016"
"Labor Münster
            17+",68.2 MB,"17+

              Frequent/Intense Medical/Treatment Information",,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/labor-m%C3%BCnster/id1561840925,3,"Feb 3, 2022","Apr 10, 2021"
"Labor Quade
            17+",20.6 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/labor-quade/id597238138,3,"Sep 14, 2017","Feb 4, 2013"
"Labor Risch
            17+",19.4 MB,"17+

              Frequent/Intense Medical/Treatment Information",German,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/labor-risch/id718115175,18,"Feb 12, 2021","Oct 7, 2013"
"Labor Schenk/Ansorge
            17+",17.1 MB,"17+

              Frequent/Intense Medical/Treatment Information",German,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/labor-schenk-ansorge/id730919452,20,"Feb 26, 2020","Nov 26, 2013"
"Labor Signs Contraction Timer
            4+",32.8 MB,4+,"English, French, Japanese, Korean, Russian, Simplified Chinese, Spanish, Traditional Chinese, Ukrainian",Free,N/A,3.7,3 Ratings,N/A,https://apps.apple.com/us/app/labor-signs-contraction-timer/id934044442,12,"Dec 14, 2019","Nov 14, 2014"
"Labor Staber
            17+",10.4 MB,"17+

              Frequent/Intense Medical/Treatment Information",German,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/labor-staber/id513743095,23,"Jan 20, 2021","Apr 18, 2012"
"Labor Vidotto
            17+",10.1 MB,"17+

              Frequent/Intense Medical/Treatment Information",German,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/labor-vidotto/id1450363622,3,"Feb 12, 2020","Apr 5, 2019"
"Labor-HN
            12+",20.4 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/labor-hn/id859101196,5,"Sep 21, 2018","Apr 15, 2014"
"Laboratoires Réunis
            4+",24.6 MB,4+,German,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/laboratoires-r%C3%A9unis/id1167374867,5,"Apr 7, 2018","Nov 7, 2016"
"Laboratorieanalyser
            17+",18.7 MB,"17+

              Frequent/Intense Medical/Treatment Information",Danish,Free,True,N/A,N/A,N/A,https://apps.apple.com/us/app/laboratorieanalyser/id1165566351,4,"May 10, 2022","Mar 26, 2020"
"Laboratories
            12+",5.5 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Arabic",Free,N/A,3.7,7 Ratings,N/A,https://apps.apple.com/us/app/laboratories/id973822229,1,"Mar 30, 2015","Mar 30, 2015"
"Laboratorio Borzi
            4+",3.8 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/laboratorio-borzi/id1545601288,1,N/A,N/A
"Laboratorio Echevarne
            4+",16.4 MB,4+,"Catalan, Spanish",Free,N/A,4.8,88 Ratings,"Usage Data,Diagnostics",https://apps.apple.com/us/app/laboratorio-echevarne/id903900703,15,"Aug 28, 2021","Aug 5, 2014"
"Laboratorio Borzi
            4+",3.8 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/laboratorio-borzi/id1545601288,1,N/A,N/A
"Laboratorio Echevarne
            4+",16.4 MB,4+,"Catalan, Spanish",Free,N/A,4.8,88 Ratings,"Usage Data,Diagnostics",https://apps.apple.com/us/app/laboratorio-echevarne/id903900703,15,"Aug 28, 2021","Aug 5, 2014"
"Laboratorio Eduardo Fernandez
            17+",24.2 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/laboratorio-eduardo-fernandez/id1475681433,1,N/A,N/A
"Laboratorio Etcheverry
            12+",67.8 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/laboratorio-etcheverry/id1534946415,3,"Oct 4, 2021","Dec 3, 2020"
"Laboratorio Médico Polanco
            4+",20.6 MB,4+,English,Free,N/A,1.0,4 Ratings,"Contact Info,Location,Diagnostics",https://apps.apple.com/us/app/laboratorio-m%C3%A9dico-polanco/id925286012,11,"Aug 26, 2021","Feb 3, 2015"
