App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"STERIS ConnectCare
            4+",27.5 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/steris-connectcare/id1441028997,13,"Jun 5, 2022","Dec 6, 2018"
"M&J Apo
            4+",14.3 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/m-j-apo/id1529349613,3,"Sep 21, 2020","Sep 7, 2020"
"M&M Surgery
            12+",4.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/m-m-surgery/id1242967882,14,"Jun 14, 2022","Jul 17, 2017"
"M's Counter
            4+",82.9 MB,4+,English,Free,N/A,3.3,4 Ratings,N/A,https://apps.apple.com/us/app/ms-counter/id440126712,3,"Mar 5, 2015","May 31, 2011"
"M*Modal Fluency EMRsive
            17+",110.4 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/m-modal-fluency-emrsive/id1369240941,1,N/A,N/A
"M*Modal Fluency For Scribing
            4+",29.4 MB,4+,English,Free,N/A,3.7,6 Ratings,"User Content,Usage Data,Diagnostics",https://apps.apple.com/us/app/m-modal-fluency-for-scribing/id1399641929,12,"Dec 2, 2021","Jul 12, 2018"
"M+ Care
            17+",42.4 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Spanish",Free,N/A,1.6,11 Ratings,"Health & Fitness,Location,Identifiers,Usage Data,Diagnostics,Diagnostics",https://apps.apple.com/us/app/m-care/id1512709298,22,"May 31, 2022","May 27, 2020"
"M-Coach
            12+",30.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/m-coach/id1499047977,3,"Aug 17, 2020","Apr 13, 2020"
"M-Global
            4+",41.2 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/m-global/id1435274733,5,"Sep 29, 2018","Sep 11, 2018"
"M-Scope - Mobile Endoscope
            4+",22.6 MB,4+,English,Free,N/A,3.0,2 Ratings,N/A,https://apps.apple.com/us/app/m-scope-mobile-endoscope/id1444451598,17,"Feb 15, 2021","Dec 14, 2018"
"M.B.C.T. Syllable Drilling
            4+",19.6 MB,4+,English,Free,True,5.0,2 Ratings,N/A,https://apps.apple.com/us/app/m-b-c-t-syllable-drilling/id1323495709,2,"Sep 8, 2020","Jan 4, 2018"
"M.D.S
            4+",25.9 MB,4+,English,Free,N/A,5.0,3 Ratings,"Location,Contact Info,User Content,Usage Data",https://apps.apple.com/us/app/m-d-s/id1546895007,11,"Mar 11, 2022","Feb 14, 2021"
"M.E.D.X
            17+",65.2 MB,"17+

              Unrestricted Web Access
Frequent/Intense Medical/Treatment Information",English,Free,N/A,5.0,7 Ratings,N/A,https://apps.apple.com/us/app/m-e-d-x/id972038425,17,"Apr 25, 2022","May 7, 2015"
"M2Plus Launcher
            17+",20.6 MB,"17+

              Frequent/Intense Medical/Treatment Information",Japanese,Free,N/A,4.7,3 Ratings,"Purchases,Contact Info,Identifiers,Search History,Usage Data,Diagnostics",https://apps.apple.com/us/app/m2plus-launcher/id324539795,25,"Jun 16, 2022","Feb 24, 2021"
"M2WirelessMic
            4+",1.1 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/m2wirelessmic/id1553448140,1,N/A,N/A
"M3 DigiKar
            12+",14.6 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,"User Content,Diagnostics",https://apps.apple.com/us/app/m3-digikar/id1149828795,22,"Feb 15, 2022","Jun 5, 2017"
"M3 India
            17+",10.7 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/m3-india/id1421745614,8,"Sep 8, 2020","Apr 22, 2019"
"M3DAR
            17+",2.5 GB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/m3dar/id1500221165,1,N/A,N/A
"M3DMIX Exp
            17+",125.6 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/m3dmix-exp/id1499874118,1,N/A,N/A
