App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"N Health LabOnline
            4+",121.7 MB,4+,English,Free,N/A,N/A,N/A,"Location,Contact Info,User Content",https://apps.apple.com/us/app/n-health-labonline/id1466772831,15,"Jun 8, 2022","Jun 17, 2019"
"N Sterile
            4+",76.1 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/n-sterile/id1570222877,5,"Oct 18, 2021","Jun 7, 2021"
"N-Born - Baby Feeding Tracker
            4+",62.7 MB,4+,"English, Arabic, Danish, Dutch, French, German, Italian, Japanese, Korean, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Turkish, Vietnamese


        more",Free,True,4.7,37 Ratings,"Identifiers,Identifiers,Usage Data",https://apps.apple.com/us/app/n-born-baby-feeding-tracker/id1526115893,11,"Jun 19, 2021","Nov 19, 2020"
"N-Fit
            4+",302.2 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/n-fit/id1532006107,5,"Jul 1, 2021","Sep 21, 2020"
"N.I.M.B.L.E
            17+",5.5 MB,"17+

              Unrestricted Web Access
Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,"Contact Info,Health & Fitness,Contact Info,User Content",https://apps.apple.com/us/app/n-i-m-b-l-e/id1458113884,3,"Nov 5, 2021","Apr 25, 2020"
"N1-Headache
            12+",69.3 MB,"12+

              Infrequent/Mild Alcohol, Tobacco, or Drug Use or References
Infrequent/Mild Medical/Treatment Information","English, German",Free,True,4.4,411 Ratings,"Health & Fitness,Identifiers",https://apps.apple.com/us/app/n1-headache/id925671723,25,"Oct 26, 2021","Jun 15, 2018"
"N95 Guide
            12+",134.7 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,3.0,4 Ratings,N/A,https://apps.apple.com/us/app/n95-guide/id1503528063,1,N/A,N/A
"NA 998
            12+",24.9 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,5.0,3 Ratings,N/A,https://apps.apple.com/us/app/na-998/id1035657512,3,"Jul 3, 2019","Sep 16, 2015"
"Nabatsheya-نبطشية
            12+",7.7 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,3.0,2 Ratings,N/A,https://apps.apple.com/us/app/nabatsheya-%D9%86%D8%A8%D8%B7%D8%B4%D9%8A%D8%A9/id1522149817,2,"Aug 1, 2020","Jul 8, 2020"
"Nabaz Drug Dictionary
            4+",172.7 MB,4+,English,Free,N/A,4.7,205 Ratings,N/A,https://apps.apple.com/us/app/nabaz-drug-dictionary/id1341504932,3,"Mar 23, 2018","Feb 1, 2018"
"Nabd for doctors
            17+",24.9 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Arabic",Free,N/A,N/A,N/A,"Contact Info,Contact Info,Diagnostics",https://apps.apple.com/us/app/nabd-for-doctors/id1583653993,2,"Feb 1, 2022","Oct 12, 2021"
"NABED Connect
            17+",191 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Arabic",Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/nabed-connect/id1510725842,16,"Nov 26, 2021","Dec 22, 2020"
"NABED Monitor
            17+",32.6 MB,"17+

              Infrequent/Mild Medical/Treatment Information
Unrestricted Web Access","English, Arabic",Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/nabed-monitor/id1565548355,1,N/A,N/A
"Convenient Care
            17+",26.9 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/convenient-care/id1529271145,2,"Nov 10, 2021","Aug 31, 2020"
"Nabil Ebraheim
            4+",24.6 MB,4+,"English, Danish, Dutch, French, German, Hebrew, Italian, Norwegian Bokmål, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Turkish


        more",Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/nabil-ebraheim/id1216202074,3,"Mar 15, 2018","Mar 21, 2017"
"Nabla - Chat with doctors
            17+",63.7 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, French",Free,N/A,5.0,2 Ratings,"Health & Fitness,Contact Info,User Content,Search History,Identifiers,Usage Data,Sensitive Info,Diagnostics,Location",https://apps.apple.com/us/app/nabla-chat-with-doctors/id1508527335,25,"Jun 16, 2022","Oct 14, 2021"
"Nabta | نبتة
            17+",56.7 MB,"17+

              Frequent/Intense Medical/Treatment Information
Infrequent/Mild Sexual Content and Nudity",English,Free,N/A,4.0,4 Ratings,N/A,https://apps.apple.com/us/app/nabta-%D9%86%D8%A8%D8%AA%D8%A9/id1508198107,8,"Mar 6, 2022","Apr 22, 2020"
"NAC 2019 Nagpur
            4+",22.6 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/nac-2019-nagpur/id1479337304,3,"Sep 19, 2019","Sep 10, 2019"
"NAC Belize
            4+",64.6 MB,4+,English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/nac-belize/id1437559813,3,"Jan 24, 2022","Oct 6, 2018"
"NACD Family Portal
            4+",76.9 MB,4+,English,Free,N/A,5.0,3 Ratings,"Contact Info,User Content,Identifiers,Sensitive Info,Health & Fitness",https://apps.apple.com/us/app/nacd-family-portal/id1575631911,3,"Mar 17, 2022","Oct 12, 2021"
"NACI Care
            12+",46.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,5.0,2 Ratings,N/A,https://apps.apple.com/us/app/naci-care/id1441168263,25,"Jun 13, 2022","Jan 4, 2022"
"NACSELD
            12+",29.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information",,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/nacseld/id1377826955,2,"Jan 21, 2022","Oct 19, 2018"
"NAD DoctorOnline
            4+",43.2 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/nad-doctoronline/id1315407193,18,"Feb 25, 2021","Nov 23, 2017"
"NADA2go
            12+",5.4 MB,"12+

              Infrequent/Mild Medical/Treatment Information",German,Free,N/A,N/A,N/A,"Search History,Usage Data",https://apps.apple.com/us/app/nada2go/id532478926,22,"Mar 30, 2022","Jun 8, 2012"
"Nadarty
            12+",38 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/nadarty/id1499014977,11,"Nov 2, 2020","Mar 2, 2020"
"NAF Telehealth
            12+",79.5 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/naf-telehealth/id1565139274,2,"Sep 18, 2021","Jul 26, 2021"
"NAGON
            4+",41.2 MB,4+,Japanese,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/nagon/id1579009474,25,"Apr 26, 2022","Sep 13, 2021"
"NAH Referral
            4+",24.6 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/nah-referral/id665973111,19,"Mar 27, 2021","Jul 2, 2013"
"NAH Smart Health
            4+",31.6 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/nah-smart-health/id1400672158,3,"May 20, 2020","Jun 20, 2018"
"NAH-wijzer
            17+",74.5 MB,"17+

              Unrestricted Web Access",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/nah-wijzer/id983269510,5,"Aug 12, 2016","Apr 15, 2015"
"Nahdi Executive
            17+",63.3 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/nahdi-executive/id1462795583,1,N/A,N/A
