App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"O Uso de Psicofármacos
            12+",10 MB,"12+

              Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o-uso-de-psicof%C3%A1rmacos/id1232451926,2,"May 8, 2017","May 5, 2017"
"O&P Solutions
            17+",24.1 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,5.0,2 Ratings,"Contact Info,User Content,Identifiers,Usage Data",https://apps.apple.com/us/app/o-p-solutions/id1534791789,4,"May 12, 2021","Nov 17, 2020"
"O'care Body Composition App
            4+",65.3 MB,4+,"English, Simplified Chinese, Traditional Chinese",Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,Identifiers",https://apps.apple.com/us/app/ocare-body-composition-app/id1508430987,8,"Mar 29, 2022","Apr 24, 2020"
"O'DIDE
            17+",10.9 MB,"17+

              Infrequent/Mild Medical/Treatment Information
Frequent/Intense Alcohol, Tobacco, or Drug Use or References",French,Free,N/A,N/A,N/A,"Health & Fitness,Identifiers,Usage Data,Sensitive Info",https://apps.apple.com/us/app/odide/id1569346160,2,"Feb 23, 2022","Oct 19, 2021"
"O'LIVE
            17+",33.2 MB,"17+

              Frequent/Intense Medical/Treatment Information",Russian,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/olive/id1587128865,3,"Mar 29, 2022","Oct 15, 2021"
"O-Record
            17+",5 MB,"17+

              Infrequent/Mild Contests
Infrequent/Mild Cartoon or Fantasy Violence
Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,"Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/o-record/id1582935557,1,N/A,N/A
"O-Trial Plus
            12+",48 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Simplified Chinese, Traditional Chinese",Free,N/A,N/A,N/A,"Location,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/o-trial-plus/id1423521217,25,"Jun 7, 2022","Sep 3, 2021"
"O.A.R.S.
            17+",93.6 MB,"17+

              Frequent/Intense Medical/Treatment Information
Frequent/Intense Alcohol, Tobacco, or Drug Use or References",English,Free,N/A,5.0,3 Ratings,N/A,https://apps.apple.com/us/app/o-a-r-s/id1372956173,25,"Aug 12, 2020","Jun 22, 2018"
"O.P. ANALYSIS
            12+",15.8 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o-p-analysis/id1399644986,6,"Aug 5, 2018","Jun 16, 2018"
"O.R.S Hydration Calculator - Japan
            4+",14.4 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o-r-s-hydration-calculator-japan/id1215576908,1,"Mar 18, 2017","Mar 18, 2017"
"O.R.S. Hydration Calculator
            17+",14.2 MB,"17+

              Unrestricted Web Access",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o-r-s-hydration-calculator/id1092077898,4,"Aug 30, 2018","Mar 18, 2016"
"O2 Care - SpO2 HRV Biofeedback
            12+",41.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Traditional Chinese",Free,True,2.8,46 Ratings,"Health & Fitness,Contact Info,Usage Data,Diagnostics",https://apps.apple.com/us/app/o2-care-spo2-hrv-biofeedback/id1406652200,25,"Jun 8, 2021","Jan 30, 2019"
"O2 SOS
            12+",60.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o2-sos/id1439373110,7,"Nov 22, 2021","Nov 22, 2018"
"O2H
            4+",36.1 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o2h/id1526660189,4,"Apr 20, 2021","Nov 27, 2020"
"O2Home App
            4+",16.8 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/o2home-app/id1575199859,2,"Aug 23, 2021","Jul 8, 2021"
"OAK GINZA DENTAL CLINIC
            17+",50.9 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Japanese, Korean, Simplified Chinese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/oak-ginza-dental-clinic/id1571589218,1,N/A,N/A
"Oaker Benefits
            4+",44 MB,4+,English,Free,N/A,5.0,20 Ratings,"Contact Info,Usage Data,Diagnostics",https://apps.apple.com/us/app/oaker-benefits/id1541900850,2,"May 2, 2022","Jul 15, 2021"
"Oakland Teens
            12+",83.4 MB,"12+

              Infrequent/Mild Medical/Treatment Information
Infrequent/Mild Alcohol, Tobacco, or Drug Use or References
Infrequent/Mild Mature/Suggestive Themes",English,Free,N/A,2.3,67 Ratings,N/A,https://apps.apple.com/us/app/oakland-teens/id970376848,10,"May 18, 2022","Mar 2, 2015"
"OAM Medreferral App
            4+",26 MB,4+,English,Free,N/A,5.0,5 Ratings,N/A,https://apps.apple.com/us/app/oam-medreferral-app/id1499749818,7,"Apr 9, 2021","Apr 21, 2020"
"OAR Patches
            4+",152.6 MB,4+,English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/oar-patches/id1530505415,3,"Feb 9, 2022","Sep 5, 2020"
"OARS Mobile
            17+",21.2 MB,"17+

              Frequent/Intense Alcohol, Tobacco, or Drug Use or References
Frequent/Intense Medical/Treatment Information",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/oars-mobile/id1560708965,2,"Apr 30, 2021","Apr 22, 2021"
"Oasis CareConnect
            4+",53.7 MB,4+,,Free,N/A,N/A,N/A,"Contact Info,User Content",https://apps.apple.com/us/app/oasis-careconnect/id1593712479,1,N/A,N/A
"OASIS D Mobile
            17+",60.6 MB,"17+

              Frequent/Intense Medical/Treatment Information",,Free,N/A,2.3,3 Ratings,N/A,https://apps.apple.com/us/app/oasis-d-mobile/id1445765844,3,"Aug 10, 2019","Jan 10, 2019"
"OASIS Tele
            17+",101.2 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Arabic",Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/oasis-tele/id1530246527,3,"Mar 14, 2022","Aug 19, 2021"
"OasisCloud
            17+",75.5 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,3.6,7 Ratings,N/A,https://apps.apple.com/us/app/oasiscloud/id1392832157,2,"Jan 3, 2019","Sep 26, 2018"
"OAT Biology Cram Cards
            4+",26.1 MB,4+,English,$9.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/oat-biology-cram-cards/id962939170,9,"Nov 28, 2020","Feb 7, 2015"
