App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"P Messenger Lite
            4+",60.5 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/p-messenger-lite/id1548429341,2,"Feb 22, 2021","Feb 8, 2021"
"P&O Comet
            4+",74.1 MB,4+,English,Free,N/A,4.5,4 Ratings,N/A,https://apps.apple.com/us/app/p-o-comet/id1583880880,3,"Jan 12, 2022","Sep 4, 2021"
"P&P Subscription
            12+",1.3 GB,"12+

              Infrequent/Mild Sexual Content and Nudity
Infrequent/Mild Mature/Suggestive Themes
Infrequent/Mild Medical/Treatment Information","English, French, German, Italian, Japanese, Simplified Chinese, Spanish",Free,N/A,4.8,33 Ratings,N/A,https://apps.apple.com/us/app/p-p-subscription/id1498842308,1,N/A,N/A
"P-Cog (Philadelphia Cognitive Exam)
            4+",8.7 MB,4+,English,Free,True,3.5,2 Ratings,N/A,https://apps.apple.com/us/app/p-cog-philadelphia-cognitive-exam/id908942319,7,"Nov 29, 2016","Sep 12, 2014"
"P-Cog+
            17+",17.1 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,True,N/A,N/A,N/A,https://apps.apple.com/us/app/p-cog/id1475476473,7,"Jun 7, 2021","Aug 11, 2019"
"P.A.R.T.
            4+",248.3 MB,4+,English,Free,N/A,4.5,4 Ratings,Usage Data,https://apps.apple.com/us/app/p-a-r-t/id1126512332,25,"Jun 4, 2022","Jul 11, 2019"
"P.O.P. Care
            17+",23.9 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,3.0,4 Ratings,N/A,https://apps.apple.com/us/app/p-o-p-care/id1266822741,4,"Jan 19, 2019","Mar 5, 2018"
"P.O.P.S
            17+",19.6 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/p-o-p-s/id1181419115,1,"Dec 12, 2016","Dec 12, 2016"
"P.O.V.  Spatial Reasoning Game
            4+",8.7 MB,4+,English,$3.99,N/A,2.6,5 Ratings,N/A,https://apps.apple.com/us/app/p-o-v-spatial-reasoning-game/id532611500,5,"Dec 16, 2017","Jun 14, 2012"
"P.R.E.P.
            4+",23.7 MB,4+,English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/p-r-e-p/id1479897244,20,"Apr 13, 2022","Sep 29, 2019"
"P247
            4+",36.2 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/p247/id1554663036,1,N/A,N/A
"P2Pgo
            4+",19.6 MB,4+,English,Free,N/A,1.0,1 Rating,N/A,https://apps.apple.com/us/app/p2pgo/id402796065,25,"Feb 11, 2020","Mar 21, 2017"
"P4P
            4+",20.5 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/p4p/id1513169968,4,"Mar 27, 2021","Sep 30, 2020"
"P@H
            17+",119.3 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/p-h/id1451881385,3,"Jul 27, 2020","Apr 4, 2019"
"PA ACFI Calculator
            4+",62.2 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/pa-acfi-calculator/id1583853706,2,"Sep 8, 2021","Sep 2, 2021"
"PA Breast Cancer Coalition
            12+",13.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/pa-breast-cancer-coalition/id1316064750,2,"Mar 21, 2019","Mar 18, 2019"
"PA EMS Protocols
            4+",36 MB,4+,English,$1.99,N/A,5.0,5 Ratings,"Location,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/pa-ems-protocols/id1031755528,17,"Feb 26, 2021","Sep 26, 2015"
"Pa la calle
            4+",22.6 MB,4+,English,Free,N/A,1.0,1 Rating,N/A,https://apps.apple.com/us/app/pa-la-calle/id1286877436,14,"Jul 16, 2019","Sep 27, 2017"
"PA Pernicious Anaemia
            4+",21.7 MB,4+,English,$4.99,N/A,1.3,3 Ratings,N/A,https://apps.apple.com/us/app/pa-pernicious-anaemia/id859079061,5,"Mar 22, 2022","Sep 11, 2014"
"PA Pros 2 Go WBRE WYOU
            4+",72 MB,4+,"English, Spanish",Free,N/A,4.9,7 Ratings,"Location,Usage Data,Diagnostics",https://apps.apple.com/us/app/pa-pros-2-go-wbre-wyou/id835270286,25,"Oct 6, 2020","Oct 21, 2015"
"PAAC Chats
            12+",84.2 MB,"12+

              Infrequent/Mild Mature/Suggestive Themes
Infrequent/Mild Medical/Treatment Information","English, German, Italian, Japanese, Spanish",Free,N/A,N/A,N/A,"Contact Info,User Content,Identifiers,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/paac-chats/id1563222623,25,"Jun 16, 2022","Aug 25, 2021"
"PAAI
            17+",23.2 MB,"17+

              Frequent/Intense Medical/Treatment Information
Infrequent/Mild Alcohol, Tobacco, or Drug Use or References","English, Bengali",Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/paai/id1071714409,11,"Mar 2, 2022","Jan 9, 2016"
"Pabau
            4+",46.5 MB,4+,"English, Arabic, Greek, Italian, Portuguese, Spanish",Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/pabau/id1057335634,25,"Apr 17, 2021","Oct 13, 2018"
"PABOI App
            4+",102.6 MB,4+,English,Free,N/A,N/A,N/A,"Contact Info,User Content,Identifiers,Diagnostics",https://apps.apple.com/us/app/paboi-app/id1546581870,8,"Dec 30, 2021","Jan 5, 2021"
"Pace
            4+",3.7 MB,4+,English,Free,True,3.7,10 Ratings,N/A,https://apps.apple.com/us/app/pace/id918925707?mt=12,4,"Sep 26, 2017","Oct 16, 2014"
"PACE by ChaiCore
            12+",154.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/pace-by-chaicore/id1490431010,3,"Oct 13, 2021","Jan 3, 2020"
"Pace It
            12+",20.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,$1.99,N/A,3.8,8 Ratings,N/A,https://apps.apple.com/us/app/pace-it/id1238527122,3,"Mar 30, 2018","Jan 17, 2018"
"Pace.Me
            4+",60.7 MB,4+,English,$9.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/pace-me/id1441238048,1,N/A,N/A
"Paced breathing exercises zone
            4+",68 MB,4+,English,Free,True,3.3,24 Ratings,"Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/paced-breathing-exercises-zone/id1516092534,9,"Nov 10, 2021","Jun 14, 2020"
"Pacemaker-ID
            4+",21.4 MB,4+,English,Free,N/A,3.7,44 Ratings,N/A,https://apps.apple.com/us/app/pacemaker-id/id1455009191,7,"May 13, 2019","Mar 16, 2019"
"Pacer Pedometer & Step Tracker
            4+",395.7 MB,4+,"English, Dutch, French, German, Indonesian, Italian, Japanese, Korean, Malay, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese, Turkish, Vietnamese


        more",Free,True,4.9,166.5K Ratings,"Location,Health & Fitness,Purchases,Location,Contact Info,Contacts,User Content,Identifiers,Usage Data,Diagnostics,Diagnostics",https://apps.apple.com/us/app/pacer-pedometer-step-tracker/id600446812,25,"Jun 13, 2022","Aug 6, 2021"
"Pacesetter HITS
            12+",67.1 MB,"12+

              Infrequent/Mild Alcohol, Tobacco, or Drug Use or References
Infrequent/Mild Medical/Treatment Information","English, Spanish",Free,N/A,N/A,N/A,"Location,Diagnostics",https://apps.apple.com/us/app/pacesetter-hits/id1482947143,1,N/A,N/A
