App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"Q Mosquito
            4+",16.2 MB,4+,English,$1.99,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/q-mosquito/id340846949,7,"Sep 12, 2016","Nov 25, 2009"
"Q-interactive Assess
            4+",43.7 MB,4+,"English, Danish, Dutch, French, German, Norwegian Bokmål, Swedish",Free,N/A,4.0,23 Ratings,"User Content,Diagnostics",https://apps.apple.com/us/app/q-interactive-assess/id543319804,25,"Jun 8, 2022","Apr 3, 2019"
"Q-life Medicals
            12+",59.4 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/q-life-medicals/id1529840151,1,N/A,N/A
"Q-Wallet | Digital Wallet
            17+",38.8 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,3.4,5 Ratings,N/A,https://apps.apple.com/us/app/q-wallet-digital-wallet/id1529853845,10,"Oct 31, 2021","Sep 26, 2020"
"Q21
            12+",70.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/q21/id1449514350,7,"Jan 22, 2021","Feb 23, 2019"
"Q53 PLUS KI Diagnostik
            17+",19.5 MB,"17+

              Frequent/Intense Medical/Treatment Information
Unrestricted Web Access",English,Free,N/A,N/A,N/A,Health & Fitness,https://apps.apple.com/us/app/q53-plus-ki-diagnostik/id1320586920,24,"Aug 14, 2021","Apr 17, 2018"
"QAdental
            17+",94.6 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,"Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/qadental/id1552666592,3,"Oct 2, 2021","May 5, 2021"
"QALYO
            12+",63.6 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Arabic, Catalan, Dutch, French, German, Greek, Hebrew, Hindi, Indonesian, Italian, Japanese, Malay, Portuguese, Russian, Simplified Chinese, Spanish, Turkish


        more",Free,N/A,N/A,N/A,"Health & Fitness,Contact Info,Usage Data,Diagnostics",https://apps.apple.com/us/app/qalyo/id978138794,25,"Oct 12, 2021","Mar 6, 2018"
"Qardio heart health
            4+",117.7 MB,4+,"English, Arabic, Danish, Dutch, Finnish, French, German, Italian, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese


        more",Free,N/A,4.7,17.5K Ratings,"Contact Info,Usage Data,Diagnostics",https://apps.apple.com/us/app/qardio-heart-health/id855275752,25,"May 4, 2022","Sep 17, 2019"
"QardioDirect
            4+",92.3 MB,4+,"English, Italian, Spanish",Free,N/A,3.4,5 Ratings,"Contact Info,Usage Data,Diagnostics",https://apps.apple.com/us/app/qardiodirect/id1107952397,25,"May 25, 2022","Jan 2, 2019"
"Qare - Consultez un médecin
            4+",66.7 MB,4+,"English, French",Free,N/A,4.9,135 Ratings,"Identifiers,Identifiers",https://apps.apple.com/us/app/qare-consultez-un-m%C3%A9decin/id1233743123,25,"May 31, 2022","May 3, 2021"
"Qarni Academy
            17+",39.3 MB,17+,English,Free,N/A,N/A,N/A,Contact Info,https://apps.apple.com/us/app/qarni-academy/id1584389773,1,N/A,N/A
"QAS
            12+",2.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/qas/id1500571939,1,N/A,N/A
"Qatar Cancer Society
            4+",22 MB,4+,"English, Arabic",Free,N/A,3.0,2 Ratings,N/A,https://apps.apple.com/us/app/qatar-cancer-society/id1448365698,15,"Jun 6, 2022","Jan 8, 2019"
