App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"R Plus Health
            17+",122.2 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Simplified Chinese, Spanish, Traditional Chinese",Free,N/A,5.0,4 Ratings,"Health & Fitness,Contact Info,User Content,Identifiers,Usage Data,Diagnostics,Diagnostics",https://apps.apple.com/us/app/r-plus-health/id1489440337,25,"Jun 10, 2022","Jan 22, 2021"
"R TV
            4+",12.1 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/r-tv/id1555994922,1,N/A,N/A
"R U Suicidal?
            4+",46.5 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/r-u-suicidal/id592320411,2,"Feb 14, 2018","May 6, 2013"
"R+H UV 400
            4+",543.6 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/r-h-uv-400/id1459460956,7,"May 9, 2019","Apr 18, 2019"
"R. Ceramics
            17+",23.5 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/r-ceramics/id1580707735,2,"Dec 30, 2021","Aug 13, 2021"
"R.I.L FM
            17+",61.6 MB,"17+

              Unrestricted Web Access",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/r-i-l-fm/id1214604196,4,"Mar 10, 2022","Mar 14, 2017"
"R.I.S.C Prism
            17+",17 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,5.0,2 Ratings,N/A,https://apps.apple.com/us/app/r-i-s-c-prism/id1500568277,2,"Dec 9, 2020","Apr 18, 2020"
"R.O.clinic
            4+",1.8 MB,4+,Japanese,Free,N/A,N/A,N/A,Contact Info,https://apps.apple.com/us/app/r-o-clinic/id1556193565,1,N/A,N/A
"R2GATE DOD
            12+",380.9 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,True,N/A,N/A,N/A,https://apps.apple.com/us/app/r2gate-dod/id1327215033,3,"Jun 25, 2019","Mar 29, 2018"
"RA & COVID-19
            17+",2.1 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/ra-covid-19/id1573971715,1,N/A,N/A
"RA Augmented Reality
            17+",127.6 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/ra-augmented-reality/id1300363289,5,"Mar 19, 2019","Nov 3, 2017"
"RA Manager
            4+",42.5 MB,4+,English,Free,N/A,3.5,8 Ratings,"Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/ra-manager/id840972490,25,"May 18, 2022","Oct 10, 2014"
"RA Monitor
            17+",159.2 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,4.3,69 Ratings,"Health & Fitness,Contact Info,User Content,Identifiers,Location,Usage Data,Diagnostics",https://apps.apple.com/us/app/ra-monitor/id1312851551,17,"Feb 1, 2022","Dec 29, 2017"
"Rabies
            4+",1.5 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/rabies/id662986668,4,"Apr 6, 2020","Jul 9, 2013"
"Rabies Reader®
            12+",14.7 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/rabies-reader/id1443822643,5,"Feb 28, 2019","Nov 22, 2018"
"Rabies Vaccination
            12+",94.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/rabies-vaccination/id1153994462,6,"Nov 30, 2016","Sep 15, 2016"
"RacdocForDoctor
            4+",40.5 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/racdocfordoctor/id1563773744,2,"Jul 27, 2021","May 9, 2021"
"RACE Scale
            17+",9.9 MB,"17+

              Unrestricted Web Access",English,Free,N/A,5.0,2 Ratings,N/A,https://apps.apple.com/us/app/race-scale/id1107547638,7,"Feb 28, 2022","May 1, 2016"
"RaceSafe
            12+",16.5 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Portuguese",Free,N/A,4.4,9 Ratings,N/A,https://apps.apple.com/us/app/racesafe/id1033316672,25,"Jun 5, 2022","Aug 13, 2016"
"RACGP
            17+",37.7 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/racgp/id1349015324,5,"Apr 7, 2020","Jun 19, 2018"
"RACORDIAX
            12+",21.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, German",Free,N/A,5.0,5 Ratings,Identifiers,https://apps.apple.com/us/app/racordiax/id1512472583,7,"Jun 21, 2021","Dec 8, 2020"
"RACS Speak Up
            17+",39.2 MB,"17+

              Unrestricted Web Access",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/racs-speak-up/id1437874350,2,"Feb 22, 2021","Apr 26, 2019"
"RAD App
            17+",18 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/rad-app/id926743701,8,"Nov 16, 2020","Oct 28, 2014"
"RAD Explorer
            4+",2.7 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/rad-explorer/id1506428128,3,"Jul 18, 2020","Jun 15, 2020"
"Rad Onc Tables
            4+",47.8 MB,4+,English,Free,N/A,5.0,22 Ratings,"User Content,Identifiers,Diagnostics",https://apps.apple.com/us/app/rad-onc-tables/id1435398887,10,"Nov 9, 2021","Sep 7, 2018"
"Rad Results
            17+",86.3 MB,"17+

              Frequent/Intense Medical/Treatment Information",,Free,N/A,5.0,7 Ratings,"Search History,Identifiers,Usage Data,Diagnostics,Diagnostics",https://apps.apple.com/us/app/rad-results/id1519273550,9,"Jan 8, 2022","Jun 23, 2020"
"Rad Rounds UIP to IPF
            12+",98.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information",,Free,N/A,4.6,8 Ratings,N/A,https://apps.apple.com/us/app/rad-rounds-uip-to-ipf/id1327938328,8,"Mar 6, 2021","Jan 10, 2018"
"Rad@ VP
            4+",12.3 MB,4+,"English, Japanese, Simplified Chinese, Thai, Traditional Chinese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/rad-vp/id1386668031,5,"Jun 16, 2022","May 26, 2018"
"RadAnatomy
            12+",46.6 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,$2.99,N/A,5.0,3 Ratings,N/A,https://apps.apple.com/us/app/radanatomy/id1251882745,7,"Jun 9, 2019","Jun 28, 2017"
"RadAnatomyLite
            12+",17.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,4.6,16 Ratings,N/A,https://apps.apple.com/us/app/radanatomylite/id1251890081,7,"Jun 10, 2019","Jun 28, 2017"
"RADAR Active RMT
            4+",47.2 MB,4+,English,Free,N/A,N/A,N/A,"User Content,Identifiers",https://apps.apple.com/us/app/radar-active-rmt/id1483953055,5,"May 19, 2022","Jan 15, 2020"
"Radar Covid
            12+",28.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Basque, Catalan, French, Galician, Romanian, Spanish",Free,N/A,4.4,14 Ratings,N/A,https://apps.apple.com/us/app/radar-covid/id1520443509,16,"Jul 14, 2021","Jul 7, 2020"
"Radar Multichannel
            17+",14.8 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/radar-multichannel/id1472724260,6,"Nov 7, 2019","Aug 8, 2019"
"Radboudumc eLabgids
            12+",4.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information",Dutch,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/radboudumc-elabgids/id1236144578,6,"Oct 11, 2020","May 23, 2017"
"RadboudUMC WondGezond
            4+",71.1 MB,4+,"English, Dutch",Free,N/A,N/A,N/A,"Health & Fitness,User Content,Identifiers,Diagnostics",https://apps.apple.com/us/app/radboudumc-wondgezond/id1475461104,5,"Jan 19, 2022","Jan 10, 2020"
"RadboudUMC WondGezond
            4+",71.1 MB,4+,"English, Dutch",Free,N/A,N/A,N/A,"Health & Fitness,User Content,Identifiers,Diagnostics",https://apps.apple.com/us/app/radboudumc-wondgezond/id1475461104,5,"Jan 19, 2022","Jan 10, 2020"
"RadCare
            4+",25.3 MB,4+,English,Free,N/A,5.0,3 Ratings,N/A,https://apps.apple.com/us/app/radcare/id1459182910,2,"Apr 25, 2019","Apr 24, 2019"
"Radeos
            17+",5.3 MB,"17+

              Frequent/Intense Medical/Treatment Information",French,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/radeos/id1119546829,5,"Oct 11, 2018","Jun 6, 2016"
"Radiation Oncology Board Prep
            17+",122.7 MB,"17+

              Infrequent/Mild Alcohol, Tobacco, or Drug Use or References
Frequent/Intense Medical/Treatment Information",English,Free,True,3.7,3 Ratings,N/A,https://apps.apple.com/us/app/radiation-oncology-board-prep/id1364190507,17,"Dec 13, 2018","May 2, 2018"
"Radiation Therapy Exam Review
            12+",8.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,$3.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/radiation-therapy-exam-review/id1120977037,2,"Mar 8, 2022","Jun 5, 2016"
"Radio Gruppocvit
            17+",17.5 MB,"17+

              Unrestricted Web Access
Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/radio-gruppocvit/id915427193,4,"Dec 3, 2021","Sep 13, 2014"
"Radio Héros
            4+",50.9 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/radio-h%C3%A9ros/id989173136,13,"Jan 28, 2022","May 14, 2015"
"Italy Radio - access all Radios in Italia FREE!
            4+",71.8 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/italy-radio-access-all-radios-in-italia-free/id681204706,4,"Jan 28, 2017","Jul 30, 2013"
"Radio Médecine Douce
            12+",17.5 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, French",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/radio-m%C3%A9decine-douce/id403483024,24,"Oct 4, 2021","Nov 18, 2010"
"Radio UK - Radio Online
            4+",30.6 MB,4+,English,Free,True,3.5,2 Ratings,N/A,https://apps.apple.com/us/app/radio-uk-radio-online/id1191402080,1,"Jan 11, 2017","Jan 11, 2017"
"Radio Volume Booster
            4+",13.8 MB,4+,English,Free,N/A,3.8,10 Ratings,N/A,https://apps.apple.com/us/app/radio-volume-booster/id887768699,11,"Mar 14, 2019","Jun 19, 2014"
"Radiographic Positioning Cards
            17+",281.6 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,$19.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/radiographic-positioning-cards/id917682592,8,"Jan 14, 2021","Sep 18, 2014"
"Radiography  EXAM REVIEW
            12+",8.6 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,$2.99,N/A,1.0,1 Rating,N/A,https://apps.apple.com/us/app/radiography-exam-review/id1184011334,2,"Nov 27, 2021","Dec 9, 2016"
"Radiolance
            17+",21.3 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Russian, Ukrainian",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/radiolance/id1554865795,9,"Feb 21, 2022","Jul 6, 2021"
"Radiolo
            17+",33 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/radiolo/id1489381949,2,"Jul 31, 2020","Nov 27, 2019"
"Radiologie & Neuroradiologie
            4+",3.8 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/radiologie-neuroradiologie/id1096139653,1,"Mar 24, 2016","Mar 24, 2016"
"Radiology & Medical Imaging
            12+",26.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,$2.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/radiology-medical-imaging/id1107261100,2,"May 14, 2019","Apr 27, 2016"
"Radiology - Abdomen Dynamic
            4+",553.3 MB,4+,English,Free,True,2.3,3 Ratings,N/A,https://apps.apple.com/us/app/radiology-abdomen-dynamic/id523516157,13,"Dec 17, 2019","May 8, 2012"
"Radiology - Aortic Imaging
            4+",473 MB,4+,English,$19.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/radiology-aortic-imaging/id1090384392,6,"Nov 25, 2019","Nov 18, 2016"
"Radiology - Clinical Anatomy
            4+",58.2 MB,4+,English,Free,True,5.0,3 Ratings,N/A,https://apps.apple.com/us/app/radiology-clinical-anatomy/id955068403,7,"Nov 25, 2019","Jan 6, 2015"
"Radiology - CRC Staging Atlas
            4+",672.9 MB,4+,English,$19.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/radiology-crc-staging-atlas/id1275582953,3,"Nov 24, 2019","Oct 5, 2017"
"Radiology - Head
            4+",169.6 MB,4+,English,$7.99,N/A,3.0,6 Ratings,N/A,https://apps.apple.com/us/app/radiology-head/id692751041,3,"Dec 2, 2017","Dec 15, 2013"
"Radiology - Head&Neck Anatomy
            4+",104.3 MB,4+,English,$8.99,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/radiology-head-neck-anatomy/id1364480176,4,"Jul 22, 2021","Dec 2, 2019"
"Radiology - Imaging in Stroke
            4+",378.8 MB,4+,English,$19.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/radiology-imaging-in-stroke/id981636248,3,"Nov 21, 2019","Aug 19, 2015"
"Radiology - Knee
            4+",114.3 MB,4+,English,$7.99,N/A,5.0,2 Ratings,N/A,https://apps.apple.com/us/app/radiology-knee/id857668089,3,"Sep 27, 2014","Apr 13, 2014"
"Radiology - Thoracic Imaging
            4+",292.2 MB,4+,English,$34.99,N/A,4.7,3 Ratings,N/A,https://apps.apple.com/us/app/radiology-thoracic-imaging/id689790583,9,"Dec 3, 2019","Sep 17, 2013"
"Radiology 2.0: Head CTs
            17+",557.2 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,5.0,5 Ratings,N/A,https://apps.apple.com/us/app/radiology-2-0-head-cts/id1288922146,3,"Apr 16, 2020","Jan 2, 2018"
"Radiology Assistant 2.0
            4+",39.8 MB,4+,English,Free,True,4.5,20 Ratings,N/A,https://apps.apple.com/us/app/radiology-assistant-2-0/id1173853906,20,"Aug 3, 2021","Aug 1, 2017"
"Radiology Associates App
            17+",13.7 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/radiology-associates-app/id1348160772,9,"Aug 7, 2019","Feb 15, 2018"
"Radiology Board Reviews
            12+",54.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,True,N/A,N/A,N/A,https://apps.apple.com/us/app/radiology-board-reviews/id1079503086,3,"Mar 24, 2017","Feb 3, 2016"
"Radiology Board Reviews 2021
            4+",40.8 MB,4+,English,Free,True,3.8,6 Ratings,N/A,https://apps.apple.com/us/app/radiology-board-reviews-2021/id1498416143,2,"Apr 28, 2021","Feb 18, 2020"
"Radiology Core: Nuclear Medicine
            17+",16.6 MB,"17+

              Frequent/Intense Medical/Treatment Information
Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",English,Free,N/A,2.3,4 Ratings,N/A,https://apps.apple.com/us/app/radiology-core-nuclear-medicine/id1178469470,1,"Nov 22, 2016","Nov 22, 2016"
"Radiology Core: Physics
            17+",21.2 MB,"17+

              Infrequent/Mild Alcohol, Tobacco, or Drug Use or References
Frequent/Intense Medical/Treatment Information",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/radiology-core-physics/id1178469466,3,"Jun 20, 2020","Nov 22, 2016"
"Radiology Core: Physics Plus
            17+",31.1 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,$9.99,N/A,3.4,22 Ratings,N/A,https://apps.apple.com/us/app/radiology-core-physics-plus/id1225040758,6,"Jun 22, 2020","Apr 11, 2017"
"Radiology Core: Physics Prep
            12+",43.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,True,N/A,N/A,N/A,https://apps.apple.com/us/app/radiology-core-physics-prep/id1566094166,1,N/A,N/A
"Radiology CT Viewer
            17+",118.6 MB,"17+

              Frequent/Intense Medical/Treatment Information
Infrequent/Mild Mature/Suggestive Themes",English,Free,N/A,4.2,12 Ratings,N/A,https://apps.apple.com/us/app/radiology-ct-viewer/id1185171507,3,"Jan 18, 2018","Dec 13, 2016"
"Radiology Group Doctor
            17+",93.2 MB,"17+

              Frequent/Intense Medical/Treatment Information",,Free,N/A,N/A,N/A,Diagnostics,https://apps.apple.com/us/app/radiology-group-doctor/id1499595203,4,"Apr 14, 2022","Feb 28, 2020"
"Radiology Group Patient
            17+",94.5 MB,"17+

              Frequent/Intense Medical/Treatment Information",,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/radiology-group-patient/id1499595459,3,"Aug 5, 2021","Feb 28, 2020"
"Radiology Measurements
            17+",34.1 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,True,5.0,9 Ratings,N/A,https://apps.apple.com/us/app/radiology-measurements/id1299541761,8,"Jul 19, 2021","Mar 25, 2018"
"Radiology NIS Study Guide
            17+",19 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,$4.99,N/A,2.0,1 Rating,N/A,https://apps.apple.com/us/app/radiology-nis-study-guide/id1239268078,2,"Jul 1, 2020","May 23, 2017"
"Radiology Review Manual
            17+",46.9 MB,"17+

              Frequent/Intense Medical/Treatment Information
Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",English,Free,True,5.0,1 Rating,N/A,https://apps.apple.com/us/app/radiology-review-manual/id1204468067,5,"Jul 18, 2020","Feb 20, 2017"
"Radiology Rounds -Radiologists
            12+",67 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,4.9,39 Ratings,"Contact Info,Identifiers,Usage Data,Diagnostics,Diagnostics",https://apps.apple.com/us/app/radiology-rounds-radiologists/id1074380401,13,"Jan 14, 2022","Jan 14, 2016"
"Radiology Stickers
            4+",1.1 MB,4+,English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/radiology-stickers/id1227314075,1,"Apr 24, 2017","Apr 24, 2017"
"Radiology Toolbox Lite
            17+",28.2 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,True,3.0,2 Ratings,N/A,https://apps.apple.com/us/app/radiology-toolbox-lite/id415176373,8,"Jul 11, 2017","Jan 21, 2011"
"Radiology Toolbox Pro
            17+",28.2 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,$3.99,N/A,2.2,6 Ratings,N/A,https://apps.apple.com/us/app/radiology-toolbox-pro/id466281848,5,"Jul 11, 2017","Sep 23, 2011"
"Radiology Toolkit
            17+",17.8 MB,"17+

              Frequent/Intense Medical/Treatment Information
Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/radiology-toolkit/id1179654658,1,"Dec 1, 2016","Dec 1, 2016"
"Radiología equina
            12+",104.5 MB,"12+

              Infrequent/Mild Medical/Treatment Information",Spanish,$14.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/radiolog%C3%ADa-equina/id1363546906,3,"Jun 6, 2021","Mar 29, 2018"
"Radiosan Radiologia
            17+",23.7 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/radiosan-radiologia/id1484713843,2,"Oct 31, 2019","Oct 24, 2019"
"Radioscar
            12+",34.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information",French,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/radioscar/id1400345709,1,N/A,N/A
"Radish Health
            12+",47.6 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,5.0,13 Ratings,"Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/radish-health/id1556054938,25,"May 31, 2022","May 30, 2021"
"Radius Care for iPad
            17+",35.1 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/radius-care-for-ipad/id1569162819,1,N/A,N/A
"Radius Care: Health Companion
            17+",35.5 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/radius-care-health-companion/id1550291140,3,"May 15, 2021","Feb 6, 2021"
"RadLink Mobile
            17+",93.1 MB,"17+

              Frequent/Intense Medical/Treatment Information",,Free,N/A,N/A,N/A,Diagnostics,https://apps.apple.com/us/app/radlink-mobile/id1218124772,7,"Apr 14, 2022","Mar 23, 2017"
"RadLink Patient Portal
            12+",101.5 MB,"12+

              Infrequent/Mild Medical/Treatment Information",,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/radlink-patient-portal/id1427166319,6,"Aug 6, 2021","Aug 16, 2018"
