App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"S Beauty Clinic
            12+",10 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Japanese",Free,N/A,N/A,N/A,Contact Info,https://apps.apple.com/us/app/s-beauty-clinic/id1169836864,5,"Oct 8, 2020","Oct 28, 2016"
"S&G Medical Transport
            4+",101.6 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/s-g-medical-transport/id1531521399,1,N/A,N/A
"S&H Medical Science Service
            17+",101.2 MB,"17+

              Unrestricted Web Access
Frequent/Intense Medical/Treatment Information","English, Dutch, French, German, Italian, Portuguese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/s-h-medical-science-service/id1331857178,13,"Jan 7, 2020","Jan 9, 2018"
"S&S Spending Accounts
            4+",17.6 MB,4+,English,Free,N/A,N/A,N/A,Usage Data,https://apps.apple.com/us/app/s-s-spending-accounts/id1513995638,5,"Dec 4, 2021","Jul 30, 2020"
"S-Hearing
            4+",97.6 MB,4+,"English, Simplified Chinese",Free,True,4.5,2 Ratings,N/A,https://apps.apple.com/us/app/s-hearing/id1081495861,10,"May 23, 2019","Feb 19, 2016"
"S-Patch Cardio
            12+",24.6 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Italian, Korean, Simplified Chinese, Spanish, Traditional Chinese",Free,N/A,5.0,1 Rating,Health & Fitness,https://apps.apple.com/us/app/s-patch-cardio/id1496099268,6,"Apr 29, 2021","Jan 24, 2020"
"S-Patch Ex
            12+",48.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,Health & Fitness,https://apps.apple.com/us/app/s-patch-ex/id1560917681,19,"May 2, 2022","Jun 25, 2021"
"S-SMART
            17+",44.6 MB,"17+

              Frequent/Intense Medical/Treatment Information
Frequent/Intense Alcohol, Tobacco, or Drug Use or References",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/s-smart/id1482338902,1,N/A,N/A
"S-SV EMS Agency
            17+",8.8 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,4.0,4 Ratings,N/A,https://apps.apple.com/us/app/s-sv-ems-agency/id879910378,12,"Feb 22, 2020","May 22, 2014"
"S.I.N. RA
            4+",295.2 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/s-i-n-ra/id1339367921,7,"May 23, 2022","Mar 15, 2018"
"Saada App
            4+",141.2 MB,4+,"English, Arabic",Free,N/A,3.3,18 Ratings,N/A,https://apps.apple.com/us/app/saada-app/id1448861975,1,N/A,N/A
"Saale-Apotheke
            17+",11.1 MB,"17+

              Frequent/Intense Medical/Treatment Information",,Free,N/A,N/A,N/A,"Contact Info,Location,User Content,Diagnostics",https://apps.apple.com/us/app/saale-apotheke/id1132156093,2,"Dec 9, 2020","Jul 8, 2016"
"SAAVY (270-701)
            4+",119 MB,4+,"English, Bulgarian, Czech, Danish, Dutch, French, German, Hungarian, Italian, Japanese, Korean, Polish, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese, Turkish, Ukrainian


        more",Free,N/A,1.0,1 Rating,N/A,https://apps.apple.com/us/app/saavy-270-701/id1518189589,1,N/A,N/A
"SAAVY (270-701) Site
            4+",92.9 MB,4+,"English, Bulgarian, Czech, Danish, Dutch, French, German, Hungarian, Italian, Japanese, Korean, Polish, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese, Turkish, Ukrainian


        more",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/saavy-270-701-site/id1523306741,1,N/A,N/A
"Saaya Health Counsellor App
            4+",45.9 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/saaya-health-counsellor-app/id1573696633,2,"Sep 20, 2021","Aug 9, 2021"
"Sabai Klassische Thaimassage
            4+",35 MB,4+,English,Free,N/A,N/A,N/A,"Usage Data,Usage Data",https://apps.apple.com/us/app/sabai-klassische-thaimassage/id1583667292,2,"Mar 8, 2022","Sep 1, 2021"
"Sabaijai
            4+",69.9 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/sabaijai/id1259096089,3,"Sep 8, 2017","Aug 11, 2017"
"Saban Community Clinic
            4+",20.8 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/saban-community-clinic/id1442635117,2,"Dec 12, 2018","Nov 17, 2018"
"SABC Medical Scheme Chat
            4+",42 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/sabc-medical-scheme-chat/id932947863,5,"Apr 12, 2019","Nov 3, 2014"
"Sabin Medicina Diagnóstica
            17+",82.4 MB,"17+

              Unrestricted Web Access
Infrequent/Mild Medical/Treatment Information","English, Portuguese",Free,N/A,4.8,26 Ratings,"Contact Info,User Content,Identifiers,Location,Diagnostics",https://apps.apple.com/us/app/sabin-medicina-diagn%C3%B3stica/id505139714,25,"May 13, 2022","Feb 11, 2020"
"Sabora TV
            4+",52.4 MB,4+,English,Free,N/A,5.0,1 Rating,"Contact Info,Identifiers,User Content",https://apps.apple.com/us/app/sabora-tv/id1586415796,14,"Apr 15, 2022","Sep 22, 2021"
"Sacral Chakra Cleansing 303Hz
            4+",19.9 MB,4+,"English, French, German, Italian, Polish, Portuguese, Spanish",Free,True,N/A,N/A,N/A,https://apps.apple.com/us/app/sacral-chakra-cleansing-303hz/id1093073979,2,"Feb 5, 2020","Apr 8, 2016"
"Sacré Claude Bernard !
            4+",24.3 MB,4+,French,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/sacr%C3%A9-claude-bernard/id1514794140,1,N/A,N/A
"SACYL CONECTA
            4+",34.4 MB,4+,Spanish,Free,N/A,1.0,2 Ratings,N/A,https://apps.apple.com/us/app/sacyl-conecta/id619810190,25,"Apr 26, 2022","May 28, 2020"
"SAD Light Box for Winter Blues
            4+",55 MB,4+,English,$4.99,N/A,2.0,12 Ratings,N/A,https://apps.apple.com/us/app/sad-light-box-for-winter-blues/id1332927650,8,"Oct 24, 2020","Apr 26, 2018"
"Saddle Rock Pharmacy
            17+",94.8 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Dutch, French, German, Italian, Portuguese",Free,N/A,N/A,N/A,"Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/saddle-rock-pharmacy/id1223544890,3,"Oct 27, 2021","Apr 6, 2017"
"Sadler Hughes
            4+",54 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/sadler-hughes/id1272856586,2,"Dec 16, 2020","Aug 18, 2017"
"Sadler Hughes
            4+",54 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/sadler-hughes/id1272856586,2,"Dec 16, 2020","Aug 18, 2017"
"SAEM Annual Meeting
            12+",49.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,4.3,41 Ratings,"Contact Info,Usage Data",https://apps.apple.com/us/app/saem-annual-meeting/id1214444225,8,"Apr 21, 2022","Apr 11, 2017"
"Safanis
            17+",17.3 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,"Health & Fitness,Contact Info",https://apps.apple.com/us/app/safanis/id1484919589,1,N/A,N/A
"Safe Abortion (SA)
            12+",20.5 MB,"12+

              Infrequent/Mild Medical/Treatment Information
Infrequent/Mild Alcohol, Tobacco, or Drug Use or References","English, Amharic, French, Ganda, Igbo, Kinyarwanda, Oromo, Spanish, Swahili, Yoruba",Free,N/A,4.8,16 Ratings,Usage Data,https://apps.apple.com/us/app/safe-abortion-sa/id1261710057,25,"May 22, 2022","Sep 26, 2019"
"Safe and Sound Pill Reminder
            4+",83.4 MB,4+,English,Free,N/A,N/A,N/A,"Usage Data,Diagnostics",https://apps.apple.com/us/app/safe-and-sound-pill-reminder/id1498081610,2,"Jan 12, 2021","Mar 5, 2020"
"Safe Area
            12+",43.8 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/safe-area/id1523307596,1,N/A,N/A
"Safe Away
            4+",133.2 MB,4+,English,Free,N/A,N/A,N/A,"Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/safe-away/id1574505771,3,"Sep 10, 2021","Jul 26, 2021"
"Safe Balance
            17+",77.4 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,"Contact Info,Health & Fitness,Sensitive Info",https://apps.apple.com/us/app/safe-balance/id1502502029,11,"Feb 1, 2021","Mar 26, 2020"
"Safe Breastfeeding
            12+",7.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information
Infrequent/Mild Alcohol, Tobacco, or Drug Use or References","English, Spanish",$0.99,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/safe-breastfeeding/id1105265189,3,"May 16, 2020","Apr 25, 2016"
"Safe Delivery
            17+",17.1 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,4.3,6 Ratings,"Location,Diagnostics",https://apps.apple.com/us/app/safe-delivery/id985603707,25,"Apr 29, 2022","Sep 19, 2017"
"Safe Foal
            17+",16.9 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Italian",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/safe-foal/id956580592,1,"Jan 22, 2015","Jan 22, 2015"
"SAFE HealthCheck
            17+",160.7 MB,"17+

              Frequent/Intense Medical/Treatment Information","English, Spanish",Free,N/A,4.0,7 Ratings,"Financial Info,Location,Contact Info,User Content,Identifiers,Diagnostics",https://apps.apple.com/us/app/safe-healthcheck/id1536698575,10,"Apr 12, 2022","Jun 11, 2021"
"Safe Med Sensor
            4+",32.1 MB,4+,English,Free,N/A,4.0,3 Ratings,N/A,https://apps.apple.com/us/app/safe-med-sensor/id1437487933,5,"Oct 23, 2019","Nov 23, 2018"
"Safe Messaging
            4+",25 MB,4+,English,Free,N/A,5.0,3 Ratings,N/A,https://apps.apple.com/us/app/safe-messaging/id1483628597,3,"Feb 4, 2021","Nov 10, 2020"
"Safe Older Drivers
            4+",68.7 MB,4+,English,Free,N/A,4.8,4 Ratings,"Contact Info,User Content,Search History,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/safe-older-drivers/id1233769915,5,"Oct 17, 2020","May 16, 2017"
"Safe Patient Handling
            4+",53.9 MB,4+,English,Free,N/A,4.3,3 Ratings,N/A,https://apps.apple.com/us/app/safe-patient-handling/id1040199378,9,"Apr 7, 2022","Mar 14, 2017"
"Safe Pregnancy & Birth - Nepal
            12+",77.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information
Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",English,Free,N/A,5.0,17 Ratings,N/A,https://apps.apple.com/us/app/safe-pregnancy-birth-nepal/id1512513166,10,"May 12, 2022","Sep 17, 2020"
"Safe Pregnancy and Birth
            17+",12.7 MB,"17+

              Infrequent/Mild Sexual Content and Nudity
Infrequent/Mild Alcohol, Tobacco, or Drug Use or References
Frequent/Intense Medical/Treatment Information",English,Free,N/A,5.0,3 Ratings,N/A,https://apps.apple.com/us/app/safe-pregnancy-and-birth/id496919735,3,"Mar 18, 2017","Jan 28, 2012"
"SAFE RSJ
            12+",43.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information",,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/safe-rsj/id1434043583,5,"Nov 8, 2021","May 8, 2019"
