App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"T Calc
            4+",2.7 MB,4+,"English, Danish, Portuguese, Russian, Spanish, Swedish, Ukrainian",Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/t-calc/id989710656,5,"May 31, 2021","Jun 14, 2015"
"AmplifyMD
            17+",86.6 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/amplifymd/id1546193762,9,"May 24, 2022","Feb 10, 2021"
"T&O Curriculum
            12+",10.5 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/t-o-curriculum/id704574097,8,"Apr 26, 2016","Sep 18, 2013"
"T'ajudem en la cura
            12+",8.5 MB,"12+

              Infrequent/Mild Medical/Treatment Information","Catalan, Spanish",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/tajudem-en-la-cura/id1463926462,1,N/A,N/A
"T-Answers
            17+",28.9 MB,"17+

              Frequent/Intense Medical/Treatment Information
Unrestricted Web Access",English,Free,N/A,N/A,N/A,Contact Info,https://apps.apple.com/us/app/t-answers/id1523023001,7,"Jan 12, 2022","Nov 30, 2020"
"T-Asisto
            4+",24.6 MB,4+,"Catalan, Spanish",Free,N/A,N/A,N/A,"Contact Info,Usage Data,Diagnostics,Other Data",https://apps.apple.com/us/app/t-asisto/id1549512887,2,"Jun 16, 2021","May 13, 2021"
"T-CALL(티콜)
            4+",12.5 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/t-call-%ED%8B%B0%EC%BD%9C/id1440581467,4,"Mar 14, 2019","Nov 2, 2018"
"T-CALL(티콜)VER.2
            4+",13.5 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/t-call-%ED%8B%B0%EC%BD%9C-ver-2/id1462728764,4,"Sep 6, 2019","May 8, 2019"
"T-CALL(티콜)VER.3
            4+",3.4 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/t-call-%ED%8B%B0%EC%BD%9C-ver-3/id1529781107,6,"Apr 16, 2022","Sep 3, 2020"
"T-Rappy Bildkarten
            4+",198.6 MB,4+,German,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/t-rappy-bildkarten/id1186005446,4,"Jun 21, 2018","Dec 21, 2016"
