App Name,Size,Age Rating,Languages,Price,InApp Purchase,Average Rating,Rating Count,Privacy Data,App Link,Number of Versions,Last Version Date,First Version Date
"U CLINIC SHINJUKU
            12+",9.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information",Japanese,Free,N/A,N/A,N/A,Contact Info,https://apps.apple.com/us/app/u-clinic-shinjuku/id1494254471,2,"Jan 29, 2021","Jan 17, 2020"
"U Deal
            4+",26.9 MB,4+,"English, Arabic",Free,N/A,5.0,2 Ratings,"Identifiers,Usage Data,Identifiers,Usage Data",https://apps.apple.com/us/app/u-deal/id1548131675,14,"May 4, 2022","Mar 6, 2021"
"U of T Trauma Protocols
            17+",24.5 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/u-of-t-trauma-protocols/id595490398,4,"Jun 13, 2016","Jan 28, 2013"
"U&ALLEVIATE
            12+",44.5 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,"Health & Fitness,Identifiers",https://apps.apple.com/us/app/u-alleviate/id1530389221,8,"Feb 11, 2022","Feb 12, 2021"
"U&CHRONICLE
            12+",59.4 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,N/A,N/A,Health & Fitness,https://apps.apple.com/us/app/u-chronicle/id1576651863,3,"Oct 13, 2021","Aug 27, 2021"
"U&DELIVER
            12+",43.1 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/u-deliver/id1504706762,8,"Dec 3, 2020","Jun 9, 2020"
"U-eye
            12+",5.9 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Simplified Chinese",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/u-eye/id1179275028,5,"Jan 20, 2022","Nov 29, 2016"
"U-InTouch
            4+",235.2 MB,4+,English,Free,True,4.0,2 Ratings,N/A,https://apps.apple.com/us/app/u-intouch/id431452798,25,"Jun 2, 2021","Nov 21, 2015"
"U-Prevent
            4+",21.9 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/u-prevent/id1503175567,1,N/A,N/A
"U.S. Nursing
            12+",68.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,4.6,134 Ratings,"Health & Fitness,Contact Info,User Content,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/u-s-nursing/id1395496192,25,"Jun 9, 2022","Jul 6, 2019"
"UA Pharmacy
            17+",6 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,1.0,1 Rating,N/A,https://apps.apple.com/us/app/ua-pharmacy/id919241389,3,"Mar 31, 2018","Oct 3, 2014"
"UAB eMedicine
            12+",113.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,4.9,77 Ratings,"Financial Info,Contact Info,Identifiers,Health & Fitness,Location,User Content,Diagnostics",https://apps.apple.com/us/app/uab-emedicine/id1503246556,4,"Aug 3, 2021","May 13, 2020"
"UAB Medicine
            4+",22.8 MB,4+,English,Free,N/A,3.2,25 Ratings,N/A,https://apps.apple.com/us/app/uab-medicine/id1486908462,3,"Jun 29, 2020","Mar 19, 2020"
"UAB Medicine Transplant
            12+",10.2 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,5.0,2 Ratings,N/A,https://apps.apple.com/us/app/uab-medicine-transplant/id1517656357,1,N/A,N/A
"UAB Trauma
            17+",92.9 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,5.0,2 Ratings,N/A,https://apps.apple.com/us/app/uab-trauma/id1067923942,1,"Dec 21, 2015","Dec 21, 2015"
"UAE RADR
            4+",24.6 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/uae-radr/id1374384487,11,"Nov 3, 2020","Apr 23, 2018"
"Uai Plantão
            17+",50.5 MB,"17+

              Unrestricted Web Access",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/uai-plant%C3%A3o/id1491107661,25,"Jul 9, 2020","Mar 2, 2020"
"Ualright
            4+",50 MB,4+,English,Free,N/A,N/A,N/A,"Contact Info,User Content",https://apps.apple.com/us/app/ualright/id1570243415,3,"Jul 25, 2021","Jun 15, 2021"
"UAMS Safe Use
            12+",746.9 MB,"12+

              Infrequent/Mild Alcohol, Tobacco, or Drug Use or References
Infrequent/Mild Medical/Treatment Information",English,Free,N/A,3.0,2 Ratings,N/A,https://apps.apple.com/us/app/uams-safe-use/id1470463625,4,"Mar 11, 2020","Aug 9, 2019"
"UAPP MHH
            12+",55 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, German",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/uapp-mhh/id1539640726,2,"Nov 25, 2020","Nov 20, 2020"
"UAS FSA & HRA
            4+",17.7 MB,4+,English,Free,N/A,N/A,N/A,Usage Data,https://apps.apple.com/us/app/uas-fsa-hra/id1547459033,4,"Nov 16, 2021","Jan 6, 2021"
"Uask
            17+",27.5 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,Contact Info,https://apps.apple.com/us/app/uask/id1545935810,19,"Jan 7, 2022","Jan 7, 2021"
"UASK 2019
            4+",48.8 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/uask-2019/id1420481997,2,"Mar 2, 2019","Aug 2, 2018"
"UASK 2020
            4+",27.2 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/uask-2020/id1499185768,2,"Mar 10, 2020","Feb 15, 2020"
"UATeleMD - Medical Assistant
            17+",67.4 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/uatelemd-medical-assistant/id1487792105,4,"Oct 20, 2020","May 6, 2020"
"UB ROSC
            17+",12.4 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/ub-rosc/id1497915818,2,"Feb 8, 2020","Feb 6, 2020"
"UBC Med Formulary
            12+",15.5 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,N/A,1.0,1 Rating,N/A,https://apps.apple.com/us/app/ubc-med-formulary/id812903465,4,"Jul 21, 2017","Feb 8, 2014"
"UBC Radiology
            17+",113.4 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,4.7,12 Ratings,N/A,https://apps.apple.com/us/app/ubc-radiology/id1178452022,2,"May 31, 2017","Nov 23, 2016"
"UbCared
            12+",38.3 MB,"12+

              Infrequent/Mild Medical/Treatment Information",English,Free,True,N/A,N/A,"Financial Info,Contact Info,Identifiers,Contact Info,Identifiers,Health & Fitness,Financial Info",https://apps.apple.com/us/app/ubcared/id1545322795,3,"Nov 28, 2021","Jun 8, 2021"
"UbicaMed Plus
            17+",85.6 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/ubicamed-plus/id1558722248,5,"Feb 15, 2022","Mar 25, 2021"
"UBIQUE Tech
            4+",251.1 MB,4+,English,Free,N/A,N/A,N/A,"Diagnostics,Other Data",https://apps.apple.com/us/app/ubique-tech/id1463341045,24,"Dec 26, 2020","May 20, 2019"
"UbiVision Visual Acuity
            4+",107.4 MB,4+,"English, French, German, Italian, Spanish",Free,True,N/A,N/A,"Purchases,Identifiers,Usage Data,Diagnostics",https://apps.apple.com/us/app/ubivision-visual-acuity/id1195330568,19,"Mar 3, 2022","Jan 26, 2017"
"UbiVisionTV Refraction Eyechart
            4+",1.8 MB,4+,"English, German",Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/ubivisiontv-refraction-eyechart/id1046809580,4,"Dec 9, 2016","Oct 29, 2015"
"UBSPA Therapist
            4+",133.9 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/ubspa-therapist/id1210214344,2,"Jan 30, 2020","Nov 21, 2017"
"UC COVID Check
            4+",45.5 MB,4+,English,Free,N/A,1.5,40 Ratings,N/A,https://apps.apple.com/us/app/uc-covid-check/id1528062067,15,"Nov 2, 2021","Sep 4, 2020"
"UC Denver
            17+",61.2 MB,"17+

              Frequent/Intense Medical/Treatment Information",English,Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/uc-denver/id1431905007,1,"Aug 24, 2018","Aug 24, 2018"
"UC Denver SoM
            17+",168.9 MB,"17+

              Infrequent/Mild Alcohol, Tobacco, or Drug Use or References
Frequent/Intense Medical/Treatment Information",English,Free,N/A,N/A,N/A,"Contact Info,User Content,Identifiers",https://apps.apple.com/us/app/uc-denver-som/id1523509931,10,"Mar 2, 2022","Jul 23, 2020"
"UcanTALK
            4+",28.6 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/ucantalk/id599147484,6,"Dec 18, 2021","Feb 17, 2013"
"UCB CHERISH
            12+",83.8 MB,"12+

              Infrequent/Mild Medical/Treatment Information","English, Bulgarian, Czech, Danish, Dutch, French, German, Hungarian, Italian, Polish, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese, Turkish, Ukrainian


        more",Free,N/A,5.0,1 Rating,N/A,https://apps.apple.com/us/app/ucb-cherish/id1478607734,3,"May 18, 2020","Oct 7, 2019"
"UCDavis iBehavior
            4+",50.4 MB,4+,English,Free,N/A,N/A,N/A,N/A,https://apps.apple.com/us/app/ucdavis-ibehavior/id1434185234,3,"Apr 18, 2022","May 3, 2020"
